Dates,KMX
2019-12-05,4444800.0
2020-05-11,2855500.0
2019-07-03,2259900.0
2020-02-25,3037000.0
2020-05-14,2736600.0
2020-02-28,2470300.0
2019-08-08,1984800.0
2019-06-05,2423900.0
2018-07-20,3424700.0
2018-08-21,4688300.0
2018-10-24,3316600.0
2019-04-02,2540500.0
2019-03-01,2786800.0
2019-01-28,2085500.0
2018-12-27,2834000.0
2019-09-09,1916100.0
2020-03-02,2067200.0
2020-05-20,1439200.0
2019-12-17,2340300.0
2020-03-05,4414700.0
2019-02-12,3915100.0
2019-01-11,3827900.0
2018-12-10,2430400.0
2019-08-23,2125900.0
2018-11-08,3321400.0
2019-07-22,2782100.0
2019-06-20,2527400.0
2018-09-05,1880800.0
2019-04-17,1969500.0
2019-09-24,2088200.0
2019-12-20,1932800.0
2020-05-26,1551000.0
2019-04-30,1445800.0
2019-12-23,1477400.0
2020-03-11,1578100.0
2020-05-29,1010800.0
2019-12-26,1725800.0
2020-06-01,1661300.0
2019-05-02,1371800.0
2019-02-27,1492100.0
2018-11-23,2049900.0
2019-08-06,1060100.0
2018-07-18,1251300.0
2018-09-20,969400.0
2018-10-22,1429400.0
2019-07-05,1776700.0
2019-06-03,2217300.0
2019-10-09,2034900.0
2019-10-11,1931800.0
2020-03-17,1735000.0
2020-06-04,1339600.0
2019-10-14,1252600.0
2020-03-20,1389800.0
2018-11-06,2024600.0
2019-06-18,1526800.0
2019-05-17,1763300.0
2019-04-15,1923700.0
2019-03-14,2155200.0
2019-01-09,1412900.0
2018-08-02,1648300.0
2018-10-05,1534100.0
2019-08-21,1348300.0
2019-10-17,1931900.0
2020-03-23,6567900.0
2020-06-10,2147700.0
2019-02-25,2191600.0
2020-01-07,1733800.0
2020-03-26,1683100.0
2019-10-23,2826600.0
