Dates,DVN
2018-08-24,26.350996017456055
2019-07-10,25.62574005126953
2019-05-07,25.964191436767578
2019-04-05,26.75714111328125
2019-03-04,25.77079200744629
2019-01-31,26.118915557861328
2019-09-12,26.263965606689453
2019-12-31,25.97386360168457
2020-03-19,25.89650535583496
2020-01-03,24.4653263092041
2020-06-09,24.09786605834961
2019-02-15,24.600711822509766
2019-01-14,25.103557586669922
2018-07-06,26.022214889526367
2018-08-07,26.42835807800293
2018-10-10,27.482398986816406
2018-12-13,27.376026153564453
2019-08-26,29.271366119384766
2019-07-25,28.865222930908203
2019-05-22,28.671817779541016
2019-03-19,28.5170955657959
2020-01-06,28.613798141479492
2020-03-25,28.894229888916016
2020-06-12,28.536436080932617
2019-10-22,29.155323028564453
2020-01-09,28.468746185302734
2020-06-15,28.30435562133789
2019-10-25,27.77250099182129
2020-03-31,27.134273529052734
2020-06-18,25.828813552856445
2019-04-03,26.88285255432129
2018-08-22,27.811182022094727
2018-10-25,28.362375259399414
2019-01-29,28.604787826538086
2018-12-28,28.74053955078125
2018-11-26,29.58414077758789
2019-08-09,29.32233428955078
2019-07-08,30.30168342590332
2019-06-06,30.689542770385742
2019-09-10,29.419300079345703
2020-01-15,29.884733200073242
2020-04-03,30.641063690185547
2019-10-31,30.379257202148438
2020-04-06,30.912565231323242
2020-06-24,30.60227394104004
2018-11-09,30.582883834838867
2019-07-23,30.262897491455078
2019-06-21,29.7780704498291
2019-05-20,30.068967819213867
2019-04-18,31.222858428955078
2018-09-06,31.058012008666992
2018-10-08,30.117448806762695
2019-02-13,30.447134017944336
2018-12-11,30.23381233215332
2019-09-25,32.464012145996094
2020-01-21,31.581628799438477
2020-04-09,31.833738327026367
2019-11-06,32.202205657958984
2020-01-24,32.531890869140625
2020-01-27,34.0930290222168
2020-04-15,33.550025939941406
2018-12-26,33.44336700439453
2019-08-07,32.52219009399414
2019-06-04,31.69798469543457
2018-09-21,31.72707748413086
2018-07-19,31.1646728515625
2018-08-20,30.873779296875
2018-10-23,29.98169708251953
2019-05-03,30.311382293701172
2019-04-01,30.53440284729004
2019-02-28,30.107751846313477
2019-11-12,30.57318687438965
2020-01-30,30.30168342590332
2019-11-15,30.359865188598633
2020-04-21,29.012046813964844
2019-04-16,29.826553344726562
2019-03-15,29.991395950317383
2019-02-11,30.350168228149414
2019-01-10,29.681106567382812
2019-08-22,29.11870765686035
2018-11-07,30.175630569458008
2018-08-03,28.42055320739746
2018-09-04,26.345495223999023
2019-06-19,26.170957565307617
2019-09-23,25.79279327392578
2019-11-18,26.03520393371582
2020-02-05,24.997678756713867
2020-04-24,24.39649200439453
2019-03-29,24.735870361328125
2019-11-21,25.201303482055664
2020-04-27,24.70677947998047
2020-02-11,24.852231979370117
2020-04-30,24.910409927368164
2019-05-01,25.327362060546875
2019-02-26,25.307966232299805
2019-01-25,24.70677947998047
2018-12-24,25.41714096069336
2019-09-06,25.076555252075195
2018-07-17,25.68960189819336
2018-09-19,26.176149368286133
2019-08-05,26.185880661010742
2019-10-08,27.314664840698242
2019-12-11,27.480091094970703
2019-11-27,27.168701171875
2020-02-14,27.168701171875
2020-05-06,27.9569034576416
2019-01-08,27.538475036621094
2018-12-07,27.7525577545166
2019-08-20,28.122331619262695
2018-11-05,26.798927307128906
2019-07-19,26.779464721679688
2018-10-04,27.14923858642578
