Dates,XLNX
2019-06-12,73.90501403808594
2019-04-09,72.142822265625
2019-03-08,72.93142700195312
2019-02-04,72.82433319091797
2018-07-27,67.21646118164062
2018-08-28,77.3028335571289
2019-01-03,76.69921112060547
2019-08-15,76.28056335449219
2018-10-31,79.88284301757812
2019-09-16,83.11515808105469
2020-02-18,84.69236755371094
2020-05-07,82.82308197021484
2018-08-17,82.13182067871094
2019-12-04,83.65061950683594
2020-02-21,82.8522720336914
2018-12-17,84.39055633544922
2019-08-30,83.72574615478516
2018-11-15,80.48973083496094
2019-07-29,81.6922378540039
2019-06-27,81.91709899902344
2019-04-24,86.5315933227539
2018-07-10,88.51622772216797
2018-09-12,85.95478057861328
2019-02-19,82.78720092773438
2019-01-18,84.5665283203125
2020-02-24,85.30953979492188
2020-05-13,87.02042388916016
2019-12-10,86.9030990600586
2020-02-27,89.15169525146484
2019-12-13,89.16146850585938
2020-05-19,90.4128646850586
2019-03-06,92.51478576660156
2018-11-30,89.24945831298828
2019-08-13,87.02042388916016
2019-07-12,85.28020477294922
2019-06-10,85.67125701904297
2019-05-09,86.16008758544922
2018-07-25,88.51622772216797
2018-09-27,87.13774108886719
2018-10-29,86.83465576171875
2019-10-16,85.23131561279297
2019-12-16,87.23550415039062
2020-03-04,83.31513977050781
2020-05-22,81.61402893066406
2019-10-01,79.68805694580078
2019-12-19,77.49813079833984
2018-09-10,83.31513977050781
2019-05-24,82.41570281982422
2018-08-09,82.45480346679688
2019-04-22,83.26625061035156
2019-03-21,84.90869140625
2019-01-16,81.71179962158203
2019-08-28,85.49528503417969
2018-11-13,87.75365447998047
2018-10-12,86.0818862915039
2019-06-25,86.85421752929688
2020-03-10,88.35002136230469
2020-05-28,88.88771057128906
2019-10-07,88.53577423095703
2020-03-13,89.1712417602539
2019-10-10,88.46733093261719
2020-03-16,90.17823028564453
2020-06-03,91.42961883544922
2018-11-28,88.42823028564453
2018-09-25,87.54834747314453
2018-07-23,103.6893081665039
2018-08-24,107.9029769897461
2019-07-10,106.91554260253906
2019-05-07,106.94487762451172
2019-04-05,110.35686492919922
2019-03-04,109.43788146972656
2019-01-31,109.51608276367188
2019-09-12,107.73677825927734
2019-12-31,108.85494995117188
2020-03-19,112.08194732666016
2020-01-03,110.57144165039062
2020-06-09,111.51305389404297
2019-02-15,112.69989013671875
2019-01-14,115.93669128417969
2018-07-06,115.1422119140625
2018-08-07,115.26971435546875
2018-10-10,117.02543640136719
2018-12-13,116.68214416503906
2019-08-26,117.81012725830078
2019-07-25,116.97640228271484
2019-05-22,120.39957427978516
2019-03-19,121.66487884521484
2020-01-06,120.42900848388672
2020-03-25,120.90961456298828
2020-06-12,122.90074920654297
2019-10-22,124.215087890625
2020-01-09,120.45842742919922
2020-06-15,120.59573364257812
2019-10-25,119.03619384765625
2020-03-31,117.61395263671875
2020-06-18,116.35846710205078
2019-04-03,119.6050796508789
2018-08-22,120.04646301269531
2018-10-25,120.57613372802734
2019-01-29,120.13475036621094
2018-12-28,121.7923812866211
2018-11-26,122.88113403320312
2019-08-09,124.62704467773438
2019-07-08,123.89139556884766
2019-06-06,127.5597915649414
2019-09-10,124.4603042602539
2020-01-15,121.7531509399414
2020-04-03,124.20527648925781
2019-10-31,122.74380493164062
2020-04-06,124.14643096923828
2020-06-24,124.36222076416016
2018-11-09,127.24590301513672
2019-07-23,126.6181869506836
2019-06-21,126.1081314086914
2019-05-20,125.37249755859375
2019-04-18,126.60836791992188
2018-09-06,127.41266632080078
2018-10-08,126.46124267578125
2019-02-13,129.07029724121094
2018-12-11,129.54110717773438
2019-09-25,131.8363037109375
2020-01-21,131.49301147460938
2020-04-09,132.3953857421875
2019-11-06,133.21932983398438
2020-01-24,132.365966796875
2020-01-27,131.86575317382812
2020-04-15,134.52383422851562
2018-12-26,137.0446319580078
2019-08-07,113.6415023803711
2019-06-04,116.65271759033203
2018-09-21,114.83814239501953
2018-07-19,117.83954620361328
2018-08-20,114.40656280517578
2018-10-23,116.62329864501953
2019-05-03,116.7409896850586
2019-04-01,116.5350112915039
2019-02-28,115.55416870117188
2019-11-12,115.43645477294922
2020-01-30,114.46541595458984
2019-11-15,114.68120574951172
2020-04-21,108.52145385742188
2019-04-16,111.01282501220703
2019-03-15,112.62670135498047
2019-02-11,104.4392318725586
2019-01-10,103.091064453125
2019-08-22,99.42048645019531
2018-11-07,104.02593994140625
2018-08-03,103.02218627929688
2018-09-04,100.67025756835938
2019-06-19,99.59761810302734
2019-09-23,100.0798110961914
2019-11-18,101.9987564086914
2020-02-05,103.77007293701172
2020-04-24,100.68009948730469
2019-03-29,100.67025756835938
2019-11-21,105.19697570800781
2020-04-27,103.91768646240234
2020-02-11,104.3211669921875
2020-04-30,105.77757263183594
2019-05-01,109.11356353759766
2019-02-26,109.89098358154297
2019-01-25,106.22040557861328
2018-12-24,106.62387084960938
2019-09-06,103.74054718017578
2018-07-17,102.8647232055664
2018-09-19,109.99922943115234
2019-08-05,110.05827331542969
2019-10-08,112.93175506591797
2019-12-11,110.35350036621094
2019-11-27,110.89472961425781
2020-02-14,108.19837951660156
2020-05-06,112.41020202636719
2019-01-08,116.29727172851562
2018-12-07,116.0414047241211
2019-08-20,119.21995544433594
2018-11-05,115.72650909423828
2019-07-19,114.53579711914062
2018-10-04,114.26024627685547
2019-06-17,114.08311462402344
2019-05-16,115.47064971923828
2018-08-01,115.6182632446289
2019-03-13,116.48424530029297
2019-12-03,118.40318298339844
2020-02-20,119.72183990478516
2019-12-06,119.2986831665039
2020-05-12,118.98377990722656
2019-12-09,120.9027099609375
2020-02-26,120.7452621459961
2020-05-15,122.25090026855469
2019-03-28,125.25228881835938
2018-09-17,130.0348663330078
2018-08-16,125.55735778808594
2018-10-19,118.84600830078125
2019-04-29,118.6295166015625
2019-01-23,117.60609436035156
2019-09-04,112.39051818847656
2018-11-20,111.65245819091797
2019-07-02,108.42472076416016
2019-05-31,105.30522918701172
2019-12-12,104.33748626708984
2020-05-18,103.60674285888672
2019-09-27,108.46516418457031
2020-03-03,102.9253921508789
2020-05-21,101.8885269165039
2019-05-14,105.09784698486328
2018-08-31,101.6910400390625
2018-07-30,102.50077056884766
2018-10-02,104.1399917602539
2019-04-12,105.57184600830078
2019-03-11,103.78450012207031
2019-02-07,104.76210021972656
2019-07-17,103.12288665771484
2019-09-19,99.70619201660156
2019-10-21,100.51593017578125
2019-12-18,98.965576171875
2020-03-06,99.56794738769531
2019-10-03,102.15514373779297
2020-03-09,102.75751495361328
2020-05-27,99.14331817626953
2019-12-24,101.0096664428711
2020-03-12,103.98199462890625
2018-12-20,104.6139907836914
2019-08-01,104.18936920166016
2018-08-14,105.38421630859375
2018-07-13,103.73512268066406
2018-10-17,103.71537017822266
2019-05-29,103.92273712158203
2019-03-26,103.08338928222656
2019-02-22,102.97476196289062
2019-10-04,103.60674285888672
2019-11-05,102.3230209350586
2019-12-27,95.34152221679688
2020-06-02,96.82273864746094
2019-12-30,94.9168930053711
2020-03-18,95.97350311279297
2020-06-05,96.02287292480469
2019-07-15,94.74901580810547
2018-12-03,94.69965362548828
2019-06-13,90.8879623413086
2019-01-04,91.29283142089844
2018-08-29,91.33233642578125
2019-02-05,93.0604248046875
2018-11-01,91.47057342529297
2019-08-16,88.15262603759766
2019-04-10,89.34749603271484
2019-09-17,91.64832305908203
2019-10-15,95.0156478881836
2020-01-02,94.72927856445312
2020-06-08,95.75626373291016
2019-10-18,93.44554138183594
2020-03-24,93.72203826904297
2020-06-11,93.15917205810547
2020-01-08,93.87016296386719
2019-04-25,94.77864837646484
2019-07-30,92.65556335449219
2019-02-20,91.95445251464844
2018-07-11,93.71216583251953
2018-09-13,93.56404876708984
2018-10-15,91.17433166503906
2019-06-28,90.11772918701172
2018-12-18,89.60423278808594
2018-11-16,91.54957580566406
2019-10-02,95.43038940429688
2020-03-27,94.2059097290039
2020-01-10,92.59630584716797
2019-10-24,94.8477783203125
2020-03-30,94.66934204101562
2020-06-17,94.40168762207031
2020-01-14,94.34220886230469
2020-04-02,92.47856140136719
2019-01-02,92.33977508544922
2019-08-14,92.84535217285156
2018-10-30,91.57647705078125
2019-06-11,91.99282836914062
2019-05-10,90.21839141845703
2019-04-08,89.67317199707031
2018-08-27,89.8218765258789
2018-07-26,91.02134704589844
2018-09-28,90.44639587402344
2019-03-07,92.53804016113281
2019-10-30,91.9729995727539
2020-01-17,89.48483276367188
2020-06-23,87.87892150878906
2020-04-08,89.38569641113281
2020-06-26,89.88134765625
2019-03-22,91.06100463867188
2019-01-17,90.28778839111328
2019-08-29,90.44639587402344
2018-11-14,93.05352020263672
2019-06-26,95.7002944946289
2018-09-11,95.39299774169922
2018-07-09,95.54168701171875
2018-08-10,95.16498565673828
2019-04-23,96.08690643310547
2019-09-30,95.45246887207031
2020-01-23,96.88985443115234
2019-11-08,98.0397720336914
2020-04-14,97.63333129882812
2019-11-11,97.8216781616211
2020-01-29,97.5639419555664
2020-04-17,96.83038330078125
2018-07-24,96.91959381103516
2018-09-26,100.7658462524414
2019-05-08,98.44619750976562
2019-03-05,96.39420318603516
2019-02-01,98.59489440917969
2018-12-31,98.31732940673828
2018-11-29,100.62706756591797
2019-08-12,98.60480499267578
2019-07-11,98.0893325805664
2019-09-13,98.74359130859375
2019-11-14,97.97037506103516
2020-04-20,100.4783706665039
2020-02-04,101.99506378173828
2020-04-23,100.7658462524414
2018-12-14,100.40898132324219
2019-08-27,101.51924133300781
2018-08-08,99.9232406616211
2018-10-11,96.15628814697266
2018-11-12,97.75228881835938
2019-07-26,87.29405212402344
2019-06-24,86.44153594970703
2019-05-23,83.74520111083984
2019-03-20,84.31023406982422
2019-01-15,85.03388977050781
2019-11-20,87.46257781982422
2020-02-07,86.95701599121094
2020-02-10,84.87528228759766
2020-04-29,86.04013061523438
2019-11-26,89.89311981201172
2020-02-13,90.76924896240234
2019-01-30,90.0125961303711
2018-08-23,89.77364349365234
2018-09-24,88.84773254394531
2018-11-27,90.31127166748047
2018-10-26,89.39531707763672
2019-07-09,87.33441925048828
2019-06-07,84.80558013916016
2019-05-06,83.51129150390625
2019-04-04,82.23692321777344
2019-09-11,79.14059448242188
2019-11-29,83.12300872802734
2020-05-05,84.23809051513672
2019-12-02,81.44044494628906
2020-02-19,83.06327819824219
2020-05-08,80.70368957519531
2019-05-21,79.50896453857422
2019-03-18,73.35613250732422
2018-09-07,77.26885986328125
2018-08-06,73.34617614746094
2018-10-09,68.67679595947266
2019-02-14,76.20355987548828
2018-12-12,69.52305603027344
