Dates,CFG
2019-01-18,33.250091552734375
2020-02-24,32.95973587036133
2020-05-13,33.774600982666016
2019-12-10,33.76523208618164
2020-02-27,34.121150970458984
2019-12-13,33.74650192260742
2020-05-19,34.05558395385742
2019-03-06,34.23353958129883
2018-11-30,32.25727462768555
2019-08-13,31.63909912109375
2019-07-12,30.91790199279785
2019-06-10,30.01874542236328
2019-05-09,29.672195434570312
2018-07-25,29.625362396240234
2018-09-27,28.92289161682129
2018-10-29,28.342191696166992
2019-10-16,28.173599243164062
2019-12-16,27.92070770263672
2020-03-04,27.16204833984375
2020-05-22,27.02155303955078
2019-10-01,26.71247100830078
2019-12-19,26.169225692749023
2018-09-10,27.620990753173828
2019-05-24,27.705286026000977
2018-08-09,27.6959228515625
2019-04-22,27.845779418945312
2019-03-21,28.576345443725586
2019-01-16,28.445220947265625
2019-08-28,29.615997314453125
2018-11-13,29.981277465820312
2018-10-12,29.981277465820312
2019-06-25,30.374662399291992
2020-03-10,30.19670295715332
2020-05-28,30.561983108520508
2019-10-07,30.964733123779297
2020-03-13,31.002195358276367
2019-10-10,31.798324584960938
2020-03-16,31.751495361328125
2020-06-03,33.18452835083008
2018-11-28,32.95037078857422
2018-09-25,32.73495101928711
2018-07-23,32.922279357910156
2018-08-24,33.19389724731445
2019-07-10,33.10023498535156
2019-05-07,32.82860565185547
2019-04-05,32.677371978759766
2019-03-04,32.062950134277344
2019-01-31,32.318172454833984
2019-09-12,32.563941955566406
2019-12-31,32.497772216796875
2020-03-19,32.63010787963867
2020-01-03,33.63207244873047
2020-06-09,33.38631057739258
2019-02-15,33.509193420410156
2019-01-14,34.0479850769043
2018-07-06,34.32210922241211
2018-08-07,33.93455505371094
2018-10-10,34.690757751464844
2018-12-13,35.049957275390625
2019-08-26,35.59819793701172
2019-07-25,35.191741943359375
2019-05-22,35.191741943359375
2019-03-19,35.01214599609375
2020-01-06,34.681304931640625
2020-03-25,35.00269317626953
2020-06-12,34.91761779785156
2019-10-22,34.974334716796875
2020-01-09,34.83254623413086
2020-06-15,34.539520263671875
2019-10-25,33.77386474609375
2020-03-31,33.00820541381836
2020-06-18,32.85696792602539
2019-04-03,33.1783561706543
2018-08-22,33.14054489135742
2018-10-25,33.556453704833984
2019-01-29,33.78331756591797
2018-12-28,33.90619659423828
2018-11-26,34.40718460083008
2019-08-09,33.78331756591797
2019-07-08,32.38433837890625
2019-06-06,31.457996368408203
2019-09-10,30.030664443969727
2020-01-15,29.879423141479492
2020-04-03,30.45602798461914
2019-10-31,30.238618850708008
2020-04-06,30.654531478881836
2020-06-24,30.7206974029541
2018-11-09,31.902265548706055
2019-07-23,32.14802932739258
2019-06-21,32.280364990234375
2019-05-20,32.80025100708008
2019-04-18,32.68682098388672
2018-09-06,32.77189636230469
2018-10-08,32.100765228271484
2019-02-13,32.242557525634766
2018-12-11,32.47886276245117
2019-09-25,33.14054489135742
2020-01-21,32.563941955566406
2020-04-09,32.98930358886719
2019-11-06,33.083831787109375
2020-01-24,33.42411804199219
2020-01-27,33.745506286621094
2020-04-15,34.12360763549805
2018-12-26,33.849483489990234
2019-08-07,33.764408111572266
2019-06-04,34.0007209777832
2018-09-21,34.397727966308594
2018-07-19,34.521705627441406
2018-08-20,34.226078033447266
2018-10-23,34.56938552856445
2019-05-03,35.0938835144043
2019-04-01,34.893619537353516
2019-02-28,34.23561096191406
2019-11-12,34.016273498535156
2020-01-30,34.159324645996094
2019-11-15,34.378658294677734
2020-04-21,32.91958999633789
2019-04-16,33.291507720947266
2019-03-15,32.62396240234375
2019-02-11,33.14846420288086
2019-01-10,33.14846420288086
2019-08-22,33.234291076660156
2018-11-07,33.63481903076172
2018-08-03,33.26290512084961
2018-09-04,32.44277572631836
2019-06-19,32.843299865722656
