Dates,INCY
2019-02-05,766700.0
2018-11-01,654100.0
2019-08-16,631000.0
2019-04-10,589800.0
2019-09-17,620600.0
2019-10-15,761700.0
2020-01-02,659700.0
2020-06-08,783400.0
2019-10-18,1044300.0
2020-03-24,667600.0
2020-06-11,863000.0
2020-01-08,851200.0
2019-04-25,848400.0
2019-07-30,645300.0
2019-02-20,618800.0
2018-07-11,749300.0
2018-09-13,1429300.0
2018-10-15,2051000.0
2019-06-28,962500.0
2018-12-18,1141600.0
2018-11-16,1181500.0
2019-10-02,1072200.0
2020-03-27,808100.0
2020-01-10,874700.0
2019-10-24,704200.0
2020-03-30,870200.0
2020-06-17,571600.0
2020-01-14,963300.0
2020-04-02,1176100.0
2019-01-02,1131800.0
2019-08-14,1236900.0
2018-10-30,892100.0
2019-06-11,1184500.0
2019-05-10,1672800.0
2019-04-08,1046300.0
2018-08-27,1751300.0
2018-07-26,2346900.0
2018-09-28,1423500.0
2019-03-07,865500.0
2019-10-30,700600.0
2020-01-17,1198900.0
2020-06-23,1436700.0
2020-04-08,1344700.0
2020-06-26,979700.0
2019-03-22,941500.0
2019-01-17,954200.0
2019-08-29,1186100.0
2018-11-14,946000.0
2019-06-26,3144500.0
2018-09-11,1849700.0
2018-07-09,1720500.0
2018-08-10,1421200.0
2019-04-23,1445600.0
2019-09-30,1488400.0
2020-01-23,4175500.0
2019-11-08,2324000.0
2020-04-14,526400.0
2019-11-11,1057700.0
2020-01-29,1296300.0
2020-04-17,733000.0
2018-07-24,929800.0
2018-09-26,1679600.0
2019-05-08,5529300.0
2019-03-05,2817200.0
2019-02-01,1536000.0
2018-12-31,1698500.0
2018-11-29,1977600.0
2019-08-12,1204000.0
2019-07-11,1938100.0
2019-09-13,2830600.0
2019-11-14,1105100.0
2020-04-20,1343500.0
2020-02-04,1418500.0
2020-04-23,1228500.0
2018-12-14,845400.0
2019-08-27,1167100.0
2018-08-08,1299000.0
2018-10-11,1097500.0
2018-11-12,2016300.0
2019-07-26,1270200.0
2019-06-24,1482000.0
2019-05-23,1480100.0
2019-03-20,1258200.0
2019-01-15,1066800.0
2019-11-20,1384700.0
2020-02-07,906800.0
2020-02-10,843100.0
2020-04-29,849700.0
2019-11-26,985500.0
2020-02-13,2120000.0
2019-01-30,2227400.0
2018-08-23,1370200.0
2018-09-24,1209900.0
2018-11-27,1895400.0
2018-10-26,2653300.0
2019-07-09,1414000.0
2019-06-07,1366400.0
2019-05-06,2174600.0
2019-04-04,1442300.0
2019-09-11,1641700.0
2019-11-29,2525500.0
2020-05-05,2261300.0
2019-12-02,1939400.0
2020-02-19,2043800.0
2020-05-08,1430200.0
2019-05-21,1800100.0
2019-03-18,2063100.0
2018-09-07,2933100.0
2018-08-06,2347100.0
2018-10-09,4007600.0
2019-02-14,3552500.0
2018-12-12,3589000.0
2019-07-24,3429600.0
2019-09-26,2667800.0
2019-10-28,2650700.0
2019-12-05,2726500.0
2020-05-11,2447200.0
2019-07-03,2794000.0
2020-02-25,2500100.0
2020-05-14,1855700.0
2020-02-28,1463900.0
2019-08-08,2023200.0
2019-06-05,1695300.0
2018-07-20,1966300.0
2018-08-21,1513500.0
2018-10-24,2222200.0
2019-04-02,3234100.0
2019-03-01,2971500.0
2019-01-28,2086000.0
2018-12-27,1810500.0
2019-09-09,1452100.0
2020-03-02,1937700.0
2020-05-20,1642200.0
2019-12-17,3501100.0
2020-03-05,3859300.0
2019-02-12,2422600.0
2019-01-11,2620700.0
2018-12-10,1612300.0
2019-08-23,1262700.0
2018-11-08,1535500.0
2019-07-22,1249700.0
2019-06-20,2779100.0
2018-09-05,1779900.0
2019-04-17,1563700.0
2019-09-24,1279300.0
2019-12-20,1502100.0
2020-05-26,1850100.0
2019-04-30,1556900.0
2019-12-23,1327300.0
2020-03-11,1198600.0
2020-05-29,1534400.0
2019-12-26,1618100.0
2020-06-01,1648900.0
2019-05-02,1085500.0
2019-02-27,1228800.0
2018-11-23,1160200.0
2019-08-06,961700.0
2018-07-18,1765700.0
2018-09-20,1462600.0
2018-10-22,1320500.0
2019-07-05,3190300.0
2019-06-03,2432600.0
2019-10-09,1659500.0
2019-10-11,3134100.0
2020-03-17,1345200.0
2020-06-04,1902000.0
2019-10-14,1630000.0
2020-03-20,1528700.0
2018-11-06,1599700.0
2019-06-18,1387500.0
2019-05-17,1199000.0
2019-04-15,1318300.0
2019-03-14,1934600.0
2019-01-09,1079800.0
2018-08-02,1281600.0
2018-10-05,1175000.0
2019-08-21,962300.0
2019-10-17,999500.0
2020-03-23,3731800.0
2020-06-10,2497400.0
2019-02-25,1945600.0
2020-01-07,1636800.0
2020-03-26,1315400.0
2019-10-23,2124000.0
