Dates,PSX
2018-12-19,114.93000030517578
2018-07-12,115.30000305175781
2018-09-14,118.58000183105469
2018-08-13,118.86000061035156
2018-10-16,118.77999877929688
2019-07-31,118.47000122070312
2019-05-28,119.13999938964844
2019-04-26,118.0999984741211
2020-04-28,112.5999984741211
2019-11-25,111.33000183105469
2020-02-12,109.51000213623047
2020-05-01,109.93000030517578
2020-05-04,110.6500015258789
2019-06-12,110.08999633789062
2019-04-09,106.86000061035156
2019-03-08,103.80000305175781
2019-02-04,101.38999938964844
2018-07-27,99.98999786376953
2018-08-28,99.66000366210938
2019-01-03,103.79000091552734
2019-08-15,102.02999877929688
2018-10-31,102.25
2019-09-16,104.5999984741211
2020-02-18,103.3499984741211
2020-05-07,103.56999969482422
2018-08-17,101.1500015258789
2019-12-04,100.95999908447266
2020-02-21,103.4800033569336
2018-12-17,103.06999969482422
2019-08-30,100.33999633789062
2018-11-15,100.93000030517578
2019-07-29,98.23999786376953
2019-06-27,97.55999755859375
2019-04-24,96.4000015258789
2018-07-10,97.77999877929688
2018-09-12,96.61000061035156
2019-02-19,94.44000244140625
2019-01-18,94.4800033569336
2020-02-24,91.98999786376953
2020-05-13,92.19000244140625
2019-12-10,91.93000030517578
2020-02-27,92.7300033569336
2019-12-13,93.83000183105469
2020-05-19,93.61000061035156
2019-03-06,95.94999694824219
2018-11-30,93.8499984741211
2019-08-13,92.68000030517578
2019-07-12,95.01000213623047
2019-06-10,90.47000122070312
2019-05-09,90.62000274658203
2018-07-25,90.87999725341797
2018-09-27,89.86000061035156
2018-10-29,90.08000183105469
2019-10-16,87.0
2019-12-16,87.20999908447266
2020-03-04,88.19999694824219
2020-05-22,86.44000244140625
2019-10-01,84.0
2019-12-19,81.75
2018-09-10,84.25
2019-05-24,85.87000274658203
2018-08-09,86.87999725341797
2019-04-22,86.26000213623047
2019-03-21,88.44000244140625
2019-01-16,88.45999908447266
2019-08-28,91.1500015258789
2018-11-13,92.45999908447266
2018-10-12,92.56999969482422
2019-06-25,92.58999633789062
2020-03-10,92.98999786376953
2020-05-28,93.69000244140625
2019-10-07,93.1500015258789
2020-03-13,93.7300033569336
2019-10-10,93.37000274658203
2020-03-16,94.12999725341797
2020-06-03,95.76000213623047
2018-11-28,95.4000015258789
2018-09-25,93.79000091552734
2018-07-23,93.02999877929688
2018-08-24,93.62000274658203
2019-07-10,93.05000305175781
2019-05-07,93.69000244140625
2019-04-05,95.25
2019-03-04,96.5999984741211
2019-01-31,95.94999694824219
2019-09-12,94.76000213623047
2019-12-31,95.54000091552734
2020-03-19,95.44000244140625
2020-01-03,95.20999908447266
2020-06-09,95.16999816894531
2019-02-15,95.3499984741211
2019-01-14,95.48999786376953
2018-07-06,96.33000183105469
2018-08-07,96.2300033569336
2018-10-10,96.75
2018-12-13,96.95999908447266
2019-08-26,98.12999725341797
2019-07-25,98.2699966430664
2019-05-22,98.0999984741211
2019-03-19,97.69999694824219
2020-01-06,98.29000091552734
2020-03-25,98.83999633789062
2020-06-12,98.05999755859375
2019-10-22,97.86000061035156
2020-01-09,98.41000366210938
2020-06-15,97.88999938964844
2019-10-25,98.76000213623047
2020-03-31,97.70999908447266
2020-06-18,95.44999694824219
2019-04-03,96.80000305175781
2018-08-22,98.23999786376953
2018-10-25,98.3499984741211
2019-01-29,98.66999816894531
2018-12-28,99.80000305175781
2018-11-26,99.2699966430664
2019-08-09,100.41000366210938
2019-07-08,99.30999755859375
2019-06-06,99.13999938964844
2019-09-10,97.9800033569336
2020-01-15,95.97000122070312
2020-04-03,98.30999755859375
2019-10-31,98.29000091552734
2020-04-06,97.2699966430664
2020-06-24,96.91000366210938
2018-11-09,96.29000091552734
2019-07-23,95.77999877929688
2019-06-21,96.37000274658203
2019-05-20,96.87000274658203
2019-04-18,98.12000274658203
2018-09-06,98.86000061035156
2018-10-08,98.23999786376953
2019-02-13,99.33999633789062
2018-12-11,99.66000366210938
2019-09-25,99.7300033569336
2020-01-21,97.16000366210938
2020-04-09,96.36000061035156
2019-11-06,97.20999908447266
2020-01-24,96.75
2020-01-27,97.37999725341797
2020-04-15,97.91999816894531
2018-12-26,97.36000061035156
2019-08-07,96.04000091552734
2019-06-04,95.52999877929688
2018-09-21,95.91999816894531
2018-07-19,96.63999938964844
