Dates,GOLD
2008-05-12,34.970001220703125
2008-07-15,37.84000015258789
2008-12-22,35.220001220703125
2008-06-13,33.970001220703125
2008-10-24,34.959999084472656
2009-01-06,34.209999084472656
2008-05-27,34.91999816894531
2008-12-05,36.09000015258789
2009-03-11,36.9900016784668
2008-11-03,36.59000015258789
2008-10-02,37.08000183105469
2008-02-21,37.66999816894531
2008-03-24,35.25
2008-04-25,34.70000076293945
2008-07-30,33.470001220703125
2008-09-15,33.36000061035156
2008-08-14,33.939998626708984
2008-06-11,32.18000030517578
2009-01-21,32.95000076293945
2008-11-18,33.029998779296875
2008-03-07,33.66999816894531
2008-02-04,35.099998474121094
2008-04-08,36.400001525878906
2008-10-17,36.61000061035156
2009-03-26,37.029998779296875
2008-08-21,39.9900016784668
2009-04-15,40.900001525878906
2008-01-18,38.540000915527344
2008-02-19,37.66999816894531
2008-12-03,38.86000061035156
2008-09-30,39.5
2008-08-29,37.4900016784668
2008-07-28,36.880001068115234
2008-06-26,37.599998474121094
2009-03-09,38.900001525878906
2009-02-05,39.630001068115234
2008-04-23,39.040000915527344
2009-04-24,38.880001068115234
2008-06-09,39.369998931884766
2009-02-20,39.150001525878906
2008-03-05,38.650001525878906
2008-05-08,39.290000915527344
2008-12-18,38.7599983215332
2008-10-15,38.61000061035156
2008-08-12,37.72999954223633
2008-07-11,36.290000915527344
2009-03-24,35.59000015258789
2009-04-27,33.20000076293945
2009-04-30,31.690000534057617
2008-08-27,32.36000061035156
2008-01-16,30.889999389648438
2008-04-21,28.969999313354492
2008-03-20,29.290000915527344
2008-06-24,28.8799991607666
2008-05-23,30.059999465942383
2009-02-03,28.530000686645508
2009-01-02,28.1299991607666
2008-12-01,27.75
2008-10-30,29.020000457763672
2008-11-14,29.90999984741211
2008-10-13,29.93000030517578
2008-09-11,29.760000228881836
2008-03-03,31.950000762939453
2008-01-31,34.2400016784668
2008-04-04,33.959999084472656
2008-05-06,33.81999969482422
2008-07-09,32.900001525878906
2009-02-18,33.75
2008-12-16,33.599998474121094
2009-05-12,32.709999084472656
2009-05-18,33.119998931884766
2008-05-21,33.310001373291016
2008-12-31,34.040000915527344
2008-10-28,33.2400016784668
2008-03-18,32.72999954223633
2008-02-15,29.739999771118164
2008-09-26,29.700000762939453
