Dates,SNA
2018-12-17,154.43153381347656
2019-08-30,154.28823852539062
2018-11-15,151.92835998535156
2019-07-29,152.77867126464844
2019-06-27,153.3423614501953
2019-04-24,155.7882080078125
2018-07-10,157.7849884033203
2018-09-12,158.00601196289062
2019-02-19,155.57484436035156
2019-01-18,154.2871856689453
2020-02-24,154.7100067138672
2020-05-13,154.90220642089844
2019-12-10,154.07577514648438
2020-02-27,158.04443359375
2019-12-13,157.59280395507812
2020-05-19,159.7452850341797
2019-03-06,157.87147521972656
2018-11-30,150.376220703125
2019-08-13,149.8765106201172
2019-07-12,145.10069274902344
2019-06-10,142.90016174316406
2019-05-09,141.58367919921875
2018-07-25,142.59266662597656
2018-09-27,144.08209228515625
2018-10-29,141.56448364257812
2019-10-16,139.93087768554688
2019-12-16,140.9014129638672
2020-03-04,136.69253540039062
2020-05-22,134.48239135742188
2019-10-01,133.2235565185547
2019-12-19,130.81166076660156
2018-09-10,136.16403198242188
2019-05-24,138.3933868408203
2018-08-09,138.61441040039062
2019-04-22,139.61376953125
2019-03-21,141.69898986816406
2019-01-16,139.7771453857422
2019-08-28,144.87966918945312
2018-11-13,146.73426818847656
2018-10-12,148.6080780029297
2019-06-25,151.59658813476562
2020-03-10,153.8547821044922
2020-05-28,154.06617736816406
2019-10-07,155.79586791992188
2020-03-13,155.31541442871094
2019-10-10,156.10336303710938
2020-03-16,159.73570251464844
2020-06-03,161.2058868408203
2018-11-28,156.2955322265625
2018-09-25,156.79522705078125
2018-07-23,156.98741149902344
2018-08-24,156.84329223632812
2019-07-10,156.4973602294922
2019-05-07,156.0072784423828
2019-04-05,157.59280395507812
2019-03-04,159.5050811767578
2019-01-31,158.9285125732422
2019-09-12,159.68760681152344
2019-12-31,159.4762420654297
2020-03-19,159.1206817626953
2020-01-03,145.7925567626953
2020-06-09,147.0994415283203
2019-02-15,149.175048828125
2019-01-14,149.57862854003906
2018-07-06,149.21347045898438
2018-08-07,149.8284912109375
2018-10-10,151.61581420898438
2018-12-13,152.91307067871094
2019-08-26,153.58572387695312
2019-07-25,154.5754852294922
2019-05-22,155.95777893066406
2019-03-19,155.44546508789062
2020-01-06,154.6431427001953
2020-03-25,157.50440979003906
2020-06-12,154.6624755859375
2019-10-22,153.6088409423828
2020-01-09,154.3531494140625
2020-06-15,155.21347045898438
2019-10-25,155.5131378173828
2020-03-31,155.15545654296875
2020-06-18,152.35220336914062
2019-04-03,154.53680419921875
2018-08-22,154.92347717285156
2018-10-25,153.61849975585938
2019-01-29,151.38555908203125
2018-12-28,150.48658752441406
2018-11-26,153.6475067138672
2019-08-09,153.46383666992188
2019-07-08,150.012939453125
2019-06-06,151.3275604248047
2019-09-10,144.95741271972656
2020-01-15,146.0400390625
2020-04-03,147.4513397216797
2019-10-31,148.49530029296875
2020-04-06,149.48129272460938
2020-06-24,151.298583984375
2018-11-09,153.94715881347656
2019-07-23,153.7151641845703
2019-06-21,153.7828369140625
2019-05-20,155.82244873046875
2019-04-18,155.83212280273438
2018-09-06,154.70114135742188
2018-10-08,151.99456787109375
2019-02-13,148.66929626464844
2018-12-11,150.08059692382812
2019-09-25,150.76690673828125
2020-01-21,151.1825408935547
2020-04-09,151.57888793945312
2019-11-06,152.57452392578125
2020-01-24,162.46327209472656
2020-01-27,162.79193115234375
2020-04-15,165.49853515625
2018-12-26,164.26121520996094
2019-08-07,162.55027770996094
2019-06-04,164.10655212402344
2018-09-21,163.39125061035156
2018-07-19,162.666259765625
2018-08-20,161.17764282226562
2018-10-23,163.7489013671875
2019-05-03,165.74017333984375
2019-04-01,164.83154296875
2019-02-28,162.9466094970703
2019-11-12,162.27963256835938
2020-01-30,162.10560607910156
2019-11-15,162.666259765625
2020-04-21,155.0491180419922
2019-04-16,156.82774353027344
2019-03-15,157.9973907470703
2019-02-11,159.9016571044922
2019-01-10,157.69772338867188
2019-08-22,151.6013946533203
2018-11-07,154.52801513671875
2018-08-03,154.99472045898438
2018-09-04,152.96263122558594
2019-06-19,153.91546630859375
2019-09-23,150.83328247070312
2019-11-18,152.2625732421875
2020-02-05,152.71954345703125
2020-04-24,151.6013946533203
2019-03-29,151.88336181640625
2019-11-21,155.37391662597656
2020-04-27,157.13380432128906
2020-02-11,157.7074432373047
2020-04-30,157.9407958984375
2019-05-01,158.50474548339844
2019-02-26,157.98941040039062
2019-01-25,157.4935302734375
2018-12-24,160.59518432617188
2019-09-06,159.5450897216797
2018-07-17,157.17266845703125
2018-09-19,161.30496215820312
2019-08-05,160.48822021484375
2019-10-08,163.33706665039062
2019-12-11,157.3379669189453
2019-11-27,158.08663940429688
2020-02-14,159.43814086914062
2020-05-06,159.0006103515625
2019-01-08,158.95199584960938
2018-12-07,161.0521697998047
2019-08-20,160.7701873779297
2018-11-05,158.4464111328125
2019-07-19,158.30055236816406
2018-10-04,157.22129821777344
2019-06-17,155.4711456298828
2019-05-16,152.84593200683594
2018-08-01,152.3306121826172
2019-03-13,152.16531372070312
2019-12-03,155.3350372314453
2020-02-20,153.9738006591797
2019-12-06,155.60726928710938
2020-05-12,149.4915008544922
2019-12-09,147.13853454589844
2020-02-26,145.8453369140625
