Dates,IRM
2019-02-22,2865200.0
2019-10-04,2234300.0
2019-11-05,2634800.0
2019-12-27,2680400.0
2020-06-02,3838000.0
2019-12-30,2745900.0
2020-03-18,2452000.0
2020-06-05,2383900.0
2019-07-15,1656700.0
2018-12-03,2303400.0
2019-06-13,2398200.0
2019-01-04,1984000.0
2018-08-29,1815800.0
2019-02-05,2397900.0
2018-11-01,961800.0
2019-08-16,2309100.0
2019-04-10,1081500.0
2019-09-17,2434300.0
2019-10-15,1614200.0
2020-01-02,960300.0
2020-06-08,1235400.0
2019-10-18,1479200.0
2020-03-24,1238800.0
2020-06-11,4590600.0
2020-01-08,2332800.0
2019-04-25,1419100.0
2019-07-30,1649900.0
2019-02-20,1560700.0
2018-07-11,1019000.0
2018-09-13,1590300.0
2018-10-15,2000700.0
2019-06-28,3186800.0
2018-12-18,4411300.0
2018-11-16,2348000.0
2019-10-02,4153200.0
2020-03-27,3297200.0
2020-01-10,1727900.0
2019-10-24,1960000.0
2020-03-30,2794300.0
2020-06-17,1885500.0
2020-01-14,1921700.0
2020-04-02,2935400.0
2019-01-02,1830000.0
2019-08-14,1543500.0
2018-10-30,1405000.0
2019-06-11,1237300.0
2019-05-10,1270000.0
2019-04-08,1283000.0
2018-08-27,1733600.0
2018-07-26,1672600.0
2018-09-28,5098100.0
2019-03-07,4635400.0
2019-10-30,1328400.0
2020-01-17,2430400.0
2020-06-23,2344300.0
2020-04-08,1932800.0
2020-06-26,1576000.0
2019-03-22,2208200.0
2019-01-17,1518400.0
2019-08-29,2051200.0
2018-11-14,1868300.0
2019-06-26,2764800.0
2018-09-11,3052200.0
2018-07-09,4619600.0
2018-08-10,3219000.0
2019-04-23,2686400.0
2019-09-30,2728800.0
2020-01-23,3251000.0
2019-11-08,1584100.0
2020-04-14,504400.0
2019-11-11,1304500.0
2020-01-29,1545700.0
2020-04-17,1406800.0
2018-07-24,2271300.0
2018-09-26,8480500.0
2019-05-08,4402600.0
2019-03-05,2871600.0
2019-02-01,2312900.0
2018-12-31,2274600.0
2018-11-29,2089500.0
2019-08-12,2843500.0
2019-07-11,6731700.0
2019-09-13,2214200.0
2019-11-14,2003600.0
2020-04-20,2036400.0
2020-02-04,2711500.0
2020-04-23,2822100.0
2018-12-14,2221700.0
2019-08-27,1629700.0
2018-08-08,2630100.0
2018-10-11,2507500.0
2018-11-12,2013900.0
2019-07-26,1570100.0
2019-06-24,1947200.0
2019-05-23,3903600.0
2019-03-20,2085500.0
2019-01-15,1744300.0
2019-11-20,2502600.0
2020-02-07,1880900.0
2020-02-10,1515400.0
2020-04-29,1549600.0
2019-11-26,2080600.0
2020-02-13,3280600.0
2019-01-30,6984000.0
2018-08-23,2938700.0
2018-09-24,4187500.0
2018-11-27,3073400.0
2018-10-26,2525100.0
2019-07-09,2665300.0
2019-06-07,3374700.0
2019-05-06,3096100.0
2019-04-04,3342300.0
2019-09-11,5239600.0
2019-11-29,7536800.0
2020-05-05,6296600.0
2019-12-02,4846800.0
2020-02-19,4231800.0
2020-05-08,2404500.0
2019-05-21,4507500.0
2019-03-18,5996900.0
2018-09-07,4601600.0
2018-08-06,4907700.0
2018-10-09,6150200.0
2019-02-14,5817500.0
2018-12-12,5060000.0
2019-07-24,5516100.0
2019-09-26,4893100.0
2019-10-28,4341000.0
2019-12-05,5693800.0
2020-05-11,3985500.0
2019-07-03,4507000.0
2020-02-25,4862100.0
2020-05-14,4333400.0
2020-02-28,4111800.0
2019-08-08,2994400.0
2019-06-05,3884900.0
2018-07-20,3595800.0
2018-08-21,4462100.0
2018-10-24,2843100.0
2019-04-02,3113600.0
2019-03-01,5649300.0
2019-01-28,3921500.0
2018-12-27,7548000.0
2019-09-09,2459300.0
2020-03-02,2684300.0
2020-05-20,3962600.0
2019-12-17,2523700.0
2020-03-05,2481600.0
2019-02-12,2232900.0
2019-01-11,1820600.0
2018-12-10,2068500.0
2019-08-23,1647700.0
2018-11-08,3733400.0
2019-07-22,2707800.0
2019-06-20,2650100.0
2018-09-05,2877900.0
2019-04-17,3814000.0
2019-09-24,2275200.0
2019-12-20,3713800.0
2020-05-26,3748700.0
2019-04-30,6364800.0
2019-12-23,7481500.0
2020-03-11,3469700.0
2020-05-29,2275100.0
2019-12-26,2941100.0
