Dates,GRMN
2019-08-22,77.26000213623047
2018-11-07,77.69999694824219
2018-08-03,77.2300033569336
2018-09-04,77.30000305175781
2019-06-19,77.6500015258789
2019-09-23,76.86000061035156
2019-11-18,76.37999725341797
2020-02-05,77.23999786376953
2020-04-24,76.4800033569336
2019-03-29,76.69000244140625
2019-11-21,78.29000091552734
2020-04-27,78.45999908447266
2020-02-11,78.37000274658203
2020-04-30,78.94999694824219
2019-05-01,80.16999816894531
2019-02-26,80.20999908447266
2019-01-25,80.68000030517578
2018-12-24,80.48999786376953
2019-09-06,79.79000091552734
2018-07-17,79.95999908447266
2018-09-19,80.8499984741211
2019-08-05,81.62000274658203
2019-10-08,81.73999786376953
2019-12-11,81.20999908447266
2019-11-27,81.31999969482422
2020-02-14,80.19000244140625
2020-05-06,80.2300033569336
2019-01-08,80.2699966430664
2018-12-07,79.80000305175781
2019-08-20,79.88999938964844
2018-11-05,80.02999877929688
2019-07-19,80.55999755859375
2018-10-04,79.75
2019-06-17,79.44999694824219
2019-05-16,79.13999938964844
2018-08-01,78.73999786376953
2019-03-13,78.98999786376953
2019-12-03,79.79000091552734
2020-02-20,79.83000183105469
2019-12-06,81.05999755859375
2020-05-12,81.12000274658203
2019-12-09,82.0
2020-02-26,81.08000183105469
2020-05-15,80.81999969482422
2019-03-28,80.37000274658203
2018-09-17,79.48999786376953
2018-08-16,78.54000091552734
2018-10-19,78.29000091552734
2019-04-29,78.62000274658203
2019-01-23,76.5999984741211
2019-09-04,78.58999633789062
2018-11-20,76.73999786376953
2019-07-02,75.69000244140625
2019-05-31,75.3499984741211
2019-12-12,76.6500015258789
2020-05-18,77.26000213623047
2019-09-27,78.6500015258789
2020-03-03,79.04000091552734
2020-05-21,77.80000305175781
2019-05-14,79.08999633789062
2018-08-31,76.51000213623047
2018-07-30,76.77999877929688
2018-10-02,77.16999816894531
2019-04-12,78.19000244140625
2019-03-11,78.69999694824219
2019-02-07,80.12000274658203
2019-07-17,80.27999877929688
2019-09-19,78.36000061035156
2019-10-21,78.95999908447266
2019-12-18,79.80999755859375
2020-03-06,80.3499984741211
2019-10-03,80.91999816894531
2020-03-09,81.56999969482422
