Dates,UNP
2019-07-12,147.2899932861328
2019-06-10,144.16000366210938
2019-05-09,146.86000061035156
2018-07-25,147.02999877929688
2018-09-27,144.60000610351562
2018-10-29,141.86000061035156
2019-10-16,138.72999572753906
2019-12-16,138.6999969482422
2020-03-04,135.94000244140625
2020-05-22,133.11000061035156
2019-10-01,132.27999877929688
2019-12-19,128.0800018310547
2018-09-10,128.9199981689453
2019-05-24,131.97000122070312
2018-08-09,135.97000122070312
2019-04-22,136.52999877929688
2019-03-21,134.77000427246094
2019-01-16,132.1699981689453
2019-08-28,134.52000427246094
2018-11-13,136.25999450683594
2018-10-12,149.0399932861328
2019-06-25,148.61000061035156
2020-03-10,149.00999450683594
2020-05-28,153.08999633789062
2019-10-07,151.64999389648438
2020-03-13,151.74000549316406
2019-10-10,150.91000366210938
2020-03-16,150.92999267578125
2020-06-03,155.00999450683594
2018-11-28,154.41000366210938
2018-09-25,152.42999267578125
2018-07-23,156.00999450683594
2018-08-24,160.22000122070312
2019-07-10,159.33999633789062
2019-05-07,158.75
2019-04-05,159.44000244140625
2019-03-04,157.02000427246094
2019-01-31,158.25999450683594
2019-09-12,159.22000122070312
2019-12-31,160.0
2020-03-19,160.3000030517578
2020-01-03,158.92999267578125
2020-06-09,160.27999877929688
2019-02-15,162.38999938964844
2019-01-14,164.8800048828125
2018-07-06,166.60000610351562
2018-08-07,167.52000427246094
2018-10-10,169.72999572753906
2018-12-13,169.0500030517578
2019-08-26,170.75999450683594
2019-07-25,169.52999877929688
2019-05-22,168.10000610351562
2019-03-19,168.55999755859375
2020-01-06,168.72000122070312
2020-03-25,167.80999755859375
2020-06-12,167.52999877929688
2019-10-22,166.7899932861328
2020-01-09,166.0
2020-06-15,166.77999877929688
2019-10-25,165.47999572753906
2020-03-31,164.16000366210938
2020-06-18,161.80999755859375
2019-04-03,163.67999267578125
2018-08-22,164.52999877929688
2018-10-25,165.19000244140625
2019-01-29,164.60000610351562
2018-12-28,164.2100067138672
2018-11-26,164.6199951171875
2019-08-09,160.30999755859375
2019-07-08,160.16000366210938
2019-06-06,159.5
