Dates,MKTX
2018-10-29,228.47000122070312
2019-10-16,225.8800048828125
2019-12-16,219.8699951171875
2020-03-04,213.25
2020-05-22,211.82000732421875
2019-10-01,210.30999755859375
2019-12-19,204.0800018310547
2018-09-10,199.58999633789062
2019-05-24,203.25
2018-08-09,206.22000122070312
2019-04-22,208.6300048828125
2019-03-21,209.27000427246094
2019-01-16,208.5800018310547
2019-08-28,210.10000610351562
2018-11-13,214.5
2018-10-12,218.0800018310547
2019-06-25,217.9499969482422
2020-03-10,212.3300018310547
2020-05-28,212.00999450683594
2019-10-07,211.17999267578125
2020-03-13,208.39999389648438
2019-10-10,211.82000732421875
2020-03-16,216.00999450683594
2020-06-03,216.86000061035156
2018-11-28,218.67999267578125
2018-09-25,219.22999572753906
2018-07-23,219.75
2018-08-24,219.47000122070312
2019-07-10,218.69000244140625
2019-05-07,218.35000610351562
2019-04-05,212.02000427246094
2019-03-04,209.61000061035156
2019-01-31,218.38999938964844
2019-09-12,212.5399932861328
2019-12-31,215.6199951171875
2020-03-19,218.08999633789062
2020-01-03,217.88999938964844
2020-06-09,220.50999450683594
2019-02-15,221.02000427246094
2019-01-14,224.1300048828125
2018-07-06,226.58999633789062
2018-08-07,227.25999450683594
2018-10-10,227.4199981689453
2018-12-13,228.69000244140625
2019-08-26,232.66000366210938
2019-07-25,233.86000061035156
2019-05-22,235.02999877929688
2019-03-19,239.72000122070312
2020-01-06,240.72000122070312
2020-03-25,240.47000122070312
2020-06-12,244.92999267578125
2019-10-22,236.4499969482422
2020-01-09,242.9600067138672
2020-06-15,237.32000732421875
2019-10-25,234.5
2020-03-31,230.6300048828125
2020-06-18,224.60000610351562
2019-04-03,226.30999755859375
2018-08-22,227.1699981689453
2018-10-25,230.72999572753906
2019-01-29,230.63999938964844
2018-12-28,231.69000244140625
2018-11-26,234.08999633789062
2019-08-09,238.47000122070312
2019-07-08,235.69000244140625
2019-06-06,236.57000732421875
