Dates,MKTX
2020-04-09,260.9229431152344
2019-11-06,260.2381896972656
2020-01-24,261.9154052734375
2020-01-27,260.13897705078125
2020-04-15,260.5061950683594
2018-12-26,262.37188720703125
2019-08-07,263.4436950683594
2019-06-04,267.631591796875
2018-09-21,274.2013244628906
2018-07-19,276.21588134765625
2018-08-20,279.8977355957031
2018-10-23,280.76116943359375
2019-05-03,283.8772888183594
2019-04-01,288.23394775390625
2019-02-28,278.2327880859375
2019-11-12,279.17724609375
2020-01-30,276.3737487792969
2019-11-15,279.3064880371094
2020-04-21,280.0023498535156
2019-04-16,285.7088317871094
2019-03-15,285.3210754394531
2019-02-11,287.7368469238281
2019-01-10,290.4608459472656
2019-08-22,291.8725280761719
2018-11-07,290.33160400390625
2018-08-03,290.7789306640625
2018-09-04,289.9140625
2019-06-19,286.6333923339844
2019-09-23,279.42578125
2019-11-18,279.6742858886719
2020-02-05,282.2988586425781
2020-04-24,296.0777893066406
2019-03-29,292.49884033203125
2019-11-21,297.37017822265625
2020-04-27,314.94671630859375
2020-02-11,324.9478759765625
2020-04-30,332.65252685546875
2019-05-01,337.9115905761719
2019-02-26,332.03619384765625
2019-01-25,323.3771667480469
2018-12-24,315.8116760253906
2019-09-06,318.177734375
2018-07-17,316.63677978515625
2018-09-19,316.68646240234375
2019-08-05,329.4514465332031
2019-10-08,329.4215393066406
2019-12-11,331.1314697265625
2019-11-27,331.0718688964844
2020-02-14,317.17364501953125
2020-05-06,310.8409118652344
2019-01-08,314.48944091796875
2018-12-07,319.53973388671875
2019-08-20,320.6929016113281
2018-11-05,328.9543151855469
2019-07-19,336.5198059082031
2018-10-04,339.8999328613281
2019-06-17,339.5022277832031
2019-05-16,340.89404296875
2018-08-01,347.3560485839844
2019-03-13,352.4560241699219
2019-12-03,356.18408203125
2020-02-20,358.6794128417969
2019-12-06,360.9858093261719
2020-05-12,365.8770446777344
2019-12-09,370.6191101074219
2020-02-26,364.8829040527344
2020-05-15,368.3127136230469
2019-03-28,365.6583557128906
2018-09-17,332.294677734375
2018-08-16,341.98760986328125
2018-10-19,345.9045715332031
2019-04-29,334.92913818359375
2019-01-23,334.0841064453125
2019-09-04,335.068359375
2018-11-20,338.30926513671875
2019-07-02,338.6373596191406
2019-05-31,339.4724426269531
2019-12-12,343.33551025390625
2020-05-18,347.3977355957031
2019-09-27,350.8226623535156
2020-03-03,360.5699462890625
2020-05-21,361.67510986328125
2019-05-14,365.418701171875
2018-08-31,355.10394287109375
2018-07-30,363.5270080566406
2018-10-02,364.61224365234375
2019-04-12,367.30047607421875
2019-03-11,373.6924743652344
2019-02-07,387.5318298339844
2019-07-17,390.89703369140625
2019-09-19,386.9244689941406
2019-10-21,393.3861389160156
2019-12-18,403.9100341796875
2020-03-06,402.69537353515625
2019-10-03,390.53863525390625
2020-03-09,395.8852233886719
2020-05-27,400.3556213378906
2019-12-24,406.8272399902344
2020-03-12,410.16265869140625
2018-12-20,417.5701904296875
2019-08-01,368.07708740234375
2018-08-14,340.567626953125
2018-07-13,339.9403381347656
2018-10-17,343.6341857910156
2019-05-29,328.8489685058594
2019-03-26,332.8912658691406
2019-02-22,340.9858093261719
2019-10-04,342.4991455078125
2019-11-05,341.2546081542969
2019-12-27,336.70452880859375
2020-06-02,334.08599853515625
2019-12-30,334.6336364746094
2020-03-18,332.0549011230469
2020-06-05,330.5514831542969
2019-07-15,323.2933044433594
2018-12-03,326.0711669921875
2019-06-13,323.5920104980469
2019-01-04,317.33941650390625
2018-08-29,335.3902587890625
2019-02-05,345.4363098144531
2018-11-01,346.2726135253906
2019-08-16,345.15753173828125
2019-04-10,353.719970703125
2019-09-17,357.5233154296875
2019-10-15,346.6708984375
2020-01-02,347.90545654296875
2020-06-08,347.79595947265625
2019-10-18,338.93475341796875
2020-03-24,348.17431640625
2020-06-11,351.3404235839844
2020-01-08,351.8581237792969
2019-04-25,339.16375732421875
2019-07-30,340.6871032714844
2019-02-20,347.9353332519531
2018-07-11,342.5688781738281
2018-09-13,347.3478698730469
2018-10-15,349.95648193359375
2019-06-28,357.58306884765625
2018-12-18,366.9818420410156
2018-11-16,364.54254150390625
2019-10-02,356.8363342285156
2020-03-27,342.7180480957031
2020-01-10,346.7860107421875
2019-10-24,348.57073974609375
2020-03-30,346.1279602050781
2020-06-17,358.6808776855469
2020-01-14,364.8526611328125
2020-04-02,373.2578430175781
2019-01-02,378.1035461425781
2019-08-14,379.9381103515625
2018-10-30,388.3731994628906
2019-06-11,398.99188232421875
2019-05-10,403.29913330078125
2019-04-08,392.7303771972656
2018-08-27,391.1749267578125
2018-07-26,396.0106506347656
2018-09-28,400.71673583984375
2019-03-07,405.2333984375
2019-10-30,402.6311340332031
