Dates,WBA
2019-06-06,62.439998626708984
2019-09-10,62.38999938964844
2020-01-15,61.349998474121094
2020-04-03,61.619998931884766
2019-10-31,61.13999938964844
2020-04-06,62.290000915527344
2020-06-24,62.63999938964844
2018-11-09,63.13999938964844
2019-07-23,55.0
2019-06-21,54.47999954223633
2019-05-20,53.849998474121094
2019-04-18,54.29999923706055
2018-09-06,54.5
2018-10-08,54.36000061035156
2019-02-13,54.36000061035156
2018-12-11,53.31999969482422
2019-09-25,53.400001525878906
2020-01-21,53.56999969482422
2020-04-09,53.970001220703125
2019-11-06,54.08000183105469
2020-01-24,54.58000183105469
2020-01-27,54.08000183105469
2020-04-15,53.16999816894531
2018-12-26,53.189998626708984
2019-08-07,52.63999938964844
2019-06-04,52.25
2018-09-21,52.779998779296875
2018-07-19,53.040000915527344
