Dates,DISH
2018-10-24,3043700.0
2019-04-02,3539600.0
2019-03-01,4803200.0
2019-01-28,2345200.0
2018-12-27,3272800.0
2019-09-09,2399200.0
2020-03-02,2898500.0
2020-05-20,2250100.0
2019-12-17,2961600.0
2020-03-05,5026700.0
2019-02-12,2805800.0
2019-01-11,3606400.0
2018-12-10,3884300.0
2019-08-23,2922900.0
2018-11-08,3401100.0
2019-07-22,2243500.0
2019-06-20,3310500.0
2018-09-05,2094800.0
2019-04-17,3595500.0
2019-09-24,3917400.0
2019-12-20,2427700.0
2020-05-26,2515000.0
2019-04-30,3256800.0
2019-12-23,2754800.0
2020-03-11,3641900.0
2020-05-29,3705600.0
2019-12-26,2578800.0
2020-06-01,4353200.0
2019-05-02,3026100.0
2019-02-27,2438700.0
2018-11-23,3556800.0
2019-08-06,3052600.0
2018-07-18,6259200.0
2018-09-20,1813700.0
2018-10-22,2741400.0
2019-07-05,3273200.0
2019-06-03,2993000.0
2019-10-09,3138400.0
2019-10-11,5439600.0
2020-03-17,2461600.0
2020-06-04,2713900.0
2019-10-14,3731300.0
2020-03-20,3425600.0
2018-11-06,5363600.0
2019-06-18,3436200.0
2019-05-17,4700900.0
2019-04-15,3836000.0
2019-03-14,3827100.0
2019-01-09,4104700.0
2018-08-02,4313400.0
2018-10-05,4193200.0
2019-08-21,3352300.0
2019-10-17,5499000.0
2020-03-23,5990200.0
2020-06-10,2111000.0
2019-02-25,2085800.0
2020-01-07,3185500.0
2020-03-26,2750100.0
2019-10-23,5986300.0
