Dates,NSC
2019-09-12,169.13999938964844
2019-12-31,169.82000732421875
2020-03-19,169.0
2020-01-03,168.22999572753906
2020-06-09,169.07000732421875
2019-02-15,174.97999572753906
2019-01-14,178.0500030517578
2018-07-06,180.6300048828125
2018-08-07,180.13999938964844
2018-10-10,182.52000427246094
2018-12-13,179.61000061035156
2019-08-26,182.82000732421875
2019-07-25,183.6300048828125
2019-05-22,183.22999572753906
2019-03-19,183.58999633789062
2020-01-06,180.55999755859375
2020-03-25,180.10000610351562
2020-06-12,180.82000732421875
2019-10-22,179.91000366210938
2020-01-09,180.11000061035156
2020-06-15,180.19000244140625
2019-10-25,178.2899932861328
2020-03-31,178.74000549316406
2020-06-18,177.30999755859375
2019-04-03,176.6699981689453
2018-08-22,181.11000061035156
2018-10-25,179.9199981689453
2019-01-29,179.6699981689453
2018-12-28,179.9499969482422
2018-11-26,179.32000732421875
2019-08-09,182.91000366210938
2019-07-08,178.8800048828125
2019-06-06,177.14999389648438
2019-09-10,180.2100067138672
2020-01-15,177.60000610351562
2020-04-03,181.0
2019-10-31,181.08999633789062
2020-04-06,182.5500030517578
2020-06-24,188.02999877929688
2018-11-09,190.0
2019-07-23,193.5399932861328
2019-06-21,193.8300018310547
2019-05-20,192.1999969482422
2019-04-18,191.4600067138672
2018-09-06,192.39999389648438
2018-10-08,192.52000427246094
2019-02-13,192.89999389648438
2018-12-11,193.30999755859375
2019-09-25,194.38999938964844
2020-01-21,195.72000122070312
2020-04-09,194.1199951171875
2019-11-06,196.91000366210938
2020-01-24,199.22000122070312
2020-01-27,198.33999633789062
2020-04-15,201.5399932861328
2018-12-26,206.24000549316406
2019-08-07,205.5399932861328
2019-06-04,203.17999267578125
2018-09-21,203.75
2018-07-19,202.49000549316406
2018-08-20,203.3699951171875
2018-10-23,199.14999389648438
2019-05-03,201.8300018310547
2019-04-01,201.6300048828125
2019-02-28,201.9199981689453
2019-11-12,201.1999969482422
2020-01-30,199.47000122070312
2019-11-15,201.36000061035156
2020-04-21,199.5
2019-04-16,197.9499969482422
2019-03-15,199.33999633789062
2019-02-11,201.66000366210938
2019-01-10,202.75
2019-08-22,202.72000122070312
2018-11-07,206.2899932861328
2018-08-03,204.5399932861328
2018-09-04,201.07000732421875
2019-06-19,201.3300018310547
2019-09-23,199.94000244140625
2019-11-18,196.2899932861328
2020-02-05,196.17999267578125
2020-04-24,196.10000610351562
2019-03-29,195.1300048828125
2019-11-21,198.0800018310547
2020-04-27,202.8300018310547
2020-02-11,202.60000610351562
2020-04-30,201.00999450683594
2019-05-01,204.66000366210938
2019-02-26,202.8699951171875
2019-01-25,198.97999572753906
2018-12-24,199.0399932861328
2019-09-06,196.30999755859375
2018-07-17,194.4499969482422
