Dates,ROK
2020-05-13,172.35000610351562
2019-12-10,171.17999267578125
2020-02-27,172.83999633789062
2019-12-13,173.39999389648438
2020-05-19,174.52999877929688
2019-03-06,180.8699951171875
2018-11-30,179.02999877929688
2019-08-13,169.9600067138672
2019-07-12,169.2100067138672
2019-06-10,161.8699951171875
2019-05-09,163.82000732421875
2018-07-25,163.02999877929688
2018-09-27,160.22999572753906
2018-10-29,159.74000549316406
2019-10-16,157.0399932861328
2019-12-16,156.67999267578125
2020-03-04,156.39999389648438
2020-05-22,151.19000244140625
2019-10-01,149.91000366210938
2019-12-19,146.08999633789062
2018-09-10,148.7100067138672
2019-05-24,150.0399932861328
2018-08-09,151.75999450683594
2019-04-22,151.00999450683594
2019-03-21,151.99000549316406
2019-01-16,149.97000122070312
2019-08-28,150.32000732421875
2018-11-13,153.5
2018-10-12,153.52999877929688
2019-06-25,155.82000732421875
2020-03-10,155.1699981689453
2020-05-28,157.22000122070312
2019-10-07,157.14999389648438
2020-03-13,157.10000610351562
2019-10-10,158.66000366210938
2020-03-16,162.11000061035156
2020-06-03,165.83999633789062
2018-11-28,164.42999267578125
2018-09-25,163.97000122070312
2018-07-23,163.27000427246094
2018-08-24,166.92999267578125
2019-07-10,165.6699981689453
2019-05-07,179.89999389648438
2019-04-05,174.2899932861328
2019-03-04,173.25999450683594
2019-01-31,172.47000122070312
2019-09-12,169.67999267578125
2019-12-31,170.83999633789062
2020-03-19,171.99000549316406
2020-01-03,170.42999267578125
2020-06-09,169.44000244140625
2019-02-15,170.17999267578125
2019-01-14,173.05999755859375
2018-07-06,177.5500030517578
2018-08-07,177.9600067138672
2018-10-10,177.6999969482422
2018-12-13,178.5
2019-08-26,179.38999938964844
2019-07-25,178.5
2019-05-22,180.02000427246094
2019-03-19,181.50999450683594
2020-01-06,180.8300018310547
2020-03-25,180.69000244140625
2020-06-12,179.99000549316406
2019-10-22,180.5800018310547
2020-01-09,180.69000244140625
2020-06-15,179.22000122070312
2019-10-25,179.4499969482422
2020-03-31,177.86000061035156
2020-06-18,174.55999755859375
2019-04-03,178.69000244140625
2018-08-22,180.25
2018-10-25,182.02000427246094
2019-01-29,181.02999877929688
2018-12-28,181.4199981689453
2018-11-26,180.92999267578125
2019-08-09,181.7899932861328
2019-07-08,177.9600067138672
2019-06-06,177.7100067138672
2019-09-10,176.2100067138672
2020-01-15,171.41000366210938
2020-04-03,172.5
2019-10-31,172.14999389648438
2020-04-06,173.97999572753906
2020-06-24,176.0500030517578
2018-11-09,181.30999755859375
2019-07-23,182.22999572753906
2019-06-21,184.36000061035156
2019-05-20,185.0
2019-04-18,186.25
2018-09-06,186.6999969482422
2018-10-08,184.8699951171875
2019-02-13,183.5800018310547
2018-12-11,183.69000244140625
2019-09-25,184.39999389648438
2020-01-21,186.0800018310547
2020-04-09,187.97999572753906
2019-11-06,191.47999572753906
2020-01-24,190.32000732421875
2020-01-27,189.97999572753906
2020-04-15,190.57000732421875
2018-12-26,190.55999755859375
2019-08-07,181.77999877929688
2019-06-04,178.55999755859375
2018-09-21,181.47000122070312
2018-07-19,181.4600067138672
2018-08-20,181.97999572753906
2018-10-23,177.61000061035156
2019-05-03,178.97000122070312
2019-04-01,177.35000610351562
2019-02-28,175.8800048828125
2019-11-12,173.57000732421875
2020-01-30,169.5399932861328
2019-11-15,168.25
2020-04-21,163.33999633789062
2019-04-16,162.4600067138672
2019-03-15,163.17999267578125
2019-02-11,164.35000610351562
2019-01-10,162.9499969482422
2019-08-22,160.72000122070312
2018-11-07,162.49000549316406
2018-08-03,161.60000610351562
2018-09-04,158.94000244140625
2019-06-19,156.60000610351562
2019-09-23,156.0
2019-11-18,153.8000030517578
2020-02-05,156.07000732421875
2020-04-24,153.10000610351562
2019-03-29,151.85000610351562
2019-11-21,157.27000427246094
2020-04-27,158.60000610351562
2020-02-11,158.5
2020-04-30,158.11000061035156
