Dates,ADI
2018-08-09,86.9000015258789
2019-04-22,86.54000091552734
2019-03-21,86.43000030517578
2019-01-16,84.3499984741211
2019-08-28,83.01000213623047
2018-11-13,84.19000244140625
2018-10-12,85.27999877929688
2019-06-25,88.5
2020-03-10,88.66000366210938
2020-05-28,91.11000061035156
2019-10-07,88.98999786376953
2020-03-13,88.54000091552734
2019-10-10,88.5199966430664
2020-03-16,88.8499984741211
2020-06-03,91.52999877929688
2018-11-28,90.75
2018-09-25,89.70999908447266
2018-07-23,95.5
2018-08-24,98.1500015258789
2019-07-10,97.69999694824219
2019-05-07,98.30000305175781
2019-04-05,99.44000244140625
2019-03-04,98.95999908447266
2019-01-31,100.62999725341797
2019-09-12,100.79000091552734
2019-12-31,100.51000213623047
2020-03-19,103.4800033569336
2020-01-03,102.0999984741211
2020-06-09,100.91999816894531
2019-02-15,102.6500015258789
2019-01-14,104.87999725341797
2018-07-06,105.08999633789062
2018-08-07,105.04000091552734
2018-10-10,105.83000183105469
2018-12-13,105.69999694824219
2019-08-26,108.27999877929688
2019-07-25,106.80000305175781
2019-05-22,106.33000183105469
2019-03-19,108.22000122070312
2020-01-06,107.86000061035156
2020-03-25,106.62000274658203
2020-06-12,107.22000122070312
2019-10-22,108.79000091552734
2020-01-09,109.4800033569336
2020-06-15,109.04000091552734
2019-10-25,108.66000366210938
2020-03-31,106.76000213623047
2020-06-18,105.68000030517578
2019-04-03,107.73999786376953
2018-08-22,108.55000305175781
2018-10-25,109.05999755859375
2019-01-29,108.38999938964844
2018-12-28,110.6500015258789
2018-11-26,110.37000274658203
2019-08-09,110.37999725341797
2019-07-08,110.2699966430664
2019-06-06,111.12000274658203
2019-09-10,109.98999786376953
2020-01-15,106.08999633789062
2020-04-03,107.13999938964844
2019-10-31,107.47000122070312
2020-04-06,105.63999938964844
2020-06-24,105.76000213623047
2018-11-09,108.62000274658203
2019-07-23,108.48999786376953
2019-06-21,111.05999755859375
2019-05-20,110.95999908447266
2019-04-18,111.80000305175781
2018-09-06,111.83000183105469
2018-10-08,111.7300033569336
2019-02-13,112.12000274658203
2018-12-11,112.68000030517578
2019-09-25,114.29000091552734
2020-01-21,114.58999633789062
2020-04-09,114.98999786376953
2019-11-06,115.93000030517578
2020-01-24,115.08999633789062
2020-01-27,114.5999984741211
2020-04-15,114.4000015258789
