Dates,BIIB
2020-02-12,332.07000732421875
2020-05-01,339.1199951171875
2020-05-04,342.2699890136719
2019-06-12,337.7900085449219
2019-04-09,327.1199951171875
2019-03-08,323.8500061035156
2019-02-04,326.5
2018-07-27,319.69000244140625
2018-08-28,302.3399963378906
2019-01-03,304.8999938964844
2019-08-15,308.489990234375
2018-10-31,306.69000244140625
2019-09-16,310.6700134277344
2020-02-18,315.94000244140625
2020-05-07,320.8900146484375
2018-08-17,318.79998779296875
2019-12-04,322.4200134277344
2020-02-21,331.8800048828125
2018-12-17,331.4100036621094
2019-08-30,326.6300048828125
2018-11-15,325.0
2019-07-29,325.260009765625
2019-06-27,322.7799987792969
2019-04-24,322.04998779296875
2018-07-10,326.19000244140625
2018-09-12,326.32000732421875
2019-02-19,323.510009765625
2019-01-18,321.04998779296875
2020-02-24,324.45001220703125
2020-05-13,322.489990234375
2019-12-10,323.9100036621094
2020-02-27,332.5
2019-12-13,330.989990234375
2020-05-19,333.7699890136719
2019-03-06,338.7200012207031
2018-11-30,336.29998779296875
2019-08-13,326.7300109863281
2019-07-12,326.54998779296875
2019-06-10,321.1099853515625
2019-05-09,326.6300048828125
2018-07-25,330.75
2018-09-27,325.69000244140625
2018-10-29,320.5400085449219
2019-10-16,323.92999267578125
2019-12-16,313.94000244140625
2020-03-04,299.239990234375
2020-05-22,296.5899963378906
2019-10-01,296.239990234375
2019-12-19,286.75
2018-09-10,295.2300109863281
2019-05-24,294.42999267578125
2018-08-09,298.25
2019-04-22,302.4800109863281
2019-03-21,307.1300048828125
2019-01-16,316.69000244140625
2019-08-28,323.6300048828125
2018-11-13,327.260009765625
2018-10-12,325.8999938964844
2019-06-25,330.70001220703125
2020-03-10,331.3699951171875
2020-05-28,333.57000732421875
2019-10-07,331.5199890136719
2020-03-13,337.9700012207031
2019-10-10,339.9700012207031
2020-03-16,339.9599914550781
2020-06-03,340.54998779296875
2018-11-28,340.70001220703125
2018-09-25,344.0
2018-07-23,337.2099914550781
2018-08-24,337.3599853515625
2019-07-10,335.8800048828125
2019-05-07,335.0799865722656
2019-04-05,331.0
2019-03-04,334.29998779296875
2019-01-31,333.75
2019-09-12,334.1099853515625
2019-12-31,338.8699951171875
2020-03-19,338.4100036621094
2020-01-03,325.2099914550781
2020-06-09,316.7099914550781
2019-02-15,317.8999938964844
2019-01-14,320.30999755859375
2018-07-06,323.6600036621094
2018-08-07,325.7799987792969
2018-10-10,333.2799987792969
2018-12-13,335.94000244140625
2019-08-26,335.29998779296875
2019-07-25,331.489990234375
2019-05-22,325.3900146484375
2019-03-19,331.989990234375
2020-01-06,329.1499938964844
2020-03-25,330.0299987792969
2020-06-12,329.7799987792969
2019-10-22,335.1700134277344
2020-01-09,336.57000732421875
2020-06-15,330.1199951171875
2019-10-25,328.4100036621094
2020-03-31,318.0
2020-06-18,313.3299865722656
2019-04-03,312.1499938964844
2018-08-22,315.2799987792969
2018-10-25,321.2200012207031
2019-01-29,323.54998779296875
2018-12-28,330.1000061035156
2018-11-26,330.0
2019-08-09,327.75
2019-07-08,325.0
2019-06-06,235.77000427246094
2019-09-10,226.8000030517578
2020-01-15,221.8800048828125
2020-04-03,233.75999450683594
2019-10-31,237.77000427246094
2020-04-06,236.27999877929688
2020-06-24,237.13999938964844
2018-11-09,239.4600067138672
2019-07-23,237.5500030517578
2019-06-21,235.0
2019-05-20,236.8000030517578
2019-04-18,244.0800018310547
2018-09-06,243.0500030517578
2018-10-08,239.25
2019-02-13,241.8699951171875
2018-12-11,240.75
2019-09-25,236.7899932861328
2020-01-21,235.8800048828125
2020-04-09,233.44000244140625
2019-11-06,231.8800048828125
2020-01-24,227.8800048828125
2020-01-27,232.17999267578125
2020-04-15,233.35000610351562
2018-12-26,232.8000030517578
2019-08-07,232.1999969482422
2019-06-04,231.44000244140625
2018-09-21,231.6999969482422
2018-07-19,231.42999267578125
2018-08-20,232.44000244140625
