Dates,JPM
2019-11-08,9738400.0
2020-04-14,3324300.0
2019-11-11,6770900.0
2020-01-29,7868200.0
2020-04-17,6963000.0
2018-07-24,7201600.0
2018-09-26,10803700.0
2019-05-08,10386800.0
2019-03-05,10259000.0
2019-02-01,10531300.0
2018-12-31,9695300.0
2018-11-29,9469000.0
2019-08-12,10190900.0
2019-07-11,12355200.0
2019-09-13,24906000.0
2019-11-14,16293400.0
2020-04-20,10783800.0
2020-02-04,14697700.0
2020-04-23,8474200.0
2018-12-14,7549100.0
2019-08-27,9345700.0
2018-08-08,15166400.0
2018-10-11,12860500.0
2018-11-12,13062800.0
2019-07-26,9326000.0
2019-06-24,9048900.0
2019-05-23,12785200.0
2019-03-20,10021100.0
2019-01-15,9157100.0
2019-11-20,10150700.0
2020-02-07,8992300.0
2020-02-10,6379800.0
2020-04-29,5960700.0
2019-11-26,6578600.0
2020-02-13,7958000.0
2019-01-30,7447500.0
2018-08-23,6627600.0
2018-09-24,8996400.0
2018-11-27,7071200.0
2018-10-26,7422800.0
2019-07-09,9772800.0
2019-06-07,13618400.0
2019-05-06,20797200.0
2019-04-04,24825600.0
2019-09-11,22997200.0
2019-11-29,45942600.0
2020-05-05,27355400.0
2019-12-02,32547700.0
2020-02-19,25795900.0
2020-05-08,25025600.0
2019-05-21,38159400.0
2019-03-18,40352000.0
2018-09-07,31102700.0
2018-08-06,38127000.0
2018-10-09,49725200.0
2019-02-14,38543300.0
2018-12-12,38589700.0
2019-07-24,35239800.0
2019-09-26,41525600.0
2019-10-28,32175100.0
2019-12-05,30150800.0
2020-05-11,32536600.0
2019-07-03,34363200.0
2020-02-25,38111700.0
2020-05-14,29826300.0
2020-02-28,30041500.0
2019-08-08,21656900.0
2019-06-05,23379300.0
2018-07-20,28029600.0
2018-08-21,24018000.0
2018-10-24,21199400.0
2019-04-02,26820800.0
2019-03-01,22563800.0
2019-01-28,22903300.0
2018-12-27,42084700.0
2019-09-09,26911900.0
2020-03-02,46151300.0
2020-05-20,30118600.0
2019-12-17,32449600.0
2020-03-05,30191900.0
2019-02-12,23679400.0
2019-01-11,23035000.0
2018-12-10,16706000.0
2019-08-23,16638800.0
2018-11-08,15815300.0
2019-07-22,22870200.0
2019-06-20,20238900.0
2018-09-05,20462600.0
2019-04-17,19104600.0
2019-09-24,18547700.0
2019-12-20,15725900.0
2020-05-26,18064100.0
2019-04-30,20978000.0
2019-12-23,16771900.0
2020-03-11,20494900.0
2020-05-29,31907600.0
2019-12-26,27962900.0
2020-06-01,35451600.0
2019-05-02,35152500.0
2019-02-27,26099000.0
2018-11-23,30528700.0
2019-08-06,19597300.0
2018-07-18,20552400.0
2018-09-20,14621400.0
2018-10-22,13557900.0
2019-07-05,41233900.0
2019-06-03,39402000.0
2019-10-09,24713900.0
2019-10-11,26538200.0
2020-03-17,15176800.0
2020-06-04,21195000.0
2019-10-14,25941100.0
2020-03-20,26784700.0
2018-11-06,42231000.0
2019-06-18,24881800.0
2019-05-17,17031100.0
2019-04-15,24913300.0
2019-03-14,36259200.0
2019-01-09,24847900.0
2018-08-02,22153600.0
2018-10-05,22193600.0
2019-08-21,15617300.0
2019-10-17,16591900.0
2020-03-23,40371200.0
2020-06-10,16216900.0
2019-02-25,15381400.0
2020-01-07,22919800.0
2020-03-26,25743600.0
2019-10-23,41896300.0
