Dates,VRSN
2019-06-17,477900.0
2019-05-16,934100.0
2018-08-01,678800.0
2019-03-13,442200.0
2019-12-03,352700.0
2020-02-20,635800.0
2019-12-06,526900.0
2020-05-12,885800.0
2019-12-09,897700.0
2020-02-26,1614500.0
2020-05-15,869000.0
2019-03-28,662100.0
2018-09-17,503200.0
2018-08-16,479500.0
2018-10-19,794000.0
2019-04-29,487700.0
2019-01-23,482500.0
2019-09-04,643200.0
2018-11-20,725900.0
2019-07-02,428700.0
2019-05-31,748900.0
2019-12-12,726600.0
2020-05-18,543600.0
2019-09-27,550900.0
2020-03-03,689900.0
2020-05-21,449000.0
2019-05-14,480300.0
2018-08-31,520000.0
2018-07-30,339200.0
2018-10-02,373800.0
2019-04-12,403700.0
2019-03-11,505200.0
2019-02-07,521900.0
2019-07-17,406800.0
2019-09-19,516300.0
2019-10-21,378800.0
2019-12-18,498100.0
2020-03-06,293700.0
2019-10-03,318400.0
2020-03-09,529500.0
2020-05-27,536000.0
2019-12-24,576200.0
2020-03-12,655700.0
2018-12-20,431900.0
2019-08-01,582800.0
2018-08-14,675200.0
2018-07-13,1139600.0
2018-10-17,746600.0
2019-05-29,1028700.0
2019-03-26,761300.0
2019-02-22,743000.0
2019-10-04,785000.0
2019-11-05,677900.0
2019-12-27,824900.0
2020-06-02,409600.0
2019-12-30,535700.0
2020-03-18,560600.0
2020-06-05,481900.0
2019-07-15,506700.0
2018-12-03,532800.0
2019-06-13,744000.0
2019-01-04,869900.0
2018-08-29,902200.0
2019-02-05,560100.0
2018-11-01,625600.0
2019-08-16,611300.0
2019-04-10,439300.0
2019-09-17,483000.0
2019-10-15,511900.0
2020-01-02,398400.0
2020-06-08,362300.0
2019-10-18,399300.0
2020-03-24,473700.0
2020-06-11,938600.0
2020-01-08,386500.0
2019-04-25,512100.0
2019-07-30,348300.0
2019-02-20,526800.0
2018-07-11,1151700.0
2018-09-13,531800.0
2018-10-15,549600.0
2019-06-28,538200.0
2018-12-18,588900.0
2018-11-16,646400.0
2019-10-02,573600.0
2020-03-27,691400.0
2020-01-10,625700.0
2019-10-24,937700.0
2020-03-30,598000.0
2020-06-17,463000.0
2020-01-14,424800.0
2020-04-02,529900.0
2019-01-02,379700.0
2019-08-14,563600.0
2018-10-30,609100.0
2019-06-11,1028100.0
2019-05-10,754900.0
2019-04-08,606000.0
2018-08-27,381500.0
2018-07-26,768500.0
2018-09-28,1167500.0
2019-03-07,563000.0
2019-10-30,422700.0
2020-01-17,910500.0
2020-06-23,1044800.0
2020-04-08,639200.0
2020-06-26,604300.0
2019-03-22,484300.0
2019-01-17,579200.0
2019-08-29,394000.0
2018-11-14,463600.0
2019-06-26,547500.0
2018-09-11,510000.0
2018-07-09,703300.0
2018-08-10,732000.0
2019-04-23,835500.0
2019-09-30,698900.0
2020-01-23,1396100.0
2019-11-08,435900.0
2020-04-14,145100.0
2019-11-11,256100.0
2020-01-29,248500.0
2020-04-17,310500.0
