Dates,PVH
2019-07-12,101.66999816894531
2019-06-10,99.3499984741211
2019-05-09,98.58000183105469
2018-07-25,98.29000091552734
2018-09-27,94.5
2018-10-29,92.7300033569336
2019-10-16,90.51000213623047
2019-12-16,91.58999633789062
2020-03-04,90.68000030517578
2020-05-22,89.08999633789062
2019-10-01,88.69000244140625
2019-12-19,86.45999908447266
2018-09-10,86.79000091552734
2019-05-24,88.47000122070312
2018-08-09,91.05000305175781
2019-04-22,91.91999816894531
2019-03-21,90.6500015258789
2019-01-16,89.93000030517578
2019-08-28,92.16000366210938
2018-11-13,96.0999984741211
2018-10-12,99.38999938964844
2019-06-25,101.19000244140625
2020-03-10,97.33000183105469
2020-05-28,104.37999725341797
2019-10-07,103.38999938964844
2020-03-13,103.26000213623047
2019-10-10,104.30999755859375
2020-03-16,103.68000030517578
2020-06-03,108.58000183105469
2018-11-28,104.63999938964844
2018-09-25,102.66999816894531
2018-07-23,103.91999816894531
2018-08-24,106.91999816894531
2019-07-10,106.76000213623047
2019-05-07,106.38999938964844
2019-04-05,107.51000213623047
2019-03-04,108.47000122070312
2019-01-31,108.05999755859375
2019-09-12,107.7300033569336
2019-12-31,110.48999786376953
2020-03-19,111.23999786376953
2020-01-03,109.86000061035156
2020-06-09,109.58000183105469
2019-02-15,111.30000305175781
2019-01-14,112.5999984741211
2018-07-06,112.27999877929688
2018-08-07,110.97000122070312
2018-10-10,112.66000366210938
2018-12-13,112.52999877929688
2019-08-26,112.52999877929688
2019-07-25,113.69999694824219
2019-05-22,115.4000015258789
2019-03-19,115.62000274658203
2020-01-06,115.08000183105469
2020-03-25,114.91000366210938
2020-06-12,114.73999786376953
2019-10-22,114.36000061035156
2020-01-09,111.76000213623047
2020-06-15,110.83000183105469
2019-10-25,109.37999725341797
2020-03-31,108.56999969482422
2020-06-18,107.94000244140625
2019-04-03,110.37000274658203
2018-08-22,110.79000091552734
2018-10-25,112.41999816894531
2019-01-29,112.33999633789062
2018-12-28,110.45999908447266
2018-11-26,110.05999755859375
2019-08-09,109.76000213623047
2019-07-08,106.86000061035156
2019-06-06,106.19000244140625
2019-09-10,106.66000366210938
2020-01-15,106.44999694824219
2020-04-03,109.36000061035156
2019-10-31,110.20999908447266
2020-04-06,124.80000305175781
2020-06-24,121.44000244140625
2018-11-09,122.8499984741211
2019-07-23,123.30000305175781
2019-06-21,124.12999725341797
2019-05-20,123.76000213623047
2019-04-18,126.9000015258789
2018-09-06,126.04000091552734
2018-10-08,126.51000213623047
2019-02-13,126.45999908447266
2018-12-11,126.25
2019-09-25,127.05999755859375
2020-01-21,127.97000122070312
2020-04-09,128.07000732421875
2019-11-06,130.38999938964844
2020-01-24,131.9199981689453
2020-01-27,130.5
2020-04-15,129.5
2018-12-26,131.02000427246094
2019-08-07,130.02000427246094
2019-06-04,128.97000122070312
2018-09-21,129.94000244140625
2018-07-19,128.66000366210938
2018-08-20,128.27999877929688
2018-10-23,127.5999984741211
2019-05-03,126.4000015258789
2019-04-01,123.0999984741211
2019-02-28,120.2699966430664
2019-11-12,120.61000061035156
2020-01-30,118.33999633789062
2019-11-15,116.31999969482422
2020-04-21,112.0199966430664
2019-04-16,110.8499984741211
2019-03-15,110.61000061035156
2019-02-11,110.18000030517578
2019-01-10,108.6500015258789
2019-08-22,105.7300033569336
2018-11-07,105.86000061035156
2018-08-03,109.37999725341797
2018-09-04,104.80999755859375
2019-06-19,106.44000244140625
2019-09-23,105.27999877929688
2019-11-18,98.75
2020-02-05,84.31999969482422
2020-04-24,82.51000213623047
2019-03-29,84.63999938964844
2019-11-21,88.23999786376953
