Dates,ROST
2020-04-28,94.94999694824219
2019-11-25,95.05000305175781
2020-02-12,95.75
2020-05-01,97.68000030517578
2020-05-04,98.05999755859375
2019-06-12,97.30999755859375
2019-04-09,96.8499984741211
2019-03-08,94.94999694824219
2019-02-04,95.7699966430664
2018-07-27,95.77999877929688
2018-08-28,95.70999908447266
2019-01-03,94.08000183105469
2019-08-15,97.87000274658203
2018-10-31,98.58999633789062
2019-09-16,100.27999877929688
2020-02-18,99.2300033569336
2020-05-07,99.23999786376953
2018-08-17,100.43000030517578
2019-12-04,101.16000366210938
2020-02-21,102.08999633789062
2018-12-17,102.83999633789062
2019-08-30,103.38999938964844
2018-11-15,102.76000213623047
2019-07-29,101.76000213623047
2019-06-27,100.9800033569336
2019-04-24,96.91999816894531
2018-07-10,95.6500015258789
2018-09-12,95.0
2019-02-19,84.4000015258789
2019-01-18,84.5
2020-02-24,81.0199966430664
2020-05-13,81.47000122070312
2019-12-10,80.73999786376953
2020-02-27,83.31999969482422
2019-12-13,86.22000122070312
2020-05-19,85.80000305175781
2019-03-06,88.33000183105469
2018-11-30,84.9800033569336
2019-08-13,80.68000030517578
2019-07-12,81.0199966430664
2019-06-10,78.37000274658203
2019-05-09,80.86000061035156
2018-07-25,82.19999694824219
2018-09-27,81.26000213623047
2018-10-29,80.30999755859375
2019-10-16,78.9800033569336
2019-12-16,79.1500015258789
2020-03-04,79.2699966430664
2020-05-22,78.2300033569336
2019-10-01,77.62000274658203
2019-12-19,77.0199966430664
2018-09-10,76.55000305175781
2019-05-24,80.7699966430664
2018-08-09,82.12999725341797
2019-04-22,82.05999755859375
2019-03-21,81.80000305175781
2019-01-16,82.95999908447266
2019-08-28,84.04000091552734
2018-11-13,84.75
2018-10-12,89.41000366210938
2019-06-25,91.87000274658203
2020-03-10,88.0999984741211
2020-05-28,90.58999633789062
2019-10-07,90.44000244140625
2020-03-13,90.61000061035156
2019-10-10,91.0
2020-03-16,89.66999816894531
2020-06-03,91.68000030517578
2018-11-28,92.18000030517578
2018-09-25,91.86000061035156
2018-07-23,91.83999633789062
2018-08-24,92.2300033569336
2019-07-10,92.25
2019-05-07,91.54000091552734
2019-04-05,91.83000183105469
2019-03-04,92.2699966430664
2019-01-31,92.44999694824219
2019-09-12,91.75
2019-12-31,92.30000305175781
2020-03-19,92.91999816894531
2020-01-03,92.16000366210938
2020-06-09,92.33000183105469
2019-02-15,93.25
2019-01-14,94.62999725341797
2018-07-06,95.12999725341797
2018-08-07,94.12999725341797
2018-10-10,94.31999969482422
2018-12-13,93.9800033569336
2019-08-26,93.75
2019-07-25,93.93000030517578
2019-05-22,93.62999725341797
2019-03-19,94.69999694824219
2020-01-06,93.91000366210938
2020-03-25,93.81999969482422
2020-06-12,94.86000061035156
2019-10-22,95.77999877929688
2020-01-09,95.41999816894531
2020-06-15,95.11000061035156
2019-10-25,94.0
2020-03-31,93.58000183105469
2020-06-18,91.4800033569336
2019-04-03,89.31999969482422
2018-08-22,90.83000183105469
2018-10-25,91.26000213623047
2019-01-29,90.45999908447266
2018-12-28,89.08999633789062
2018-11-26,89.6500015258789
2019-08-09,91.19999694824219
2019-07-08,91.69999694824219
2019-06-06,91.3499984741211
2019-09-10,91.06999969482422
2020-01-15,89.23999786376953
2020-04-03,90.26000213623047
2019-10-31,91.0
2020-04-06,92.08999633789062
2020-06-24,92.45999908447266
2018-11-09,93.7699966430664
2019-07-23,94.12000274658203
2019-06-21,94.36000061035156
2019-05-20,95.05999755859375
2019-04-18,97.79000091552734
2018-09-06,98.19999694824219
2018-10-08,97.97000122070312
2019-02-13,98.05999755859375
2018-12-11,98.62000274658203
2019-09-25,97.81999969482422
2020-01-21,97.27999877929688
2020-04-09,98.45999908447266
2019-11-06,99.31999969482422
2020-01-24,100.44999694824219
2020-01-27,99.5999984741211
2020-04-15,98.2300033569336
2018-12-26,97.94000244140625
2019-08-07,97.56999969482422
2019-06-04,98.31999969482422
2018-09-21,98.43000030517578
2018-07-19,98.2699966430664
2018-08-20,97.5
2018-10-23,96.01000213623047
2019-05-03,96.94999694824219
2019-04-01,95.7300033569336
2019-02-28,96.75
2019-11-12,95.56999969482422
2020-01-30,95.91999816894531
2019-11-15,96.48999786376953
2020-04-21,95.77999877929688
2019-04-16,94.0
2019-03-15,93.69999694824219
2019-02-11,94.93000030517578
2019-01-10,95.4000015258789
2019-08-22,96.7699966430664
2018-11-07,96.44000244140625
2018-08-03,96.83000183105469
2018-09-04,93.94000244140625
2019-06-19,92.58000183105469
2019-09-23,93.69000244140625
2019-11-18,90.7699966430664
2020-02-05,90.6500015258789
2020-04-24,91.83999633789062
2019-03-29,92.93000030517578
2019-11-21,92.80000305175781
2020-04-27,94.93000030517578
2020-02-11,95.25
2020-04-30,96.8499984741211
2019-05-01,99.0999984741211
2019-02-26,98.62999725341797
2019-01-25,98.79000091552734
2018-12-24,98.9800033569336
2019-09-06,100.7699966430664
2018-07-17,100.9800033569336
2018-09-19,102.33000183105469
2019-08-05,102.83000183105469
2019-10-08,104.06999969482422
2019-12-11,104.6500015258789
2019-11-27,103.0
2020-02-14,102.83999633789062
2020-05-06,102.06999969482422
2019-01-08,99.5999984741211
2018-12-07,100.6500015258789
2019-08-20,100.52999877929688
2018-11-05,98.79000091552734
2019-07-19,98.4000015258789
2018-10-04,98.86000061035156
2019-06-17,100.77999877929688
2019-05-16,101.5
2018-08-01,102.58999633789062
2019-03-13,103.0
2019-12-03,103.51000213623047
2020-02-20,106.16999816894531
2019-12-06,106.55000305175781
2020-05-12,106.91000366210938
2019-12-09,107.37999725341797
2020-02-26,107.7699966430664
2020-05-15,107.05999755859375
2019-03-28,106.11000061035156
2018-09-17,105.94000244140625
2018-08-16,104.27999877929688
2018-10-19,105.8499984741211
2019-04-29,106.55000305175781
2019-01-23,106.1500015258789
2019-09-04,106.19000244140625
2018-11-20,106.69000244140625
2019-07-02,103.52999877929688
2019-05-31,102.31999969482422
2019-12-12,101.55999755859375
2020-05-18,102.06999969482422
2019-09-27,104.68000030517578
2020-03-03,106.9000015258789
2020-05-21,105.18000030517578
2019-05-14,103.23999786376953
2018-08-31,104.54000091552734
2018-07-30,103.19000244140625
2018-10-02,102.58000183105469
2019-04-12,104.88999938964844
2019-03-11,103.0199966430664
2019-02-07,105.70999908447266
2019-07-17,106.87000274658203
2019-09-19,105.63999938964844
2019-10-21,103.3499984741211
2019-12-18,105.11000061035156
2020-03-06,102.30000305175781
2019-10-03,105.98999786376953
2020-03-09,107.43000030517578
2020-05-27,105.16999816894531
2019-12-24,105.4800033569336
2020-03-12,107.0
2018-12-20,109.6500015258789
2019-08-01,109.30999755859375
2018-08-14,108.55000305175781
2018-07-13,107.37999725341797
2018-10-17,109.26000213623047
2019-05-29,109.61000061035156
2019-03-26,108.58000183105469
2019-02-22,107.80999755859375
2019-10-04,108.08999633789062
2019-11-05,108.80999755859375
2019-12-27,108.56999969482422
2020-06-02,105.36000061035156
2019-12-30,108.30000305175781
2020-03-18,107.69000244140625
2020-06-05,108.70999908447266
2019-07-15,108.61000061035156
2018-12-03,109.13999938964844
2019-06-13,110.37000274658203
2019-01-04,108.87000274658203
2018-08-29,107.05000305175781
