Dates,ROST
2018-12-19,100.4800033569336
2018-07-12,98.87000274658203
2018-09-14,97.26000213623047
2018-08-13,96.9800033569336
2018-10-16,96.44999694824219
2019-07-31,96.11000061035156
2019-05-28,98.05999755859375
2019-04-26,97.3499984741211
2020-04-28,96.86000061035156
2019-11-25,96.43000030517578
2020-02-12,97.43000030517578
2020-05-01,98.52999877929688
2020-05-04,98.48999786376953
2019-06-12,97.97000122070312
2019-04-09,96.8499984741211
2019-03-08,97.1500015258789
2019-02-04,96.5
2018-07-27,98.3499984741211
2018-08-28,97.30000305175781
2019-01-03,97.16000366210938
2019-08-15,100.3499984741211
2018-10-31,100.80000305175781
2019-09-16,101.19999694824219
2020-02-18,99.75
2020-05-07,100.4800033569336
2018-08-17,101.4000015258789
2019-12-04,101.70999908447266
2020-02-21,102.98999786376953
2018-12-17,104.3499984741211
2019-08-30,103.51000213623047
2018-11-15,103.7699966430664
2019-07-29,102.25
2019-06-27,101.9800033569336
2019-04-24,97.47000122070312
2018-07-10,95.93000030517578
2018-09-12,95.66000366210938
2019-02-19,88.83000183105469
2019-01-18,85.0
2020-02-24,81.41999816894531
2020-05-13,82.19000244140625
2019-12-10,82.73999786376953
2020-02-27,86.54000091552734
2019-12-13,86.72000122070312
2020-05-19,87.72000122070312
2019-03-06,88.97000122070312
2018-11-30,85.41999816894531
2019-08-13,81.62999725341797
2019-07-12,81.38999938964844
2019-06-10,80.19999694824219
2019-05-09,81.3499984741211
2018-07-25,82.58999633789062
2018-09-27,81.66999816894531
2018-10-29,81.66000366210938
2019-10-16,79.33999633789062
2019-12-16,79.91999816894531
2020-03-04,80.77999877929688
2020-05-22,78.73999786376953
2019-10-01,80.05000305175781
2019-12-19,77.66999816894531
2018-09-10,81.93000030517578
2019-05-24,81.88999938964844
2018-08-09,82.83000183105469
2019-04-22,83.23999786376953
2019-03-21,83.9800033569336
2019-01-16,84.31999969482422
2019-08-28,86.01000213623047
2018-11-13,90.01000213623047
2018-10-12,91.73999786376953
2019-06-25,91.9000015258789
2020-03-10,90.81999969482422
2020-05-28,92.06999969482422
2019-10-07,91.68000030517578
2020-03-13,91.4000015258789
2019-10-10,91.69999694824219
2020-03-16,90.87999725341797
2020-06-03,93.37000274658203
2018-11-28,92.77999877929688
2018-09-25,91.87999725341797
2018-07-23,91.83999633789062
2018-08-24,92.69000244140625
2019-07-10,92.25
2019-05-07,91.5999984741211
2019-04-05,92.80999755859375
2019-03-04,92.62999725341797
2019-01-31,92.54000091552734
2019-09-12,92.33999633789062
2019-12-31,93.38999938964844
2020-03-19,93.01000213623047
2020-01-03,92.70999908447266
2020-06-09,93.19000244140625
2019-02-15,94.6500015258789
2019-01-14,95.12999725341797
2018-07-06,95.13999938964844
2018-08-07,94.1500015258789
2018-10-10,94.69000244140625
2018-12-13,93.9800033569336
2019-08-26,94.3499984741211
2019-07-25,94.01000213623047
2019-05-22,94.41999816894531
2019-03-19,95.20999908447266
2020-01-06,94.83000183105469
2020-03-25,95.22000122070312
2020-06-12,95.41999816894531
2019-10-22,96.20999908447266
2020-01-09,95.56999969482422
2020-06-15,95.47000122070312
2019-10-25,96.5
2020-03-31,93.80000305175781
2020-06-18,91.69000244140625
2019-04-03,90.94000244140625
2018-08-22,91.19000244140625
2018-10-25,91.58000183105469
2019-01-29,90.45999908447266
2018-12-28,90.0
2018-11-26,91.33000183105469
2019-08-09,92.37999725341797
2019-07-08,92.0199966430664
2019-06-06,91.91999816894531
2019-09-10,91.45999908447266
2020-01-15,90.66000366210938
2020-04-03,91.16999816894531
2019-10-31,92.33999633789062
2020-04-06,93.0
2020-06-24,93.51000213623047
2018-11-09,94.33999633789062
2019-07-23,94.23999786376953
2019-06-21,95.11000061035156
2019-05-20,97.5999984741211
2019-04-18,98.93000030517578
2018-09-06,98.98999786376953
2018-10-08,98.43000030517578
2019-02-13,98.75
2018-12-11,98.94999694824219
2019-09-25,98.37999725341797
2020-01-21,98.3499984741211
2020-04-09,99.16000366210938
2019-11-06,100.12000274658203
2020-01-24,100.7699966430664
2020-01-27,100.01000213623047
2020-04-15,98.36000061035156
2018-12-26,99.52999877929688
2019-08-07,98.7300033569336
2019-06-04,98.62999725341797
2018-09-21,99.80999755859375
2018-07-19,98.43000030517578
