Dates,TSN
2019-12-19,48.91818618774414
2018-09-10,50.180904388427734
2019-05-24,50.59538269042969
2018-08-09,50.45079803466797
2019-04-22,51.47254180908203
2019-03-21,51.424339294433594
2019-01-16,52.523193359375
2019-08-28,53.16901397705078
2018-11-13,54.02688217163086
2018-10-12,55.472740173339844
2019-06-25,54.50884246826172
2020-03-10,55.482383728027344
2020-05-28,55.742637634277344
2019-10-07,55.68480682373047
2020-03-13,56.47520446777344
2019-10-10,56.38845443725586
2020-03-16,57.2463264465332
2020-06-03,58.75965881347656
2018-11-28,57.90178680419922
2018-09-25,58.316261291503906
2018-07-23,57.921058654785156
2018-08-24,58.52832794189453
2019-07-10,59.569339752197266
2019-05-07,59.55006408691406
2019-04-05,59.91634750366211
2019-03-04,59.68500518798828
2019-01-31,59.68500518798828
2019-09-12,59.55006408691406
2019-12-31,59.46330642700195
2020-03-19,58.70182800292969
2020-01-03,57.949974060058594
2020-06-09,57.14993667602539
2019-02-15,57.28488540649414
2019-01-14,59.16450500488281
2018-07-06,58.49940490722656
2018-08-07,58.97171401977539
2018-10-10,60.35010528564453
2018-12-13,60.66818618774414
2019-08-26,61.30437088012695
2019-07-25,60.78385925292969
2019-05-22,61.034481048583984
2019-03-19,60.07057189941406
2020-01-06,59.54042434692383
2020-03-25,59.42475128173828
2020-06-12,59.79812240600586
2019-10-22,60.31212615966797
2020-01-09,60.38001251220703
2020-06-15,62.03837585449219
2019-10-25,61.621360778808594
2020-03-31,62.17414855957031
2020-06-18,60.88430404663086
2019-04-03,62.28083419799805
2018-08-22,61.883209228515625
2018-10-25,62.49418640136719
2019-01-29,62.92089080810547
2018-12-28,63.250633239746094
2018-11-26,63.35731506347656
2019-08-09,63.784027099609375
2019-07-08,62.92089080810547
2019-06-06,64.51136016845703
2019-09-10,64.59866333007812
2020-01-15,65.4229965209961
2020-04-03,65.80121612548828
2019-10-31,65.9466781616211
2020-04-06,66.809814453125
2020-06-24,67.3335189819336
2018-11-09,67.59535217285156
2019-07-23,67.16864776611328
2019-06-21,66.84860229492188
2019-05-20,67.91539001464844
2019-04-18,67.69232940673828
2018-09-06,68.3130111694336
2018-10-08,67.46927642822266
2019-02-13,68.51667785644531
2018-12-11,69.02095794677734
2019-09-25,68.700927734375
2020-01-21,69.25372314453125
2020-04-09,69.88408660888672
2019-11-06,71.06725311279297
2020-01-24,71.27090454101562
2020-01-27,70.65023803710938
2020-04-15,72.2019271850586
2018-12-26,71.53276824951172
2019-08-07,71.3969955444336
2019-06-04,71.92068481445312
2018-09-21,71.95946502685547
2018-07-19,72.7450180053711
2018-08-20,72.5413589477539
2018-10-23,72.8516845703125
2019-05-03,72.82259368896484
2019-04-01,74.7234115600586
2019-02-28,74.52944946289062
2019-11-12,75.15013885498047
2020-01-30,75.58654022216797
2019-11-15,77.40007781982422
2020-04-21,77.16732025146484
2019-04-16,79.10693359375
2019-03-15,79.7566909790039
2019-02-11,80.10582733154297
2019-01-10,79.99913787841797
2019-08-22,79.39788055419922
2018-11-07,78.17591094970703
2018-08-03,78.80628967285156
2018-09-04,79.24270629882812
2019-06-19,79.00025177001953
2019-09-23,77.88497161865234
2019-11-18,73.97666931152344
2020-02-05,74.79044342041016
2020-04-24,73.96205139160156
2019-03-29,76.07691955566406
2019-11-21,77.31465911865234
2020-04-27,78.56212615966797
2020-02-11,79.72190856933594
2020-04-30,80.35538482666016
2019-05-01,80.39436340332031
2019-02-26,80.21895599365234
2019-01-25,79.80961608886719
2018-12-24,80.43335723876953
2019-09-06,79.82911682128906
2018-07-17,76.53498077392578
2018-09-19,75.21927642822266
2019-08-05,75.78453826904297
2019-10-08,76.63243103027344
2019-12-11,77.27567291259766
2019-11-27,78.76680755615234
2020-02-14,77.93839263916016
2020-05-06,77.49981689453125
2019-01-08,77.62651824951172
2018-12-07,78.68882751464844
2019-08-20,78.90323638916016
2018-11-05,79.2151107788086
2019-07-19,80.07276153564453
2018-10-04,80.53081512451172
2019-06-17,79.83885192871094
2019-05-16,80.06301879882812
2018-08-01,79.94606018066406
2019-03-13,79.3613052368164
2019-12-03,79.31256866455078
2020-02-20,79.67317199707031
2019-12-06,77.11972045898438
2020-05-12,77.12947845458984
2019-12-09,78.90323638916016
2020-02-26,78.747314453125
2020-05-15,79.26384735107422
2019-03-28,79.94606018066406
2018-09-17,78.98120880126953
2018-08-16,79.59519958496094
2018-10-19,78.92273712158203
2019-04-29,79.18587493896484
2019-01-23,79.26384735107422
2019-09-04,77.48033142089844
2018-11-20,78.34772491455078
2019-07-02,77.73373413085938
2019-05-31,81.70033264160156
2019-12-12,82.86009979248047
2020-05-18,84.01986694335938
2019-09-27,86.44660949707031
2020-03-03,86.125
2020-05-21,86.02753448486328
2019-05-14,85.58897399902344
2018-08-31,83.581298828125
2018-07-30,85.62796020507812
2018-10-02,85.47201538085938
2019-04-12,85.24785614013672
2019-03-11,85.998291015625
2019-02-07,87.50891876220703
2019-07-17,89.3314208984375
2019-09-19,87.6453628540039
2019-10-21,89.11700439453125
2019-12-18,87.68435668945312
2020-03-06,88.27884674072266
2019-10-03,89.76150512695312
2020-03-09,91.05331420898438
2020-05-27,91.2979736328125
2019-12-24,84.22235870361328
2020-03-12,83.43943786621094
2018-12-20,84.20278930664062
