Dates,USD
2018-10-26,1.8266667127609253
2019-04-02,1.78166663646698
2020-02-12,1.8333333730697632
2014-09-22,1.8333333730697632
2015-08-04,1.7133333683013916
2016-06-15,2.0333333015441895
2017-04-27,1.9466667175292969
2017-10-02,2.190000057220459
2018-03-09,2.178333282470703
2018-08-14,2.0883333683013916
2009-08-19,2.25
2009-04-13,2.361666679382324
2008-07-31,2.4816665649414062
2012-06-08,2.241666555404663
2012-02-01,2.253333330154419
2011-09-26,2.1666667461395264
2011-01-13,2.133333444595337
2010-09-07,2.1566667556762695
2013-06-27,2.140000104904175
2013-08-29,2.0916666984558105
2014-02-03,2.128333330154419
2019-06-26,2.299999952316284
2014-07-11,2.2666666507720947
2020-05-07,2.4033334255218506
2014-12-16,2.501666784286499
2015-10-28,2.4200000762939453
2016-09-08,2.363333225250244
2017-02-13,2.306666612625122
2017-07-21,2.1466667652130127
2017-12-26,2.111666679382324
2018-11-07,1.9850000143051147
2013-06-17,1.9116666316986084
2013-11-22,2.06333327293396
2019-09-19,1.9216666221618652
2014-04-29,1.8550000190734863
2009-02-23,1.840000033378601
2009-07-01,1.7766666412353516
2009-11-06,2.0266666412353516
2012-04-20,2.1700000762939453
2011-12-14,2.315000057220459
2011-08-08,2.138333320617676
2013-05-09,2.0350000858306885
2014-05-28,1.9616667032241821
2014-10-03,2.066666603088379
2015-03-11,2.2149999141693115
2020-02-24,2.2016665935516357
2016-01-21,2.4149999618530273
2016-06-27,2.5416667461395264
2016-12-02,2.3333332538604736
2017-05-09,2.2149999141693115
2018-03-21,2.180000066757202
2019-01-31,2.25
2013-09-10,2.0783333778381348
2019-07-08,2.0283334255218506
2019-12-13,1.8766666650772095
2014-07-23,1.784999966621399
2020-05-19,1.7333333492279053
2015-06-04,1.7599999904632568
2010-06-01,1.868333339691162
2013-03-21,1.9383333921432495
2009-05-13,1.8616666793823242
2009-01-05,1.7450000047683716
2009-09-18,1.725000023841858
2012-11-13,1.846666693687439
2012-03-02,1.8533333539962769
2011-10-26,1.7416666746139526
2011-06-20,1.7883332967758179
2013-12-02,1.8633333444595337
2015-11-09,2.1083333492279053
2016-04-15,2.1500000953674316
2016-09-20,2.2950000762939453
2017-08-02,2.238333225250244
2018-06-14,2.251666784286499
2018-11-19,2.4166667461395264
2019-04-26,2.488333225250244
2013-12-04,2.2983334064483643
2019-10-01,2.440000057220459
2014-10-16,2.501666784286499
2015-03-23,2.4166667461395264
2015-08-28,2.5933332443237305
2016-02-02,2.6433334350585938
2016-12-14,2.388333320617676
2010-08-19,2.4816665649414062
2008-11-17,2.378333330154419
2009-07-31,2.640000104904175
2009-03-25,2.684999942779541
2010-04-13,2.68833327293396
2013-01-31,2.5916666984558105
2012-09-25,2.5999999046325684
2012-01-13,2.7750000953674316
2011-09-07,2.759999990463257
2011-05-02,2.8283333778381348
2017-10-26,2.68833327293396
2018-04-02,2.805000066757202
2018-09-07,2.863333225250244
2019-02-12,2.674999952316284
2014-02-27,2.609999895095825
2015-01-09,2.631666660308838
2015-06-16,2.6683332920074463
2016-04-27,2.748333215713501
2017-03-09,2.7916667461395264
2017-08-14,2.7149999141693115
2018-01-19,2.746666669845581
2010-07-01,2.888333320617676
2009-02-04,2.8949999809265137
2008-09-29,3.1050000190734863
2009-06-12,3.0966665744781494
2010-02-23,3.0933332443237305
2012-12-13,2.861666679382324
