Dates,UAA
2018-11-12,3248700.0
2019-07-26,4111900.0
2019-06-24,4422100.0
2019-05-23,4033600.0
2019-03-20,3559900.0
2019-01-15,6064600.0
2019-11-20,5061700.0
2020-02-07,3926900.0
2020-02-10,5762200.0
2020-04-29,7466200.0
2019-11-26,44669800.0
2020-02-13,13865700.0
2019-01-30,7963000.0
2018-08-23,13846600.0
2018-09-24,7917700.0
2018-11-27,11305900.0
2018-10-26,7386700.0
2019-07-09,6879600.0
2019-06-07,9382800.0
2019-05-06,8993800.0
2019-04-04,8875200.0
2019-09-11,10791300.0
2019-11-29,11062900.0
2020-05-05,11772900.0
2019-12-02,10627000.0
2020-02-19,9297100.0
2020-05-08,7077200.0
2019-05-21,8600200.0
2019-03-18,8460400.0
2018-09-07,5503800.0
2018-08-06,6463200.0
2018-10-09,7135400.0
2019-02-14,7101800.0
2018-12-12,8246900.0
2019-07-24,8110600.0
2019-09-26,6979300.0
2019-10-28,6082300.0
2019-12-05,4809000.0
2020-05-11,5098900.0
2019-07-03,7582000.0
2020-02-25,6384800.0
2020-05-14,5427800.0
2020-02-28,5064700.0
2019-08-08,4810700.0
2019-06-05,4727700.0
2018-07-20,5430100.0
2018-08-21,6708900.0
2018-10-24,7825800.0
2019-04-02,5781300.0
2019-03-01,8479900.0
2019-01-28,6544100.0
2018-12-27,5306300.0
2019-09-09,4244500.0
2020-03-02,3790700.0
2020-05-20,4460900.0
2019-12-17,5508100.0
2020-03-05,3927800.0
2019-02-12,4024300.0
2019-01-11,4260700.0
2018-12-10,2826700.0
2019-08-23,4146500.0
2018-11-08,4633300.0
2019-07-22,3961700.0
2019-06-20,4622400.0
2018-09-05,5765300.0
2019-04-17,7306400.0
2019-09-24,7183400.0
2019-12-20,6656200.0
2020-05-26,7331900.0
2019-04-30,7891800.0
2019-12-23,8331800.0
2020-03-11,15620000.0
2020-05-29,23284900.0
2019-12-26,10755500.0
2020-06-01,15082600.0
2019-05-02,9998100.0
2019-02-27,11275900.0
2018-11-23,19171000.0
2019-08-06,17607000.0
2018-07-18,12753400.0
2018-09-20,17328900.0
2018-10-22,9182800.0
2019-07-05,10964000.0
2019-06-03,10146000.0
2019-10-09,8789600.0
