Dates,MRK
2018-11-15,75.12999725341797
2019-07-29,75.22000122070312
2019-06-27,74.94999694824219
2019-04-24,73.5
2018-07-10,74.73999786376953
2018-09-12,76.22000122070312
2019-02-19,76.01000213623047
2019-01-18,74.91999816894531
2020-02-24,74.12999725341797
2020-05-13,74.98999786376953
2019-12-10,75.06999969482422
2020-02-27,76.80000305175781
2019-12-13,77.19000244140625
2020-05-19,77.83999633789062
2019-03-06,79.5199966430664
2018-11-30,79.30000305175781
2019-08-13,76.95999908447266
2019-07-12,78.22000122070312
2019-06-10,77.44999694824219
2019-05-09,77.91999816894531
2018-07-25,77.7699966430664
2018-09-27,78.25
2018-10-29,77.83000183105469
2019-10-16,75.97000122070312
2019-12-16,75.5999984741211
2020-03-04,74.68000030517578
2020-05-22,73.44999694824219
2019-10-01,72.94999694824219
2019-12-19,72.52999877929688
2018-09-10,70.97000122070312
2019-05-24,73.27999877929688
2018-08-09,75.87999725341797
2019-04-22,75.81999969482422
2019-03-21,75.29000091552734
2019-01-16,75.55999755859375
2019-08-28,74.73999786376953
2018-11-13,76.1500015258789
2018-10-12,75.87000274658203
2019-06-25,75.88999938964844
2020-03-10,75.68000030517578
2020-05-28,74.69999694824219
2019-10-07,74.29000091552734
2020-03-13,73.0999984741211
2019-10-10,74.73999786376953
2020-03-16,74.30999755859375
2020-06-03,76.13999938964844
2018-11-28,75.56999969482422
2018-09-25,75.55000305175781
2018-07-23,75.16000366210938
2018-08-24,73.81999969482422
2019-07-10,72.5
2019-05-07,72.9000015258789
2019-04-05,73.45999908447266
2019-03-04,73.1500015258789
2019-01-31,75.97000122070312
2019-09-12,75.94999694824219
2019-12-31,77.37999725341797
2020-03-19,76.83999633789062
2020-01-03,76.94000244140625
2020-06-09,76.75
2019-02-15,77.80000305175781
2019-01-14,77.29000091552734
2018-07-06,78.55999755859375
2018-08-07,79.12999725341797
2018-10-10,79.66000366210938
2018-12-13,79.79000091552734
2019-08-26,79.0
2019-07-25,79.18000030517578
2019-05-22,79.7699966430664
2019-03-19,80.86000061035156
