Dates,ORCL
2020-01-21,7694900.0
2020-04-09,7265200.0
2019-11-06,7792200.0
2020-01-24,8233000.0
2020-01-27,6088100.0
2020-04-15,10923400.0
2018-12-26,8769800.0
2019-08-07,8226100.0
2019-06-04,7101600.0
2018-09-21,6443000.0
2018-07-19,10562300.0
2018-08-20,7792700.0
2018-10-23,9652200.0
2019-05-03,11066500.0
2019-04-01,9305400.0
2019-02-28,11712400.0
2019-11-12,10729800.0
2020-01-30,10711800.0
2019-11-15,11200300.0
2020-04-21,10664700.0
2019-04-16,11520800.0
2019-03-15,8573000.0
2019-02-11,10013800.0
2019-01-10,9057100.0
2019-08-22,9820200.0
2018-11-07,8482000.0
2018-08-03,8389700.0
2018-09-04,11213900.0
2019-06-19,9090700.0
2019-09-23,28230400.0
2019-11-18,12448700.0
2020-02-05,8569500.0
2020-04-24,11847100.0
2019-03-29,17434400.0
2019-11-21,17073200.0
2020-04-27,15855300.0
2020-02-11,10266900.0
2020-04-30,11591800.0
2019-05-01,12984600.0
2019-02-26,11288400.0
2019-01-25,10235400.0
2018-12-24,11289100.0
2019-09-06,12973000.0
2018-07-17,15207900.0
2018-09-19,20999700.0
2019-08-05,35449500.0
2019-10-08,54173900.0
2019-12-11,45169000.0
2019-11-27,19544200.0
2020-02-14,25462100.0
2020-05-06,15045200.0
2019-01-08,12605800.0
2018-12-07,42570500.0
2019-08-20,20438300.0
2018-11-05,17569600.0
2019-07-19,9989100.0
2018-10-04,13838900.0
2019-06-17,16105600.0
2019-05-16,14348600.0
2018-08-01,16059100.0
2019-03-13,11150200.0
2019-12-03,11234300.0
2020-02-20,10721600.0
2019-12-06,9698900.0
2020-05-12,9090900.0
2019-12-09,11883400.0
2020-02-26,11663500.0
2020-05-15,8761700.0
2019-03-28,8141100.0
2018-09-17,10778700.0
2018-08-16,8175900.0
2018-10-19,6057200.0
2019-04-29,7439300.0
2019-01-23,6367200.0
2019-09-04,11966700.0
2018-11-20,10215200.0
2019-07-02,12644400.0
2019-05-31,16204600.0
2019-12-12,13149500.0
2020-05-18,16344100.0
2019-09-27,12460700.0
2020-03-03,8471300.0
2020-05-21,6171000.0
2019-05-14,11014800.0
2018-08-31,12489200.0
2018-07-30,11257000.0
2018-10-02,9913100.0
2019-04-12,8273100.0
2019-03-11,7577800.0
2019-02-07,6113100.0
2019-07-17,6744900.0
2019-09-19,11374500.0
2019-10-21,8582300.0
2019-12-18,13853100.0
2020-03-06,7499000.0
2019-10-03,6858000.0
2020-03-09,7920000.0
2020-05-27,10128000.0
2019-12-24,10558300.0
2020-03-12,10414500.0
2018-12-20,11636100.0
2019-08-01,17803800.0
2018-08-14,19976400.0
2018-07-13,16749400.0
2018-10-17,28184400.0
2019-05-29,14736700.0
2019-03-26,15204200.0
2019-02-22,11111400.0
2019-10-04,8911800.0
2019-11-05,14855000.0
2019-12-27,59517000.0
2020-06-02,13863100.0
2019-12-30,15354800.0
2020-03-18,11607200.0
2020-06-05,13324300.0
2019-07-15,12391100.0
2018-12-03,17445100.0
2019-06-13,16443200.0
2019-01-04,15923700.0
2018-08-29,11268500.0
2019-02-05,13659500.0
2018-11-01,12352100.0
2019-08-16,14771500.0
2019-04-10,12803100.0
2019-09-17,13789000.0
2019-10-15,18675200.0
2020-01-02,11079600.0
2020-06-08,9150100.0
2019-10-18,8912300.0
2020-03-24,9917700.0
2020-06-11,12562900.0
2020-01-08,8256600.0
2019-04-25,7777100.0
2019-07-30,10491000.0
2019-02-20,6449200.0
2018-07-11,6307000.0
2018-09-13,7280200.0
2018-10-15,8333900.0
2019-06-28,6284900.0
2018-12-18,8260600.0
2018-11-16,7313600.0
2019-10-02,8757000.0
2020-03-27,10759300.0
2020-01-10,10572100.0
2019-10-24,9677700.0
2020-03-30,5869600.0
2020-06-17,5018000.0
2020-01-14,6184900.0
2020-04-02,6802300.0
2019-01-02,9056100.0
2019-08-14,7216900.0
2018-10-30,6923300.0
2019-06-11,7199500.0
2019-05-10,9117000.0
2019-04-08,8067100.0
2018-08-27,6346900.0
2018-07-26,7977700.0
2018-09-28,12076900.0
2019-03-07,5790000.0
2019-10-30,6479400.0
2020-01-17,14314000.0
2020-06-23,11963700.0
2020-04-08,11436800.0
2020-06-26,10557400.0
2019-03-22,9088600.0
2019-01-17,11996700.0
2019-08-29,10719700.0
2018-11-14,12159600.0
2019-06-26,15413200.0
2018-09-11,21427700.0
2018-07-09,19951000.0
2018-08-10,19778400.0
2019-04-23,14123100.0
2019-09-30,11910100.0
2020-01-23,27423700.0
2019-11-08,10591500.0
2020-04-14,3331700.0
2019-11-11,6702000.0
2020-01-29,7262000.0
2020-04-17,5936100.0
2018-07-24,7094500.0
2018-09-26,13899600.0
2019-05-08,11026700.0
2019-03-05,10982400.0
2019-02-01,12015400.0
2018-12-31,11856700.0
2018-11-29,10671000.0
2019-08-12,9734800.0
2019-07-11,10858900.0
2019-09-13,12627200.0
2019-11-14,9090800.0
2020-04-20,9866000.0
2020-02-04,11166600.0
2020-04-23,8773000.0
2018-12-14,6380500.0
2019-08-27,6583200.0
2018-08-08,6426000.0
2018-10-11,8259100.0
2018-11-12,8620300.0
2019-07-26,6332500.0
2019-06-24,7176200.0
2019-05-23,8884700.0
2019-03-20,8892500.0
2019-01-15,9769800.0
2019-11-20,9612900.0
2020-02-07,8832000.0
2020-02-10,7864800.0
2020-04-29,7198200.0
2019-11-26,8466600.0
2020-02-13,7541100.0
2019-01-30,8480100.0
2018-08-23,7496800.0
2018-09-24,7185700.0
2018-11-27,6819200.0
2018-10-26,6114600.0
2019-07-09,9078600.0
2019-06-07,10992500.0
2019-05-06,12202600.0
2019-04-04,16413100.0
2019-09-11,16159700.0
2019-11-29,24427100.0
2020-05-05,17328500.0
2019-12-02,21830500.0
2020-02-19,14813700.0
2020-05-08,15843000.0
2019-05-21,24581400.0
2019-03-18,25949300.0
2018-09-07,27067700.0
2018-08-06,24139200.0
2018-10-09,24123800.0
2019-02-14,28339400.0
2018-12-12,27493700.0
2019-07-24,25588900.0
2019-09-26,29557000.0
2019-10-28,20159100.0
2019-12-05,26340800.0
2020-05-11,23063700.0
2019-07-03,19323700.0
2020-02-25,25625800.0
2020-05-14,22417900.0
2020-02-28,20025300.0
2019-08-08,20611900.0
2019-06-05,15802000.0
2018-07-20,17918200.0
2018-08-21,16434400.0
2018-10-24,13362500.0
2019-04-02,13845800.0
2019-03-01,14063000.0
2019-01-28,15710700.0
2018-12-27,15521200.0
2019-09-09,12694800.0
2020-03-02,11674600.0
2020-05-20,10398100.0
2019-12-17,14098300.0
2020-03-05,13608800.0
2019-02-12,10358900.0
2019-01-11,14111700.0
2018-12-10,9669200.0
2019-08-23,10330200.0
2018-11-08,9404100.0
2019-07-22,9123200.0
2019-06-20,8350500.0
2018-09-05,9064100.0
2019-04-17,11808000.0
2019-09-24,8702400.0
2019-12-20,7567900.0
2020-05-26,7271800.0
2019-04-30,7050000.0
2019-12-23,7154700.0
2020-03-11,8131800.0
2020-05-29,8138600.0
2019-12-26,8598800.0
2020-06-01,10274300.0
2019-05-02,13794000.0
2019-02-27,39055700.0
2018-11-23,9901900.0
2019-08-06,9805100.0
2018-07-18,9115900.0
2018-09-20,7464000.0
2018-10-22,7211700.0
2019-07-05,11200600.0
2019-06-03,9228100.0
2019-10-09,9465400.0
2019-10-11,14735300.0
2020-03-17,7363200.0
2020-06-04,8756300.0
2019-10-14,9188700.0
2020-03-20,9696000.0
2018-11-06,12210100.0
2019-06-18,11519500.0
2019-05-17,8852500.0
2019-04-15,7436700.0
2019-03-14,12805700.0
2019-01-09,11537200.0
2018-08-02,16038100.0
2018-10-05,19380200.0
2019-08-21,28674800.0
2019-10-17,19259500.0
2020-03-23,33051200.0
2020-06-10,16705900.0
2019-02-25,18695000.0
2020-01-07,18287400.0
2020-03-26,16008700.0
2019-10-23,17969400.0
