Dates,HPE
2018-10-08,15.257895469665527
2019-02-13,15.564009666442871
2018-12-11,15.564009666442871
2019-09-25,15.688368797302246
2020-01-21,15.774463653564453
2020-04-09,15.879690170288086
2019-11-06,15.850991249084473
2020-01-24,15.93708610534668
2020-01-27,15.870122909545898
2020-04-15,15.812728881835938
2018-12-26,15.564009666442871
2019-08-07,15.315291404724121
2019-06-04,15.085705757141113
2018-09-21,15.02830982208252
2018-07-19,15.123970031738281
2018-08-20,15.104837417602539
2018-10-23,15.057007789611816
2019-05-03,15.238761901855469
2019-04-01,14.980477333068848
2019-02-28,14.760458946228027
2019-11-12,14.683929443359375
2020-01-30,14.559571266174316
2019-11-15,14.148229598999023
2020-04-21,13.545565605163574
2019-04-16,13.622096061706543
2019-03-15,13.794283866882324
2019-02-11,13.899511337280273
2019-01-10,13.98560619354248
2019-08-22,14.109965324401855
2018-11-07,14.588269233703613
2018-08-03,14.071701049804688
2018-09-04,13.698623657226562
2019-06-19,13.765586853027344
2019-09-23,13.555132865905762
2019-11-18,13.516868591308594
2020-02-05,13.6029634475708
2020-04-24,13.124659538269043
2019-03-29,13.095961570739746
2019-11-21,13.516868591308594
2020-04-27,13.478604316711426
2020-02-11,13.382942199707031
2020-04-30,13.478604316711426
2019-05-01,13.641226768493652
2019-02-26,13.750187873840332
2019-01-25,13.634477615356445
2018-12-24,13.836970329284668
2019-09-06,13.644119262695312
2018-07-17,13.788758277893066
2018-09-19,14.068389892578125
2019-08-05,14.184099197387695
2019-10-08,14.463730812072754
2019-12-11,14.405876159667969
2019-11-27,14.473374366760254
2020-02-14,14.232312202453613
2020-05-06,14.425162315368652
2019-01-08,14.43480396270752
2018-12-07,14.415518760681152
2019-08-20,14.598727226257324
2018-11-05,14.540872573852539
2019-07-19,14.743364334106445
2018-10-04,14.627655029296875
2019-06-17,14.492658615112305
2019-05-16,14.338379859924316
2018-08-01,14.241954803466797
2019-03-13,14.078032493591309
2019-12-03,14.376949310302734
2020-02-20,14.425162315368652
2019-12-06,14.280525207519531
2020-05-12,14.164814949035645
2019-12-09,14.22266960144043
2020-02-26,14.309452056884766
2020-05-15,13.788758277893066
2019-03-28,14.08767318725586
2018-09-17,14.213027000427246
2018-08-16,13.991250038146973
2018-10-19,14.106959342956543
2019-04-29,14.135887145996094
2019-01-23,14.08767318725586
2019-09-04,13.856253623962402
2018-11-20,13.634477615356445
2019-07-02,12.795581817626953
2019-05-31,12.438809394836426
