Dates,PSA
2018-12-13,208.22000122070312
2019-08-26,207.80999755859375
2019-07-25,203.52000427246094
2019-05-22,202.52999877929688
2019-03-19,202.00999450683594
2020-01-06,203.2100067138672
2020-03-25,210.4499969482422
2020-06-12,213.0500030517578
2019-10-22,212.75
2020-01-09,212.89999389648438
2020-06-15,213.92999267578125
2019-10-25,214.4499969482422
2020-03-31,215.07000732421875
2020-06-18,215.99000549316406
2019-04-03,218.8699951171875
2018-08-22,218.77999877929688
2018-10-25,220.25999450683594
2019-01-29,220.13999938964844
2018-12-28,218.7100067138672
2018-11-26,218.32000732421875
2019-08-09,217.61000061035156
2019-07-08,220.3000030517578
2019-06-06,222.1199951171875
2019-09-10,226.05999755859375
2020-01-15,224.9499969482422
2020-04-03,222.3800048828125
2019-10-31,220.77000427246094
2020-04-06,220.35000610351562
2020-06-24,219.42999267578125
2018-11-09,218.5399932861328
2019-07-23,219.6300048828125
2019-06-21,220.13999938964844
2019-05-20,219.49000549316406
2019-04-18,218.72999572753906
2018-09-06,218.4499969482422
2018-10-08,220.80999755859375
2019-02-13,220.3800048828125
2018-12-11,221.05999755859375
2019-09-25,221.7899932861328
2020-01-21,222.47999572753906
2020-04-09,221.22999572753906
2019-11-06,218.0800018310547
2020-01-24,218.44000244140625
2020-01-27,217.08999633789062
2020-04-15,216.30999755859375
2018-12-26,218.6199951171875
2019-08-07,217.61000061035156
2019-06-04,219.57000732421875
2018-09-21,219.92999267578125
2018-07-19,221.8300018310547
2018-08-20,224.63999938964844
2018-10-23,228.69000244140625
2019-05-03,228.41000366210938
2019-04-01,228.1199951171875
2019-02-28,227.0800018310547
2019-11-12,226.72999572753906
2020-01-30,224.0500030517578
2019-11-15,225.9499969482422
2020-04-21,229.0399932861328
2019-04-16,229.52000427246094
2019-03-15,229.7100067138672
2019-02-11,229.27000427246094
2019-01-10,230.3800048828125
2019-08-22,231.91000366210938
2018-11-07,231.8800048828125
2018-08-03,232.77999877929688
2018-09-04,235.5399932861328
2019-06-19,236.97000122070312
2019-09-23,237.9600067138672
2019-11-18,234.38999938964844
2020-02-05,233.8300018310547
2020-04-24,238.5399932861328
2019-03-29,240.5
2019-11-21,239.82000732421875
2020-04-27,244.92999267578125
2020-02-11,245.42999267578125
2020-04-30,247.6300048828125
2019-05-01,245.39999389648438
2019-02-26,242.9199981689453
2019-01-25,244.27000427246094
2018-12-24,242.4600067138672
2019-09-06,243.8699951171875
2018-07-17,245.3699951171875
2018-09-19,246.08999633789062
2019-08-05,243.3300018310547
2019-10-08,244.82000732421875
2019-12-11,241.7899932861328
2019-11-27,241.8000030517578
2020-02-14,241.4199981689453
2020-05-06,238.24000549316406
