Dates,SPG
2020-04-03,815000.0
2019-10-31,1095800.0
2020-04-06,716400.0
2020-06-24,1400200.0
2018-11-09,1136000.0
2019-07-23,719900.0
2019-06-21,896400.0
2019-05-20,605200.0
2019-04-18,743500.0
2018-09-06,634300.0
2018-10-08,990100.0
2019-02-13,850200.0
2018-12-11,1403700.0
2019-09-25,793100.0
2020-01-21,667100.0
2020-04-09,607400.0
2019-11-06,716500.0
2020-01-24,758700.0
2020-01-27,872900.0
2020-04-15,1059000.0
2018-12-26,861500.0
2019-08-07,651000.0
2019-06-04,565000.0
2018-09-21,1016100.0
2018-07-19,1066200.0
2018-08-20,1113900.0
2018-10-23,1373400.0
2019-05-03,1129000.0
2019-04-01,973100.0
2019-02-28,1078600.0
2019-11-12,1242100.0
2020-01-30,1331300.0
2019-11-15,900200.0
2020-04-21,1538200.0
2019-04-16,1117600.0
2019-03-15,1232500.0
2019-02-11,885300.0
2019-01-10,1686700.0
2019-08-22,1067500.0
2018-11-07,1696800.0
2018-08-03,1288300.0
2018-09-04,1046500.0
2019-06-19,1275500.0
2019-09-23,1593600.0
2019-11-18,1237900.0
2020-02-05,733800.0
2020-04-24,1095500.0
2019-03-29,849800.0
2019-11-21,1254200.0
2020-04-27,1313000.0
2020-02-11,763700.0
2020-04-30,948900.0
2019-05-01,834000.0
2019-02-26,839600.0
2019-01-25,530500.0
2018-12-24,559700.0
2019-09-06,717900.0
2018-07-17,823100.0
2018-09-19,796200.0
2019-08-05,1130400.0
2019-10-08,1339900.0
2019-12-11,1519500.0
2019-11-27,799300.0
2020-02-14,1152300.0
2020-05-06,918900.0
2019-01-08,666800.0
2018-12-07,1813500.0
2019-08-20,950300.0
2018-11-05,914500.0
2019-07-19,868500.0
2018-10-04,775100.0
2019-06-17,740600.0
2019-05-16,1065200.0
2018-08-01,916400.0
2019-03-13,720400.0
2019-12-03,1338400.0
2020-02-20,565100.0
2019-12-06,606800.0
2020-05-12,1011600.0
2019-12-09,865300.0
2020-02-26,1279400.0
2020-05-15,989700.0
2019-03-28,997100.0
2018-09-17,1059300.0
2018-08-16,894700.0
2018-10-19,760700.0
2019-04-29,677200.0
2019-01-23,856400.0
2019-09-04,2239600.0
2018-11-20,2297300.0
2019-07-02,1335200.0
2019-05-31,1736900.0
2019-12-12,2488700.0
2020-05-18,1435900.0
2019-09-27,1746900.0
2020-03-03,1337200.0
2020-05-21,609600.0
2019-05-14,1013900.0
2018-08-31,1339000.0
2018-07-30,919200.0
2018-10-02,2637800.0
2019-04-12,1321900.0
2019-03-11,1013400.0
2019-02-07,1133600.0
2019-07-17,1059000.0
2019-09-19,1381500.0
2019-10-21,1327300.0
2019-12-18,1025100.0
2020-03-06,1030800.0
2019-10-03,1102600.0
2020-03-09,1452300.0
2020-05-27,1283000.0
2019-12-24,1491100.0
2020-03-12,1185300.0
2018-12-20,1112600.0
2019-08-01,1089700.0
2018-08-14,2095700.0
2018-07-13,1426200.0
2018-10-17,1285400.0
2019-05-29,1361600.0
2019-03-26,1152700.0
2019-02-22,1464600.0
2019-10-04,1225900.0
2019-11-05,1123000.0
2019-12-27,1412500.0
2020-06-02,889800.0
2019-12-30,1036300.0
2020-03-18,925500.0
2020-06-05,941900.0
2019-07-15,2070100.0
2018-12-03,2656700.0
