Dates,ALB
2019-10-31,81.05000305175781
2020-04-06,80.0
2020-06-24,81.31999969482422
2018-11-09,82.43000030517578
2019-07-23,84.37000274658203
2019-06-21,83.72000122070312
2019-05-20,84.44999694824219
2019-04-18,85.86000061035156
2018-09-06,86.19999694824219
2018-10-08,86.70999908447266
2019-02-13,84.87999725341797
2018-12-11,85.19999694824219
2019-09-25,83.08000183105469
2020-01-21,83.58000183105469
2020-04-09,82.52999877929688
2019-11-06,83.86000061035156
2020-01-24,82.18000030517578
2020-01-27,82.45999908447266
2020-04-15,81.63999938964844
2018-12-26,79.0999984741211
2019-08-07,76.5999984741211
2019-06-04,74.69999694824219
2018-09-21,75.5
2018-07-19,75.8499984741211
2018-08-20,75.0
2018-10-23,73.87999725341797
2019-05-03,76.7699966430664
2019-04-01,75.66000366210938
