Dates,ALB
2020-06-08,803200.0
2019-10-18,721600.0
2020-03-24,1062800.0
2020-06-11,908400.0
2020-01-08,1153100.0
2019-04-25,1271000.0
2019-07-30,766400.0
2019-02-20,1374200.0
2018-07-11,5988000.0
2018-09-13,2780700.0
2018-10-15,2192200.0
2019-06-28,2227400.0
2018-12-18,2912300.0
2018-11-16,2339900.0
2019-10-02,2246900.0
2020-03-27,2004600.0
2020-01-10,2319200.0
2019-10-24,3003500.0
2020-03-30,3410000.0
2020-06-17,1164300.0
2020-01-14,1820100.0
2020-04-02,1554000.0
2019-01-02,1079200.0
2019-08-14,1028800.0
2018-10-30,1190100.0
2019-06-11,926100.0
2019-05-10,1496800.0
2019-04-08,1386700.0
2018-08-27,1147000.0
2018-07-26,1086300.0
2018-09-28,1417100.0
2019-03-07,930000.0
2019-10-30,440500.0
2020-01-17,1128200.0
2020-06-23,1559200.0
2020-04-08,1550100.0
2020-06-26,1379600.0
2019-03-22,1195900.0
2019-01-17,908900.0
2019-08-29,1020600.0
2018-11-14,1034600.0
2019-06-26,1771700.0
2018-09-11,1536000.0
2018-07-09,1431800.0
2018-08-10,1525600.0
2019-04-23,1382100.0
2019-09-30,1945900.0
2020-01-23,2492200.0
2019-11-08,2011200.0
2020-04-14,640700.0
2019-11-11,730300.0
2020-01-29,741600.0
2020-04-17,802200.0
2018-07-24,1016000.0
2018-09-26,1620800.0
2019-05-08,1337600.0
2019-03-05,1330000.0
2019-02-01,1574400.0
2018-12-31,2029500.0
2018-11-29,1301100.0
2019-08-12,1493300.0
2019-07-11,2668000.0
2019-09-13,3835800.0
2019-11-14,3101800.0
2020-04-20,2178700.0
2020-02-04,2151400.0
2020-04-23,2312700.0
2018-12-14,2138400.0
2019-08-27,1654700.0
2018-08-08,1409600.0
2018-10-11,2060800.0
2018-11-12,1130900.0
2019-07-26,1084500.0
2019-06-24,1261400.0
2019-05-23,5676000.0
2019-03-20,2287300.0
2019-01-15,4739800.0
2019-11-20,3418600.0
2020-02-07,1849600.0
2020-02-10,2337700.0
2020-04-29,1553700.0
2019-11-26,1311100.0
2020-02-13,1311800.0
2019-01-30,1725100.0
2018-08-23,2105500.0
2018-09-24,1448800.0
2018-11-27,2041200.0
2018-10-26,4973600.0
2019-07-09,2263400.0
2019-06-07,1682200.0
2019-05-06,2195600.0
2019-04-04,1583900.0
2019-09-11,2530000.0
2019-11-29,2580200.0
2020-05-05,1661200.0
2019-12-02,1932300.0
2020-02-19,1198000.0
2020-05-08,1490200.0
2019-05-21,1490700.0
2019-03-18,2627400.0
2018-09-07,2771400.0
2018-08-06,2059300.0
2018-10-09,2619400.0
2019-02-14,2067800.0
2018-12-12,2388300.0
2019-07-24,3062400.0
2019-09-26,2762300.0
2019-10-28,2016200.0
2019-12-05,2963600.0
2020-05-11,2507500.0
2019-07-03,1839500.0
2020-02-25,2295600.0
2020-05-14,2245100.0
2020-02-28,2439600.0
2019-08-08,2045800.0
2019-06-05,2585900.0
2018-07-20,2253900.0
2018-08-21,1911400.0
2018-10-24,1749700.0
2019-04-02,1725800.0
2019-03-01,1952000.0
2019-01-28,1706000.0
2018-12-27,1775400.0
2019-09-09,1678600.0
2020-03-02,1068400.0
2020-05-20,1335900.0
2019-12-17,1618100.0
2020-03-05,1011000.0
2019-02-12,1270600.0
2019-01-11,1381600.0
2018-12-10,684800.0
2019-08-23,816500.0
2018-11-08,1027100.0
2019-07-22,736800.0
2019-06-20,1087700.0
2018-09-05,1447900.0
2019-04-17,2007200.0
2019-09-24,1924900.0
2019-12-20,1275400.0
2020-05-26,1109000.0
2019-04-30,1885300.0
2019-12-23,2206600.0
2020-03-11,1514500.0
2020-05-29,1471300.0
2019-12-26,1881900.0
2020-06-01,1770000.0
2019-05-02,1333300.0
2019-02-27,1428000.0
2018-11-23,1288900.0
2019-08-06,1329900.0
2018-07-18,1641500.0
2018-09-20,1428300.0
2018-10-22,825400.0
2019-07-05,2391600.0
2019-06-03,1592500.0
2019-10-09,1408600.0
2019-10-11,1589800.0
2020-03-17,1061900.0
2020-06-04,1268300.0
2019-10-14,1685100.0
2020-03-20,1493700.0
2018-11-06,1950000.0
2019-06-18,1304100.0
2019-05-17,962300.0
2019-04-15,957900.0
2019-03-14,1656600.0
2019-01-09,1219900.0
2018-08-02,1134900.0
2018-10-05,1060000.0
2019-08-21,727000.0
2019-10-17,863700.0
2020-03-23,1243100.0
2020-06-10,1023200.0
2019-02-25,781700.0
2020-01-07,965600.0
2020-03-26,727200.0
2019-10-23,1652200.0
