Dates,ECL
2019-10-21,202.22999572753906
2019-12-18,203.9600067138672
2020-03-06,202.7899932861328
2019-10-03,205.80999755859375
2020-03-09,205.6999969482422
2020-05-27,203.10000610351562
2019-12-24,205.5399932861328
2020-03-12,205.24000549316406
2018-12-20,205.0500030517578
2019-08-01,198.94000244140625
2018-08-14,195.86000061035156
2018-07-13,195.3699951171875
2018-10-17,196.94000244140625
2019-05-29,196.6699981689453
2019-03-26,191.55999755859375
2019-02-22,192.3300018310547
2019-10-04,194.25
2019-11-05,195.16000366210938
2019-12-27,195.60000610351562
2020-06-02,195.22000122070312
2019-12-30,194.66000366210938
2020-03-18,194.4199981689453
2020-06-05,196.10000610351562
2019-07-15,196.4199981689453
2018-12-03,197.5500030517578
2019-06-13,195.38999938964844
2019-01-04,190.6199951171875
2018-08-29,189.00999450683594
2019-02-05,193.14999389648438
2018-11-01,191.05999755859375
2019-08-16,189.2899932861328
2019-04-10,190.5800018310547
2019-09-17,190.47999572753906
2019-10-15,194.5
2020-01-02,193.94000244140625
2020-06-08,194.3800048828125
2019-10-18,193.2899932861328
2020-03-24,193.07000732421875
2020-06-11,192.30999755859375
2020-01-08,190.7899932861328
2019-04-25,188.33999633789062
2019-07-30,187.5399932861328
2019-02-20,188.52000427246094
2018-07-11,189.80999755859375
2018-09-13,190.58999633789062
2018-10-15,185.05999755859375
2019-06-28,192.33999633789062
2018-12-18,190.9600067138672
2018-11-16,190.41000366210938
2019-10-02,189.47999572753906
2020-03-27,188.9499969482422
2020-01-10,192.25
2019-10-24,189.6300048828125
2020-03-30,189.72999572753906
2020-06-17,188.47999572753906
2020-01-14,187.58999633789062
2020-04-02,187.02999877929688
2019-01-02,190.0500030517578
2019-08-14,190.99000549316406
2018-10-30,190.36000061035156
2019-06-11,189.2899932861328
2019-05-10,186.16000366210938
2019-04-08,182.85000610351562
2018-08-27,182.10000610351562
2018-07-26,181.42999267578125
2018-09-28,181.82000732421875
2019-03-07,185.3699951171875
2019-10-30,185.75
2020-01-17,185.07000732421875
2020-06-23,183.0500030517578
2020-04-08,183.7899932861328
2020-06-26,184.1300048828125
2019-03-22,186.0500030517578
2019-01-17,184.77000427246094
2019-08-29,185.02000427246094
2018-11-14,184.14999389648438
2019-06-26,184.75
2018-09-11,184.5800018310547
2018-07-09,185.67999267578125
2018-08-10,185.1699981689453
2019-04-23,185.42999267578125
2019-09-30,188.3000030517578
2020-01-23,189.02999877929688
2019-11-08,190.67999267578125
2020-04-14,191.1199951171875
2019-11-11,190.72999572753906
2020-01-29,191.30999755859375
2020-04-17,190.4499969482422
2018-07-24,191.0
2018-09-26,189.85000610351562
2019-05-08,187.36000061035156
2019-03-05,187.67999267578125
2019-02-01,186.3300018310547
2018-12-31,186.19000244140625
2018-11-29,187.91000366210938
2019-08-12,188.72000122070312
2019-07-11,189.27000427246094
2019-09-13,189.4600067138672
2019-11-14,189.82000732421875
2020-04-20,191.8699951171875
2020-02-04,192.25
2020-04-23,194.7100067138672
2018-12-14,195.6699981689453
2019-08-27,195.74000549316406
2018-08-08,197.0
2018-10-11,195.4600067138672
2018-11-12,196.16000366210938
2019-07-26,197.7100067138672
2019-06-24,196.27000427246094
2019-05-23,195.57000732421875
2019-03-20,196.1999969482422
2019-01-15,201.74000549316406
2019-11-20,202.49000549316406
2020-02-07,205.3000030517578
2020-02-10,205.11000061035156
2020-04-29,204.3300018310547
2019-11-26,204.52000427246094
2020-02-13,204.80999755859375
2019-01-30,205.30999755859375
2018-08-23,206.49000549316406
2018-09-24,204.7100067138672
2018-11-27,208.22000122070312
2018-10-26,205.02000427246094
2019-07-09,205.58999633789062
2019-06-07,202.25999450683594
2019-05-06,193.72000122070312
2019-04-04,193.83999633789062
2019-09-11,183.42999267578125
2019-11-29,174.00999450683594
2020-05-05,182.08999633789062
2019-12-02,191.0
2020-02-19,195.39999389648438
2020-05-08,197.5500030517578
2019-05-21,188.8800048828125
2019-03-18,181.25
2018-09-07,180.91000366210938
2018-08-06,182.3000030517578
2018-10-09,165.0
2019-02-14,164.4499969482422
2018-12-12,157.41000366210938
2019-07-24,163.63999938964844
2019-09-26,143.61000061035156
2019-10-28,151.47999572753906
2019-12-05,140.57000732421875
2020-05-11,124.5999984741211
2019-07-03,132.02999877929688
2020-02-25,148.2100067138672
2020-05-14,153.02000427246094
2020-02-28,153.4199981689453
2019-08-08,157.25999450683594
2019-06-05,155.3800048828125
2018-07-20,145.30999755859375
2018-08-21,145.77000427246094
2018-10-24,146.57000732421875
2019-04-02,153.9600067138672
2019-03-01,158.1300048828125
2019-01-28,158.4199981689453
2018-12-27,172.00999450683594
2019-09-09,171.77999877929688
2020-03-02,177.36000061035156
2020-05-20,173.64999389648438
2019-12-17,170.35000610351562
2020-03-05,175.0
2019-02-12,172.75
2019-01-11,168.55999755859375
2018-12-10,171.9499969482422
2019-08-23,175.00999450683594
