Dates,ECL
2019-02-26,195.26539611816406
2019-01-25,196.72760009765625
2018-12-24,196.37193298339844
2019-09-06,196.48060607910156
2018-07-17,188.58811950683594
2018-09-19,187.14231872558594
2019-08-05,186.73631286621094
2019-10-08,190.4894561767578
2019-12-11,187.7463836669922
2019-11-27,189.7764434814453
2020-02-14,189.7665557861328
2020-05-06,186.41941833496094
2019-01-08,190.3310089111328
2018-12-07,195.5200653076172
2019-08-20,193.85638427734375
2018-11-05,196.04490661621094
2019-07-19,197.83729553222656
2018-10-04,195.15365600585938
2019-06-17,195.6289825439453
2019-05-16,193.95541381835938
2018-08-01,196.20335388183594
2019-03-13,197.6194305419922
2019-12-03,197.8571014404297
2020-02-20,196.9955596923828
2019-12-06,196.00527954101562
2020-05-12,194.04452514648438
2019-12-09,195.76760864257812
2020-02-26,195.36160278320312
2020-05-15,195.322021484375
2019-03-28,198.0155487060547
2018-09-17,196.02508544921875
2018-08-16,196.40139770507812
2018-10-19,197.67884826660156
2019-04-29,198.66912841796875
2019-01-23,203.67990112304688
2019-09-04,199.76832580566406
2018-11-20,198.97608947753906
2019-07-02,198.04527282714844
2019-05-31,192.46011352539062
2019-12-12,194.8169403076172
2020-05-18,198.24331665039062
2019-09-27,203.04612731933594
2020-03-03,203.9670867919922
2020-05-21,202.8778076171875
2019-05-14,205.44261169433594
2018-08-31,199.67922973632812
2018-07-30,201.68946838378906
2018-10-02,204.79893493652344
2019-04-12,206.54183959960938
2019-03-11,204.5909881591797
2019-02-07,205.08612060546875
2019-07-17,204.86827087402344
2019-09-19,199.8574676513672
2019-10-21,200.9269561767578
2019-12-18,202.72926330566406
2020-03-06,202.78868103027344
2019-10-03,204.98709106445312
2020-03-09,204.3037872314453
2020-05-27,202.50152587890625
2019-12-24,204.81874084472656
2020-03-12,203.33331298828125
2018-12-20,204.6800994873047
2019-08-01,198.82757568359375
2018-08-14,195.34178161621094
2018-07-13,195.27247619628906
2018-10-17,195.8468475341797
2019-05-29,196.95594787597656
2019-03-26,190.68289184570312
2019-02-22,193.37277221679688
2019-10-04,194.6035614013672
2019-11-05,195.040283203125
2019-12-27,194.6035614013672
2020-06-02,194.37525939941406
2019-12-30,193.41246032714844
2020-03-18,195.8343505859375
2020-06-05,196.95594787597656
2019-07-15,196.32070922851562
2018-12-03,196.56884765625
