Dates,TGT
2019-03-28,88.54000091552734
2018-09-17,89.08999633789062
2018-08-16,87.97000122070312
2018-10-19,87.05999755859375
2019-04-29,87.2300033569336
2019-01-23,86.87999725341797
2019-09-04,86.4000015258789
2018-11-20,82.62000274658203
2019-07-02,81.5199966430664
2019-05-31,80.79000091552734
2019-12-12,82.7699966430664
2020-05-18,83.01000213623047
2019-09-27,83.80000305175781
2020-03-03,82.41000366210938
2020-05-21,82.02999877929688
2019-05-14,84.23999786376953
2018-08-31,81.88999938964844
2018-07-30,82.55999755859375
2018-10-02,84.20999908447266
2019-04-12,86.58000183105469
2019-03-11,85.52999877929688
2019-02-07,103.0
2019-07-17,106.31999969482422
2019-09-19,103.48999786376953
2019-10-21,104.7699966430664
2019-12-18,104.69999694824219
2020-03-06,106.4000015258789
2019-10-03,107.93000030517578
2020-03-09,107.04000091552734
2020-05-27,106.70999908447266
2019-12-24,107.36000061035156
2020-03-12,108.54000091552734
2018-12-20,109.8499984741211
2019-08-01,107.94999694824219
2018-08-14,108.83000183105469
2018-07-13,108.97000122070312
2018-10-17,108.94000244140625
2019-05-29,107.98999786376953
2019-03-26,106.95999908447266
2019-02-22,107.27999877929688
2019-10-04,106.97000122070312
2019-11-05,107.87000274658203
2019-12-27,106.66999816894531
2020-06-02,108.77999877929688
2019-12-30,107.44999694824219
2020-03-18,106.80000305175781
2020-06-05,106.29000091552734
2019-07-15,106.12000274658203
2018-12-03,106.91000366210938
2019-06-13,105.94000244140625
2019-01-04,105.16000366210938
2018-08-29,106.62000274658203
2019-02-05,109.0999984741211
2018-11-01,107.94999694824219
2019-08-16,108.5199966430664
2019-04-10,110.36000061035156
2019-09-17,110.56999969482422
2019-10-15,111.83000183105469
2020-01-02,111.1500015258789
2020-06-08,111.88999938964844
2019-10-18,112.19000244140625
2020-03-24,113.2300033569336
2020-06-11,112.80999755859375
2020-01-08,113.68000030517578
2019-04-25,113.19000244140625
2019-07-30,111.36000061035156
2019-02-20,110.25
2018-07-11,109.0199966430664
2018-09-13,109.72000122070312
2018-10-15,108.1500015258789
2019-06-28,107.93000030517578
2018-12-18,106.91000366210938
2018-11-16,107.81999969482422
2019-10-02,108.7699966430664
2020-03-27,110.05999755859375
2020-01-10,110.51000213623047
2019-10-24,110.58999633789062
2020-03-30,110.1500015258789
2020-06-17,110.44999694824219
2020-01-14,108.3499984741211
2020-04-02,108.58000183105469
2019-01-02,111.11000061035156
2019-08-14,113.20999908447266
2018-10-30,111.95999908447266
2019-06-11,110.8499984741211
2019-05-10,126.43000030517578
2019-04-08,127.6500015258789
2018-08-27,127.0199966430664
2018-07-26,125.19000244140625
2018-09-28,126.88999938964844
2019-03-07,125.9000015258789
2019-10-30,125.01000213623047
2020-01-17,123.9800033569336
2020-06-23,124.04000091552734
2020-04-08,124.5199966430664
2020-06-26,124.68000030517578
2019-03-22,125.02999877929688
2019-01-17,126.44999694824219
2019-08-29,125.7699966430664
2018-11-14,125.80000305175781
2019-06-26,127.5199966430664
2018-09-11,127.22000122070312
2018-07-09,125.95999908447266
2018-08-10,128.3800048828125
2019-04-23,128.0800018310547
2019-09-30,128.6999969482422
2020-01-23,129.14999389648438
2019-11-08,128.33999633789062
2020-04-14,128.5500030517578
2019-11-11,128.88999938964844
2020-01-29,129.2100067138672
2020-04-17,128.88999938964844
2018-07-24,128.2100067138672
2018-09-26,126.06999969482422
2019-05-08,124.76000213623047
2019-03-05,123.58000183105469
2019-02-01,123.80000305175781
2018-12-31,123.4000015258789
2018-11-29,123.5
2019-08-12,124.7300033569336
2019-07-11,123.87000274658203
2019-09-13,125.26000213623047
2019-11-14,117.0
2020-04-20,116.31999969482422
2020-02-04,116.91999816894531
2020-04-23,114.04000091552734
2018-12-14,113.9000015258789
2019-08-27,115.52999877929688
2018-08-08,114.31999969482422
2018-10-11,115.77999877929688
2018-11-12,115.44000244140625
2019-07-26,114.2699966430664
2019-06-24,114.66999816894531
2019-05-23,110.73999786376953
2019-03-20,112.51000213623047
2019-01-15,113.25
2019-11-20,115.52999877929688
2020-02-07,115.13999938964844
2020-02-10,115.61000061035156
2020-04-29,116.9800033569336
2019-11-26,116.69000244140625
2020-02-13,118.11000061035156
2019-01-30,118.27999877929688
2018-08-23,116.62999725341797
2018-09-24,117.83000183105469
2018-11-27,117.38999938964844
2018-10-26,118.26000213623047
2019-07-09,117.01000213623047
2019-06-07,113.77999877929688
2019-05-06,111.72000122070312
2019-04-04,110.66000366210938
2019-09-11,105.62000274658203
2019-11-29,103.0
2020-05-05,109.05999755859375
2019-12-02,105.83999633789062
2020-02-19,107.81999969482422
2020-05-08,105.97000122070312
2019-05-21,105.94999694824219
2019-03-18,104.02999877929688
2018-09-07,108.33000183105469
2018-08-06,105.58000183105469
2018-10-09,92.62000274658203
2019-02-14,101.0199966430664
2018-12-12,93.79000091552734
2019-07-24,103.62999725341797
2019-09-26,102.81999969482422
2019-10-28,100.5
2019-12-05,97.4000015258789
2020-05-11,96.69000244140625
2019-07-03,100.55999755859375
2020-02-25,91.04000091552734
2020-05-14,96.06999969482422
2020-02-28,94.73999786376953
2019-08-08,96.01000213623047
2019-06-05,92.97000122070312
2018-07-20,95.2699966430664
2018-08-21,94.36000061035156
2018-10-24,92.56999969482422
2019-04-02,97.51000213623047
2019-03-01,98.26000213623047
2019-01-28,104.62999725341797
2018-12-27,104.19999694824219
