Dates,DHI
2019-10-18,52.72999954223633
2020-03-24,54.22999954223633
2020-06-11,53.58000183105469
2020-01-08,54.15999984741211
2019-04-25,53.79999923706055
2019-07-30,53.41999816894531
2019-02-20,53.34000015258789
2018-07-11,53.959999084472656
2018-09-13,53.52000045776367
2018-10-15,51.7400016784668
2019-06-28,51.56999969482422
2018-12-18,52.27000045776367
2018-11-16,52.5
2019-10-02,53.349998474121094
2020-03-27,51.15999984741211
2020-01-10,50.84000015258789
2019-10-24,52.04999923706055
2020-03-30,51.0099983215332
2020-06-17,51.25
2020-01-14,54.91999816894531
2020-04-02,54.279998779296875
2019-01-02,54.27000045776367
2019-08-14,54.529998779296875
2018-10-30,53.66999816894531
2019-06-11,54.63999938964844
2019-05-10,54.40999984741211
2019-04-08,54.56999969482422
2018-08-27,54.16999816894531
2018-07-26,54.130001068115234
2018-09-28,54.81999969482422
2019-03-07,55.400001525878906
2019-10-30,55.11000061035156
2020-01-17,55.279998779296875
2020-06-23,54.380001068115234
2020-04-08,54.79999923706055
2020-06-26,55.279998779296875
2019-03-22,55.13999938964844
2019-01-17,54.20000076293945
2019-08-29,54.790000915527344
2018-11-14,54.939998626708984
2019-06-26,55.709999084472656
2018-09-11,54.25
2018-07-09,54.79999923706055
2018-08-10,54.2400016784668
2019-04-23,54.130001068115234
2019-09-30,52.630001068115234
2020-01-23,52.4900016784668
2019-11-08,53.61000061035156
2020-04-14,52.939998626708984
2019-11-11,53.209999084472656
2020-01-29,53.11000061035156
2020-04-17,52.79999923706055
2018-07-24,52.439998626708984
2018-09-26,52.95000076293945
2019-05-08,52.45000076293945
2019-03-05,53.36000061035156
2019-02-01,53.959999084472656
2018-12-31,53.75
2018-11-29,53.61000061035156
2019-08-12,53.08000183105469
2019-07-11,53.630001068115234
2019-09-13,53.56999969482422
2019-11-14,54.310001373291016
2020-04-20,55.029998779296875
2020-02-04,55.709999084472656
2020-04-23,55.709999084472656
2018-12-14,56.970001220703125
2019-08-27,57.45000076293945
2018-08-08,59.08000183105469
2018-10-11,59.150001525878906
2018-11-12,60.279998779296875
2019-07-26,61.47999954223633
2019-06-24,60.400001525878906
2019-05-23,60.2599983215332
2019-03-20,59.400001525878906
2019-01-15,58.79999923706055
2019-11-20,57.4900016784668
2020-02-07,59.810001373291016
2020-02-10,60.90999984741211
2020-04-29,60.93000030517578
2019-11-26,61.810001373291016
2020-02-13,61.25
2019-01-30,61.59000015258789
2018-08-23,62.04999923706055
2018-09-24,61.95000076293945
2018-11-27,62.130001068115234
2018-10-26,61.869998931884766
2019-07-09,62.130001068115234
2019-06-07,61.09000015258789
2019-05-06,60.52000045776367
2019-04-04,57.060001373291016
2019-09-11,55.72999954223633
2019-11-29,54.59000015258789
2020-05-05,53.81999969482422
2019-12-02,55.099998474121094
2020-02-19,56.68000030517578
2020-05-08,57.400001525878906
2019-05-21,54.709999084472656
2019-03-18,51.25
2018-09-07,50.40999984741211
2018-08-06,48.90999984741211
2018-10-09,41.2599983215332
2019-02-14,41.59000015258789
2018-12-12,34.08000183105469
2019-07-24,32.2599983215332
2019-09-26,28.90999984741211
2019-10-28,28.360000610351562
2019-12-05,30.920000076293945
2020-05-11,30.850000381469727
2019-07-03,32.34000015258789
2020-02-25,34.34000015258789
2020-05-14,37.52000045776367
2020-02-28,37.400001525878906
2019-08-08,36.75
2019-06-05,36.4900016784668
2018-07-20,32.61000061035156
2018-08-21,33.0
2018-10-24,32.18000030517578
2019-04-02,34.20000076293945
2019-03-01,40.130001068115234
2019-01-28,37.2599983215332
2018-12-27,40.959999084472656
2019-09-09,40.83000183105469
2020-03-02,39.869998931884766
2020-05-20,38.20000076293945
2019-12-17,38.0099983215332
2020-03-05,40.41999816894531
2019-02-12,38.709999084472656
2019-01-11,37.5
2018-12-10,38.65999984741211
2019-08-23,39.38999938964844
2018-11-08,39.61000061035156
2019-07-22,41.54999923706055
2019-06-20,46.31999969482422
2018-09-05,47.099998474121094
2019-04-17,47.27000045776367
2019-09-24,45.84000015258789
2019-12-20,45.81999969482422
2020-05-26,46.880001068115234
2019-04-30,47.599998474121094
2019-12-23,48.0
2020-03-11,48.040000915527344
2020-05-29,48.439998626708984
2019-12-26,48.720001220703125
2020-06-01,46.83000183105469
2019-05-02,44.61000061035156
2019-02-27,45.560001373291016
2018-11-23,49.70000076293945
2019-08-06,51.22999954223633
2018-07-18,53.349998474121094
2018-09-20,52.189998626708984
2018-10-22,53.369998931884766
2019-07-05,56.540000915527344
2019-06-03,57.720001220703125
2019-10-09,59.75
2019-10-11,55.599998474121094
2020-03-17,55.52000045776367
2020-06-04,55.400001525878906
2019-10-14,56.290000915527344
2020-03-20,56.20000076293945
2018-11-06,55.209999084472656
2019-06-18,56.06999969482422
2019-05-17,54.290000915527344
2019-04-15,55.310001373291016
2019-03-14,53.72999954223633
2019-01-09,53.349998474121094
2018-08-02,52.36000061035156
2018-10-05,57.88999938964844
2019-08-21,58.59000015258789
2019-10-17,57.7400016784668
2020-03-23,58.63999938964844
2020-06-10,56.060001373291016
2019-02-25,57.11000061035156
2020-01-07,55.66999816894531
2020-03-26,52.38999938964844
2019-10-23,53.689998626708984
