Dates,HSIC
2019-05-06,1939200.0
2019-04-04,1622100.0
2019-09-11,2300700.0
2019-11-29,2319800.0
2020-05-05,2426100.0
2019-12-02,1493200.0
2020-02-19,1698100.0
2020-05-08,2054300.0
2019-05-21,1916200.0
2019-03-18,2464900.0
2018-09-07,3372400.0
2018-08-06,2510300.0
2018-10-09,3919500.0
2019-02-14,2644900.0
2018-12-12,2452100.0
2019-07-24,3543300.0
2019-09-26,2988800.0
2019-10-28,2977300.0
2019-12-05,2275000.0
2020-05-11,2324600.0
2019-07-03,2217700.0
2020-02-25,3307400.0
2020-05-14,10254100.0
2020-02-28,2755300.0
2019-08-08,3126600.0
2019-06-05,2653800.0
2018-07-20,1919700.0
2018-08-21,2429700.0
2018-10-24,1984700.0
2019-04-02,2613600.0
2019-03-01,3316600.0
2019-01-28,2516600.0
2018-12-27,1665900.0
2019-09-09,1245000.0
2020-03-02,1259900.0
2020-05-20,1212400.0
2019-12-17,1354000.0
2020-03-05,1310800.0
2019-02-12,1061600.0
2019-01-11,935700.0
2018-12-10,1149900.0
2019-08-23,1321900.0
2018-11-08,1313000.0
2019-07-22,1307500.0
2019-06-20,1303800.0
2018-09-05,2179600.0
2019-04-17,1291000.0
2019-09-24,1322100.0
2019-12-20,2026400.0
2020-05-26,3783100.0
2019-04-30,2436700.0
2019-12-23,1792100.0
2020-03-11,1113800.0
2020-05-29,1752100.0
2019-12-26,1512400.0
2020-06-01,1776700.0
2019-05-02,1821200.0
2019-02-27,3926500.0
2018-11-23,1926400.0
2019-08-06,1856500.0
2018-07-18,1136800.0
2018-09-20,1060100.0
2018-10-22,1258800.0
2019-07-05,1562500.0
2019-06-03,2051500.0
2019-10-09,1110200.0
2019-10-11,2645600.0
2020-03-17,770700.0
2020-06-04,2499800.0
2019-10-14,1098000.0
2020-03-20,1314000.0
2018-11-06,1819200.0
2019-06-18,1756400.0
2019-05-17,2431800.0
2019-04-15,1759500.0
2019-03-14,2525500.0
2019-01-09,1839900.0
2018-08-02,1342800.0
2018-10-05,1477400.0
2019-08-21,1108700.0
2019-10-17,1403800.0
2020-03-23,2763200.0
2020-06-10,1297600.0
2019-02-25,1549500.0
2020-01-07,2143400.0
2020-03-26,1320300.0
2019-10-23,1786000.0
