Dates,DIS
2018-11-29,6664200.0
2019-08-12,5152500.0
2019-07-11,9921300.0
2019-09-13,14839100.0
2019-11-14,6818200.0
2020-04-20,6948400.0
2020-02-04,10355300.0
2020-04-23,9250200.0
2018-12-14,7550000.0
2019-08-27,11082000.0
2018-08-08,13076300.0
2018-10-11,12831800.0
2018-11-12,10390000.0
2019-07-26,9382700.0
2019-06-24,11847300.0
2019-05-23,12379100.0
2019-03-20,12660000.0
2019-01-15,23519700.0
2019-11-20,27824100.0
2020-02-07,9504600.0
2020-02-10,10948900.0
2020-04-29,8162100.0
2019-11-26,10790100.0
2020-02-13,8168200.0
2019-01-30,7543100.0
2018-08-23,9110500.0
2018-09-24,8214900.0
2018-11-27,7080900.0
2018-10-26,5981700.0
2019-07-09,7725800.0
2019-06-07,19336500.0
2019-05-06,21032500.0
2019-04-04,31195900.0
2019-09-11,30793900.0
2019-11-29,35453800.0
2020-05-05,21775900.0
2019-12-02,19529700.0
2020-02-19,13842100.0
2020-05-08,22397200.0
2019-05-21,22899600.0
2019-03-18,26233600.0
2018-09-07,24083700.0
2018-08-06,24771300.0
2018-10-09,40392900.0
2019-02-14,40960100.0
2018-12-12,35379500.0
2019-07-24,27526200.0
2019-09-26,43592500.0
2019-10-28,30866800.0
2019-12-05,31957800.0
2020-05-11,32246600.0
2019-07-03,32538100.0
2020-02-25,28533000.0
2020-05-14,24520300.0
2020-02-28,30591500.0
2019-08-08,23119200.0
2019-06-05,21563200.0
2018-07-20,18303900.0
2018-08-21,13936500.0
2018-10-24,14814600.0
2019-04-02,20407400.0
2019-03-01,22899600.0
2019-01-28,22562500.0
2018-12-27,31485600.0
2019-09-09,17306000.0
2020-03-02,19866900.0
2020-05-20,14157600.0
2019-12-17,18029300.0
2020-03-05,17926900.0
2019-02-12,17021000.0
2019-01-11,16101400.0
2018-12-10,11492000.0
2019-08-23,17132200.0
2018-11-08,13621100.0
2019-07-22,15518300.0
2019-06-20,16503700.0
2018-09-05,20139800.0
2019-04-17,18622900.0
2019-09-24,13209100.0
2019-12-20,19514800.0
2020-05-26,30169800.0
2019-04-30,51992400.0
2019-12-23,20868800.0
2020-03-11,24101700.0
2020-05-29,20541400.0
2019-12-26,17049700.0
2020-06-01,21085800.0
2019-05-02,22002200.0
2019-02-27,29766000.0
2018-11-23,40075700.0
2019-08-06,20332600.0
2018-07-18,25749900.0
2018-09-20,17578300.0
2018-10-22,9288200.0
2019-07-05,16466400.0
2019-06-03,19345400.0
2019-10-09,18606000.0
2019-10-11,17845800.0
2020-03-17,10538300.0
2020-06-04,10753100.0
2019-10-14,12584300.0
2020-03-20,14195100.0
2018-11-06,16581600.0
2019-06-18,13858100.0
2019-05-17,10882800.0
2019-04-15,11497100.0
2019-03-14,26078800.0
2019-01-09,18355400.0
2018-08-02,14156400.0
2018-10-05,12951200.0
2019-08-21,8913100.0
2019-10-17,9577300.0
2020-03-23,23496300.0
2020-06-10,12868000.0
2019-02-25,10187600.0
2020-01-07,22252500.0
2020-03-26,17240400.0
2019-10-23,15270900.0
