Dates,UPS
2019-03-11,111.85680389404297
2019-02-07,112.72217559814453
2019-07-17,112.03181457519531
2019-09-19,108.20084381103516
2019-10-21,111.19561767578125
2019-12-18,110.97197723388672
2020-03-06,113.1111068725586
2019-10-03,115.09465789794922
2020-03-09,115.37663269042969
2020-05-27,114.08344268798828
2019-12-24,116.16422271728516
2020-03-12,117.84635162353516
2018-12-20,116.75733947753906
2019-08-01,118.29362487792969
2018-08-14,119.01314544677734
2018-07-13,119.45069122314453
2018-10-17,119.16871643066406
2019-05-29,119.27566528320312
2019-03-26,119.1784439086914
2019-02-22,119.00342559814453
2019-10-04,117.69078063964844
2019-11-05,115.82391357421875
2019-12-27,117.36018371582031
2020-06-02,115.75584411621094
2019-12-30,114.72517395019531
2020-03-18,115.75584411621094
2020-06-05,115.17243957519531
2019-07-15,115.65860748291016
2018-12-03,116.5045394897461
2019-06-13,112.6054916381836
2019-01-04,112.05126953125
2018-08-29,112.69300842285156
2019-02-05,114.23900604248047
2018-11-01,112.37213897705078
2019-08-16,109.62044525146484
2019-04-10,110.7094497680664
2019-09-17,112.09015655517578
2019-10-15,112.8096694946289
2020-01-02,112.66383361816406
2020-06-08,113.2569580078125
2019-10-18,114.24873352050781
2020-03-24,115.11410522460938
2020-06-11,114.1028823852539
2020-01-08,115.2405014038086
2019-04-25,112.8874740600586
2019-07-30,111.96375274658203
2019-02-20,110.85530090332031
2018-07-11,112.51799011230469
2018-09-13,113.0333251953125
2018-10-15,113.67506408691406
2019-06-28,113.64588165283203
2018-12-18,111.98320007324219
2018-11-16,116.20310974121094
2019-10-02,119.61598205566406
2020-03-27,118.03109741210938
2020-01-10,118.57559204101562
2019-10-24,120.07298278808594
2020-03-30,120.8605728149414
2020-06-17,119.732666015625
2020-01-14,119.60626220703125
2020-04-02,119.61598205566406
2019-01-02,120.64665985107422
2019-08-14,121.2444076538086
2018-10-30,120.3036880493164
2019-06-11,118.11849212646484
2019-05-10,116.61922454833984
2019-04-08,117.11897277832031
2018-08-27,116.9229965209961
2018-07-26,117.88330841064453
2018-09-28,118.76522827148438
2019-03-07,117.46194458007812
2019-10-30,117.32476043701172
2020-01-17,115.8450927734375
2020-06-23,114.58100891113281
2020-04-08,114.1302490234375
2020-06-26,112.69957733154297
2019-03-22,115.16895294189453
2019-01-17,115.7667007446289
2019-08-29,116.1586685180664
2018-11-14,114.44381713867188
2019-06-26,114.60060119628906
2018-09-11,116.237060546875
2018-07-09,116.72702026367188
2018-08-10,117.87350463867188
2019-04-23,115.58051300048828
2019-09-30,116.17826080322266
2020-01-23,115.04156494140625
2019-11-08,116.55062866210938
2020-04-14,115.95288848876953
2019-11-11,116.64862060546875
2020-01-29,116.55062866210938
2020-04-17,114.1008529663086
2018-07-24,114.7083969116211
2018-09-26,114.44381713867188
2019-05-08,114.37522888183594
2019-03-05,113.86566925048828
2019-02-01,113.66968536376953
2018-12-31,114.3164291381836
2018-11-29,114.58100891113281
2019-08-12,113.54230499267578
2019-07-11,114.40462493896484
2019-09-13,114.91417694091797
2019-11-14,115.56092071533203
2020-04-20,116.22726440429688
2020-02-04,116.21746063232422
2020-04-23,115.03176879882812
2018-12-14,114.90438079833984
2019-08-27,114.58100891113281
2018-08-08,114.3164291381836
2018-10-11,112.61138153076172
2018-11-12,113.0523452758789
2019-07-26,113.43451690673828
2019-06-24,105.83039855957031
2019-05-23,101.44039916992188
2019-03-20,99.98033142089844
2019-01-15,101.30320739746094
2019-11-20,103.90977478027344
2020-02-07,104.37033081054688
2020-02-10,101.0484390258789
2020-04-29,100.99943542480469
2019-11-26,102.7632827758789
2020-02-13,103.4198226928711
2019-01-30,103.12584686279297
2018-08-23,103.82158660888672
2018-09-24,104.28213500976562
2018-11-27,104.61531066894531
2018-10-26,104.3409423828125
2019-07-09,100.87205505371094
2019-06-07,97.4677505493164
2019-05-06,92.9253921508789
2019-04-04,92.75716400146484
2019-09-11,89.30338287353516
2019-11-29,89.55078125
2020-05-05,91.7873306274414
2019-12-02,90.35237884521484
2020-02-19,94.8254623413086
2020-05-08,92.02483367919922
2019-05-21,93.02435302734375
2019-03-18,86.27513885498047
2018-09-07,91.85660552978516
2018-08-06,87.07672882080078
2018-10-09,85.27561950683594
2019-02-14,93.25196838378906
2018-12-12,86.15638732910156
2019-07-24,95.785400390625
2019-09-26,98.22976684570312
2019-10-28,95.2509994506836
2019-12-05,92.48995971679688
2020-05-11,90.94615173339844
2019-07-03,94.27127838134766
2020-02-25,93.5191650390625
2020-05-14,98.7443618774414
2020-02-28,96.50782012939453
2019-08-08,96.82449340820312
2019-06-05,92.45037078857422
2018-07-20,89.45182037353516
2018-08-21,92.0743179321289
2018-10-24,89.06587219238281
2019-04-02,94.68692016601562
2019-03-01,91.94567108154297
2019-01-28,97.76464080810547
2018-12-27,97.66567993164062
2019-09-09,97.39847564697266
2020-03-02,100.34754943847656
2020-05-20,98.8829116821289
2019-12-17,101.15904235839844
2020-03-05,101.68354034423828
2019-02-12,100.14962005615234
2019-01-11,99.57564544677734
2018-12-10,96.59688568115234
2019-08-23,98.41778564453125
2018-11-08,99.14021301269531
2019-07-22,101.4856185913086
2019-06-20,95.42913818359375
2018-09-05,95.11245727539062
2019-04-17,93.67750549316406
2019-09-24,90.94615173339844
2019-12-20,89.50130462646484
2020-05-26,91.74774169921875
2019-04-30,91.96546173095703
2019-12-23,91.86650085449219
2020-03-11,93.84574127197266
2020-05-29,92.93529510498047
2019-12-26,91.88629150390625
2020-06-01,89.79818725585938
2019-05-02,90.73833465576172
2019-02-27,90.0851821899414
2018-11-23,95.10255432128906
2019-08-06,95.42913818359375
2018-07-18,96.17134857177734
2018-09-20,96.29999542236328
2018-10-22,96.72000122070312
2019-07-05,97.06999969482422
2019-06-03,99.62000274658203
2019-10-09,99.72000122070312
2019-10-11,99.70999908447266
2020-03-17,99.27999877929688
2020-06-04,101.16999816894531
2019-10-14,103.6500015258789
2020-03-20,103.19999694824219
2018-11-06,106.6500015258789
2019-06-18,110.44999694824219
2019-05-17,107.83000183105469
2019-04-15,106.62999725341797
2019-03-14,100.47000122070312
2019-01-09,101.4800033569336
2018-08-02,105.63999938964844
2018-10-05,105.83000183105469
2019-08-21,106.98999786376953
2019-10-17,107.58000183105469
2020-03-23,107.7699966430664
2020-06-10,106.9000015258789
2019-02-25,110.61000061035156
2020-01-07,109.5
2020-03-26,110.5199966430664
2019-10-23,107.31999969482422
