Dates,MYL
2020-06-11,6161900.0
2020-01-08,8331000.0
2019-04-25,6414100.0
2019-07-30,4910300.0
2019-02-20,5133200.0
2018-07-11,5436900.0
2018-09-13,5874100.0
2018-10-15,6863100.0
2019-06-28,3248100.0
2018-12-18,6156300.0
2018-11-16,5490900.0
2019-10-02,6695600.0
2020-03-27,21074600.0
2020-01-10,13599300.0
2019-10-24,9571600.0
2020-03-30,6777300.0
2020-06-17,6185400.0
2020-01-14,8484200.0
2020-04-02,7223300.0
2019-01-02,7901100.0
2019-08-14,5209900.0
2018-10-30,8967500.0
2019-06-11,5311400.0
2019-05-10,7004800.0
2019-04-08,7110100.0
2018-08-27,5236000.0
2018-07-26,8276600.0
2018-09-28,7328600.0
2019-03-07,5243100.0
2019-10-30,3866900.0
2020-01-17,5758600.0
2020-06-23,4461500.0
2020-04-08,5034300.0
2020-06-26,4667500.0
2019-03-22,5057600.0
2019-01-17,7869500.0
2019-08-29,4090100.0
2018-11-14,3224000.0
2019-06-26,6196000.0
2018-09-11,5177900.0
2018-07-09,8078600.0
2018-08-10,6859400.0
2019-04-23,4638600.0
2019-09-30,6430500.0
2020-01-23,21987500.0
2019-11-08,5726100.0
2020-04-14,1731000.0
2019-11-11,4547200.0
2020-01-29,4754400.0
2020-04-17,4534900.0
2018-07-24,5154700.0
2018-09-26,8870500.0
2019-05-08,7957300.0
2019-03-05,9540600.0
2019-02-01,8041200.0
2018-12-31,6933300.0
2018-11-29,6310700.0
2019-08-12,4624300.0
2019-07-11,4314800.0
2019-09-13,5985600.0
2019-11-14,8858800.0
2020-04-20,6116000.0
2020-02-04,6404400.0
2020-04-23,5655300.0
2018-12-14,5058800.0
2019-08-27,4799200.0
2018-08-08,5702600.0
2018-10-11,7017300.0
2018-11-12,7098200.0
2019-07-26,6037200.0
2019-06-24,3750900.0
2019-05-23,6219900.0
2019-03-20,4269900.0
2019-01-15,4565300.0
2019-11-20,7690100.0
2020-02-07,5282500.0
2020-02-10,3854700.0
2020-04-29,3391700.0
2019-11-26,5104600.0
2020-02-13,6510000.0
2019-01-30,7530000.0
2018-08-23,3871100.0
2018-09-24,4444900.0
2018-11-27,5771500.0
2018-10-26,6363700.0
2019-07-09,4939700.0
