Dates,MDT
2018-08-24,86.69999694824219
2019-07-10,85.66000366210938
2019-05-07,85.95999908447266
2019-04-05,86.26000213623047
2019-03-04,87.51000213623047
2019-01-31,87.7300033569336
2019-09-12,86.83999633789062
2019-12-31,87.75
2020-03-19,87.80999755859375
2020-01-03,88.12999725341797
2020-06-09,88.16999816894531
2019-02-15,89.13999938964844
2019-01-14,89.2699966430664
2018-07-06,90.19999694824219
2018-08-07,90.54000091552734
2018-10-10,91.52999877929688
2018-12-13,92.2300033569336
2019-08-26,92.20999908447266
2019-07-25,92.12000274658203
2019-05-22,92.94000244140625
2019-03-19,92.16999816894531
2020-01-06,91.20999908447266
2020-03-25,90.56999969482422
2020-06-12,90.38999938964844
2019-10-22,90.94999694824219
2020-01-09,91.26000213623047
2020-06-15,91.44999694824219
2019-10-25,91.9800033569336
2020-03-31,90.86000061035156
2020-06-18,89.5
2019-04-03,90.87999725341797
2018-08-22,91.9000015258789
2018-10-25,92.63999938964844
2019-01-29,92.44000244140625
2018-12-28,93.29000091552734
2018-11-26,91.20999908447266
2019-08-09,91.41999816894531
2019-07-08,91.54000091552734
2019-06-06,90.62999725341797
2019-09-10,90.37000274658203
2020-01-15,90.01000213623047
2020-04-03,90.61000061035156
2019-10-31,89.51000213623047
2020-04-06,89.47000122070312
2020-06-24,89.80000305175781
2018-11-09,90.4000015258789
2019-07-23,90.16000366210938
2019-06-21,88.30999755859375
2019-05-20,88.08000183105469
2019-04-18,88.73999786376953
2018-09-06,88.0
2018-10-08,88.47000122070312
2019-02-13,88.48999786376953
2018-12-11,87.25
2019-09-25,86.62000274658203
2020-01-21,86.66999816894531
2020-04-09,86.05000305175781
2019-11-06,84.55000305175781
2020-01-24,82.7699966430664
2020-01-27,83.6500015258789
2020-04-15,84.4000015258789
2018-12-26,84.36000061035156
2019-08-07,85.36000061035156
2019-06-04,86.73999786376953
2018-09-21,86.91999816894531
2018-07-19,87.4000015258789
2018-08-20,87.41000366210938
2018-10-23,88.02999877929688
2019-05-03,89.12999725341797
2019-04-01,88.23999786376953
2019-02-28,88.73999786376953
2019-11-12,88.79000091552734
2020-01-30,86.69000244140625
2019-11-15,86.08999633789062
2020-04-21,86.62000274658203
2019-04-16,87.30999755859375
2019-03-15,86.76000213623047
2019-02-11,88.06999969482422
2019-01-10,87.1500015258789
2019-08-22,86.88999938964844
2018-11-07,87.70999908447266
2018-08-03,87.41999816894531
2018-09-04,90.12000274658203
2019-06-19,92.01000213623047
2019-09-23,91.25
2019-11-18,90.25
2020-02-05,91.58000183105469
2020-04-24,91.83000183105469
2019-03-29,92.36000061035156
2019-11-21,93.37999725341797
2020-04-27,95.0
2020-02-11,95.69999694824219
2020-04-30,96.88999938964844
2019-05-01,96.81999969482422
2019-02-26,97.13999938964844
2019-01-25,97.19000244140625
2018-12-24,96.9800033569336
2019-09-06,97.37000274658203
2018-07-17,97.05000305175781
2018-09-19,97.44999694824219
2019-08-05,97.58999633789062
2019-10-08,98.44999694824219
2019-12-11,98.44000244140625
2019-11-27,98.9000015258789
2020-02-14,98.83999633789062
2020-05-06,96.8499984741211
2019-01-08,96.5199966430664
2018-12-07,96.87999725341797
2019-08-20,97.37999725341797
2018-11-05,97.6500015258789
2019-07-19,97.87000274658203
2018-10-04,97.44000244140625
2019-06-17,97.5
2019-05-16,98.12000274658203
2018-08-01,98.01000213623047
2019-03-13,98.94999694824219
2019-12-03,98.45999908447266
2020-02-20,98.95999908447266
2019-12-06,99.54000091552734
2020-05-12,99.8499984741211
2019-12-09,100.58999633789062
2020-02-26,100.79000091552734
2020-05-15,100.95999908447266
2019-03-28,101.11000061035156
2018-09-17,101.27999877929688
2018-08-16,101.4800033569336
2018-10-19,101.9000015258789
2019-04-29,102.19999694824219
2019-01-23,102.51000213623047
2019-09-04,101.23999786376953
2018-11-20,101.55000305175781
2019-07-02,101.44999694824219
2019-05-31,98.43000030517578
2019-12-12,99.33999633789062
2020-05-18,99.12999725341797
2019-09-27,100.93000030517578
2020-03-03,101.45999908447266
2020-05-21,100.66000366210938
2019-05-14,101.0
2018-08-31,100.80999755859375
2018-07-30,100.62999725341797
2018-10-02,101.91999816894531
2019-04-12,103.0199966430664
2019-03-11,106.73999786376953
2019-02-07,106.47000122070312
2019-07-17,107.2300033569336
2019-09-19,105.55000305175781
2019-10-21,106.16999816894531
2019-12-18,106.94999694824219
2020-03-06,106.97000122070312
