Dates,SAR
2019-09-27,71800.0
2020-03-03,21400.0
2020-05-21,36000.0
2019-05-14,39400.0
2018-08-31,68500.0
2018-07-30,46500.0
2018-10-02,48300.0
2019-04-12,57600.0
2019-03-11,44700.0
2019-02-07,66000.0
2019-07-17,45700.0
2019-09-19,54600.0
2019-10-21,46900.0
2019-12-18,65100.0
2020-03-06,80800.0
2019-10-03,65500.0
2020-03-09,80000.0
2020-05-27,77300.0
2019-12-24,82200.0
2020-03-12,110900.0
2018-12-20,91000.0
2019-08-01,85400.0
2018-08-14,100800.0
2018-07-13,91100.0
2018-10-17,95400.0
2019-05-29,62400.0
2019-03-26,87200.0
2019-02-22,53900.0
2019-10-04,54800.0
2019-11-05,48700.0
2019-12-27,52500.0
2020-06-02,72000.0
2019-12-30,40800.0
2020-03-18,53300.0
2020-06-05,52500.0
2019-07-15,39500.0
2018-12-03,53100.0
2019-06-13,43000.0
2019-01-04,86900.0
2018-08-29,55600.0
2019-02-05,83500.0
2018-11-01,34900.0
2019-08-16,28600.0
2019-04-10,40400.0
2019-09-17,84400.0
2019-10-15,75700.0
2020-01-02,40600.0
2020-06-08,65300.0
2019-10-18,44400.0
2020-03-24,66400.0
2020-06-11,48900.0
2020-01-08,48700.0
2019-04-25,68200.0
2019-07-30,63500.0
2019-02-20,59400.0
2018-07-11,507200.0
2018-09-13,144700.0
2018-10-15,75000.0
2019-06-28,50200.0
2018-12-18,38200.0
2018-11-16,317400.0
2019-10-02,379600.0
2020-03-27,222400.0
2020-01-10,168100.0
2019-10-24,160500.0
2020-03-30,185200.0
2020-06-17,80500.0
2020-01-14,92000.0
2020-04-02,51100.0
2019-01-02,68400.0
2019-08-14,89800.0
2018-10-30,87800.0
2019-06-11,55500.0
2019-05-10,72300.0
2019-04-08,101400.0
2018-08-27,66600.0
2018-07-26,75700.0
2018-09-28,60300.0
2019-03-07,69400.0
2019-10-30,49000.0
2020-01-17,75000.0
2020-06-23,71500.0
2020-04-08,59900.0
2020-06-26,49900.0
2019-03-22,51800.0
2019-01-17,46600.0
2019-08-29,38300.0
2018-11-14,74400.0
2019-06-26,44700.0
2018-09-11,42400.0
2018-07-09,51900.0
2018-08-10,38100.0
2019-04-23,31100.0
2019-09-30,91500.0
2020-01-23,54600.0
2019-11-08,59600.0
2020-04-14,38600.0
2019-11-11,71300.0
2020-01-29,65200.0
2020-04-17,42400.0
2018-07-24,93000.0
2018-09-26,80100.0
2019-05-08,49900.0
2019-03-05,63800.0
2019-02-01,104000.0
2018-12-31,94200.0
2018-11-29,309700.0
2019-08-12,189700.0
2019-07-11,231800.0
2019-09-13,136700.0
2019-11-14,102000.0
2020-04-20,139600.0
2020-02-04,159200.0
2020-04-23,185900.0
2018-12-14,269200.0
2019-08-27,126400.0
2018-08-08,131300.0
2018-10-11,198900.0
2018-11-12,114200.0
2019-07-26,77000.0
2019-06-24,77300.0
2019-05-23,78900.0
2019-03-20,72600.0
2019-01-15,47300.0
2019-11-20,37900.0
2020-02-07,87600.0
2020-02-10,63200.0
2020-04-29,49700.0
2019-11-26,85300.0
2020-02-13,40100.0
2019-01-30,52300.0
2018-08-23,40300.0
2018-09-24,67600.0
2018-11-27,31100.0
2018-10-26,33600.0
2019-07-09,34000.0
2019-06-07,68300.0
2019-05-06,256700.0
2019-04-04,131600.0
2019-09-11,167700.0
2019-11-29,404400.0
2020-05-05,147400.0
2019-12-02,114500.0
2020-02-19,56200.0
2020-05-08,67300.0
2019-05-21,145700.0
2019-03-18,116000.0
2018-09-07,116800.0
2018-08-06,90900.0
2018-10-09,375600.0
2019-02-14,202700.0
2018-12-12,151400.0
2019-07-24,243700.0
2019-09-26,514400.0
2019-10-28,336800.0
2019-12-05,280200.0
2020-05-11,253000.0
2019-07-03,150700.0
2020-02-25,237100.0
2020-05-14,214600.0
2020-02-28,186600.0
2019-08-08,179300.0
2019-06-05,124200.0
2018-07-20,145900.0
2018-08-21,160000.0
2018-10-24,85200.0
2019-04-02,133800.0
2019-03-01,142300.0
2019-01-28,153100.0
2018-12-27,238700.0
2019-09-09,102700.0
2020-03-02,118500.0
2020-05-20,126200.0
2019-12-17,99900.0
2020-03-05,95800.0
2019-02-12,69400.0
2019-01-11,38600.0
2018-12-10,63000.0
2019-08-23,81500.0
2018-11-08,87300.0
2019-07-22,73400.0
2019-06-20,78100.0
2018-09-05,77300.0
2019-04-17,113300.0
2019-09-24,127200.0
2019-12-20,96000.0
2020-05-26,156800.0
2019-04-30,103300.0
2019-12-23,579000.0
2020-03-11,398000.0
2020-05-29,131900.0
2019-12-26,213300.0
2020-06-01,183800.0
2019-05-02,127100.0
2019-02-27,80000.0
2018-11-23,77000.0
2019-08-06,83200.0
2018-07-18,76400.0
2018-09-20,57600.0
2018-10-22,54700.0
2019-07-05,69600.0
2019-06-03,84700.0
2019-10-09,69500.0
2019-10-11,100200.0
2020-03-17,76300.0
2020-06-04,44400.0
2019-10-14,84900.0
2020-03-20,105100.0
2018-11-06,152000.0
2019-06-18,145500.0
2019-05-17,117000.0
2019-04-15,129500.0
2019-03-14,188500.0
2019-01-09,68100.0
2018-08-02,88800.0
2018-10-05,76900.0
2019-08-21,85600.0
2019-10-17,62500.0
2020-03-23,67800.0
2020-06-10,104500.0
2019-02-25,79300.0
2020-01-07,63700.0
2020-03-26,59800.0
2019-10-23,104200.0
