Dates,HES
2019-09-10,60.209999084472656
2020-01-15,59.810001373291016
2020-04-03,61.529998779296875
2019-10-31,61.5099983215332
2020-04-06,61.029998779296875
2020-06-24,61.93000030517578
2018-11-09,61.45000076293945
2019-07-23,61.54999923706055
2019-06-21,60.810001373291016
2019-05-20,60.810001373291016
2019-04-18,63.099998474121094
2018-09-06,63.619998931884766
2018-10-08,63.310001373291016
2019-02-13,63.630001068115234
2018-12-11,63.689998626708984
2019-09-25,66.25
2020-01-21,66.26000213623047
2020-04-09,66.4800033569336
2019-11-06,67.0
2020-01-24,66.58999633789062
2020-01-27,68.2699966430664
2020-04-15,68.08000183105469
2018-12-26,68.25
2019-08-07,67.1500015258789
2019-06-04,64.22000122070312
2018-09-21,64.41999816894531
2018-07-19,64.63999938964844
