Dates,ADSK
2018-08-08,199.42999267578125
2018-10-11,195.77000427246094
2018-11-12,196.25999450683594
2019-07-26,200.9199981689453
2019-06-24,198.4199981689453
2019-05-23,198.77000427246094
2019-03-20,197.86000061035156
2019-01-15,202.0
2019-11-20,206.72000122070312
2020-02-07,203.6199951171875
2020-02-10,205.5800018310547
2020-04-29,207.24000549316406
2019-11-26,207.35000610351562
2020-02-13,206.75999450683594
2019-01-30,206.33999633789062
2018-08-23,208.08999633789062
2018-09-24,209.47000122070312
2018-11-27,209.3300018310547
2018-10-26,210.44000244140625
2019-07-09,205.0
2019-06-07,195.55999755859375
2019-05-06,196.47000122070312
2019-04-04,188.58999633789062
2019-09-11,184.24000549316406
2019-11-29,176.57000732421875
2020-05-05,190.6699981689453
2019-12-02,187.85000610351562
2020-02-19,183.89999389648438
2020-05-08,185.47000122070312
2019-05-21,177.8300018310547
2019-03-18,157.82000732421875
2018-09-07,165.60000610351562
2018-08-06,159.5500030517578
2018-10-09,143.7899932861328
2019-02-14,146.0
2018-12-12,140.99000549316406
2019-07-24,149.69000244140625
2019-09-26,145.22000122070312
2019-10-28,141.4499969482422
2019-12-05,151.4600067138672
2020-05-11,147.80999755859375
2019-07-03,151.25
2020-02-25,149.39999389648438
2020-05-14,150.85000610351562
2020-02-28,155.8300018310547
2019-08-08,142.74000549316406
2019-06-05,154.0
2018-07-20,147.52999877929688
2018-08-21,136.97000122070312
2018-10-24,136.88999938964844
2019-04-02,146.1199951171875
2019-03-01,157.72999572753906
2019-01-28,150.7899932861328
2018-12-27,160.7100067138672
2019-09-09,162.3699951171875
2020-03-02,165.1699981689453
2020-05-20,168.57000732421875
2019-12-17,171.4600067138672
2020-03-05,176.0800018310547
2019-02-12,178.19000244140625
2019-01-11,175.9600067138672
2018-12-10,176.0500030517578
2019-08-23,172.99000549316406
2018-11-08,177.25999450683594
2019-07-22,182.24000549316406
2019-06-20,185.52999877929688
2018-09-05,180.61000061035156
2019-04-17,187.0
2019-09-24,179.22000122070312
2019-12-20,174.77999877929688
2020-05-26,179.57000732421875
2019-04-30,182.22999572753906
2019-12-23,182.92999267578125
2020-03-11,186.0
2020-05-29,183.13999938964844
2019-12-26,184.3699951171875
2020-06-01,180.60000610351562
2019-05-02,174.52999877929688
2019-02-27,176.49000549316406
2018-11-23,183.83999633789062
2019-08-06,190.1300048828125
2018-07-18,197.97000122070312
2018-09-20,196.0800018310547
2018-10-22,194.02999877929688
2019-07-05,199.32000732421875
2019-06-03,198.64999389648438
2019-10-09,196.3800048828125
2019-10-11,203.60000610351562
2020-03-17,210.0
2020-06-04,218.92999267578125
2019-10-14,220.75
2020-03-20,225.0
2018-11-06,224.6699981689453
2019-06-18,231.13999938964844
2019-05-17,232.49000549316406
2019-04-15,235.58999633789062
2019-03-14,233.0
2019-01-09,227.9499969482422
2018-08-02,218.9600067138672
2018-10-05,234.9499969482422
2019-08-21,242.2899932861328
2019-10-17,237.9499969482422
2020-03-23,242.11000061035156
2020-06-10,236.0
2019-02-25,242.91000366210938
2020-01-07,240.2899932861328
2020-03-26,233.5
2019-10-23,234.92999267578125
