Dates,WST
2018-10-31,101.27999877929688
2019-09-16,106.12000274658203
2020-02-18,106.44000244140625
2020-05-07,105.56999969482422
2018-08-17,106.3499984741211
2019-12-04,107.12999725341797
2020-02-21,109.11000061035156
2018-12-17,110.80999755859375
2019-08-30,111.30000305175781
2018-11-15,110.6500015258789
2019-07-29,107.37999725341797
2019-06-27,107.94999694824219
2019-04-24,105.94000244140625
2018-07-10,107.95999908447266
2018-09-12,109.83000183105469
2019-02-19,103.88999938964844
2019-01-18,105.55000305175781
2020-02-24,104.2699966430664
2020-05-13,106.75
2019-12-10,105.91000366210938
2020-02-27,105.33000183105469
2019-12-13,107.29000091552734
2020-05-19,108.7699966430664
2019-03-06,110.94999694824219
2018-11-30,111.02999877929688
2019-08-13,107.2699966430664
2019-07-12,108.05999755859375
2019-06-10,105.9800033569336
2019-05-09,108.77999877929688
2018-07-25,108.11000061035156
2018-09-27,108.12999725341797
2018-10-29,106.19000244140625
2019-10-16,103.81999969482422
2019-12-16,103.20999908447266
2020-03-04,101.1500015258789
2020-05-22,98.95999908447266
2019-10-01,97.80000305175781
2019-12-19,94.37000274658203
2018-09-10,93.4000015258789
2019-05-24,94.95999908447266
2018-08-09,96.52999877929688
2019-04-22,96.9800033569336
2019-03-21,96.76000213623047
2019-01-16,96.22000122070312
2019-08-28,95.18000030517578
2018-11-13,98.58000183105469
2018-10-12,99.7300033569336
2019-06-25,102.70999908447266
2020-03-10,103.37999725341797
2020-05-28,103.1500015258789
2019-10-07,103.44000244140625
2020-03-13,102.5
2019-10-10,104.48999786376953
2020-03-16,104.1500015258789
2020-06-03,105.18000030517578
2018-11-28,104.02999877929688
2018-09-25,104.93000030517578
2018-07-23,104.48999786376953
2018-08-24,105.80000305175781
2019-07-10,106.36000061035156
2019-05-07,105.77999877929688
2019-04-05,105.79000091552734
2019-03-04,106.0
2019-01-31,108.25
2019-09-12,102.87000274658203
2019-12-31,105.0
2020-03-19,104.30999755859375
2020-01-03,103.81999969482422
2020-06-09,102.41000366210938
2019-02-15,102.97000122070312
2019-01-14,104.5999984741211
2018-07-06,104.95999908447266
2018-08-07,100.61000061035156
2018-10-10,100.97000122070312
2018-12-13,101.9000015258789
2019-08-26,102.54000091552734
2019-07-25,103.2699966430664
2019-05-22,104.38999938964844
2019-03-19,104.95999908447266
2020-01-06,105.08999633789062
2020-03-25,103.4800033569336
2020-06-12,103.87000274658203
2019-10-22,105.08999633789062
2020-01-09,106.25
2020-06-15,105.08000183105469
2019-10-25,104.3499984741211
2020-03-31,102.29000091552734
2020-06-18,101.86000061035156
2019-04-03,101.97000122070312
2018-08-22,103.06999969482422
2018-10-25,103.58999633789062
2019-01-29,105.08999633789062
2018-12-28,106.12999725341797
2018-11-26,106.0999984741211
2019-08-09,106.4800033569336
2019-07-08,105.80999755859375
2019-06-06,104.66000366210938
2019-09-10,106.08999633789062
2020-01-15,103.6500015258789
2020-04-03,105.87000274658203
2019-10-31,105.47000122070312
2020-04-06,106.6500015258789
2020-06-24,108.33000183105469
2018-11-09,110.83999633789062
2019-07-23,111.80999755859375
2019-06-21,111.91999816894531
2019-05-20,112.0199966430664
2019-04-18,112.11000061035156
2018-09-06,112.41999816894531
2018-10-08,112.31999969482422
2019-02-13,113.08999633789062
2018-12-11,114.47000122070312
2019-09-25,115.05999755859375
2020-01-21,115.91000366210938
2020-04-09,117.19999694824219
2019-11-06,114.38999938964844
2020-01-24,112.04000091552734
2020-01-27,110.83999633789062
2020-04-15,113.41999816894531
2018-12-26,115.0
2019-08-07,119.6500015258789
2019-06-04,122.62000274658203
2018-09-21,123.16000366210938
2018-07-19,122.1500015258789
2018-08-20,121.44999694824219
