Dates,CMS
2018-07-11,63.650001525878906
2018-09-13,62.5099983215332
2018-10-15,62.97999954223633
2019-06-28,63.900001525878906
2018-12-18,63.91999816894531
2018-11-16,63.34000015258789
2019-10-02,61.66999816894531
2020-03-27,60.72999954223633
2020-01-10,61.36000061035156
2019-10-24,60.0099983215332
2020-03-30,59.61000061035156
2020-06-17,59.58000183105469
2020-01-14,59.59000015258789
2020-04-02,60.4900016784668
2019-01-02,60.7599983215332
2019-08-14,60.900001525878906
2018-10-30,61.189998626708984
2019-06-11,61.439998626708984
2019-05-10,61.70000076293945
2019-04-08,61.95000076293945
2018-08-27,61.7599983215332
2018-07-26,61.20000076293945
2018-09-28,61.68000030517578
2019-03-07,61.52000045776367
2019-10-30,61.29999923706055
2020-01-17,60.869998931884766
2020-06-23,61.130001068115234
2020-04-08,61.709999084472656
2020-06-26,61.84000015258789
2019-03-22,61.459999084472656
2019-01-17,61.279998779296875
2019-08-29,61.439998626708984
2018-11-14,61.45000076293945
2019-06-26,60.77000045776367
2018-09-11,60.9900016784668
2018-07-09,61.869998931884766
2018-08-10,62.08000183105469
2019-04-23,62.34000015258789
2019-09-30,62.400001525878906
2020-01-23,63.099998474121094
2019-11-08,62.290000915527344
2020-04-14,62.279998779296875
2019-11-11,62.279998779296875
2020-01-29,62.540000915527344
2020-04-17,62.59000015258789
2018-07-24,62.84000015258789
2018-09-26,61.709999084472656
2019-05-08,62.310001373291016
2019-03-05,62.59000015258789
2019-02-01,62.27000045776367
2018-12-31,62.25
2018-11-29,62.72999954223633
2019-08-12,63.060001373291016
2019-07-11,63.689998626708984
2019-09-13,63.88999938964844
2019-11-14,64.69999694824219
2020-04-20,65.37999725341797
2020-02-04,65.6500015258789
2020-04-23,66.20999908447266
2018-12-14,66.55000305175781
2019-08-27,67.11000061035156
2018-08-08,67.48999786376953
2018-10-11,67.25
2018-11-12,67.06999969482422
2019-07-26,67.30999755859375
2019-06-24,68.06999969482422
2019-05-23,68.51000213623047
2019-03-20,68.4800033569336
2019-01-15,67.37000274658203
2019-11-20,67.91000366210938
2020-02-07,67.31999969482422
2020-02-10,67.13999938964844
2020-04-29,67.55999755859375
2019-11-26,67.37000274658203
2020-02-13,67.36000061035156
2019-01-30,67.91999816894531
2018-08-23,68.51000213623047
2018-09-24,68.86000061035156
2018-11-27,68.4800033569336
2018-10-26,68.58999633789062
2019-07-09,68.44999694824219
2019-06-07,68.25
2019-05-06,66.83999633789062
2019-04-04,66.44000244140625
2019-09-11,62.81999969482422
2019-11-29,60.41999816894531
2020-05-05,64.13999938964844
2019-12-02,64.31999969482422
2020-02-19,68.3499984741211
2020-05-08,67.7300033569336
2019-05-21,67.88999938964844
2019-03-18,65.41999816894531
2018-09-07,65.51000213623047
2018-08-06,63.25
2018-10-09,58.88999938964844
2019-02-14,62.38999938964844
2018-12-12,56.95000076293945
2019-07-24,64.81999969482422
2019-09-26,60.63999938964844
2019-10-28,56.4900016784668
2019-12-05,49.54999923706055
2020-05-11,48.5099983215332
2019-07-03,51.43000030517578
2020-02-25,53.31999969482422
2020-05-14,56.939998626708984
2020-02-28,58.22999954223633
2019-08-08,61.939998626708984
2019-06-05,58.75
2018-07-20,55.709999084472656
2018-08-21,56.86000061035156
2018-10-24,54.54999923706055
2019-04-02,58.849998474121094
2019-03-01,57.34000015258789
2019-01-28,60.63999938964844
2018-12-27,62.33000183105469
2019-09-09,61.15999984741211
2020-03-02,62.27000045776367
2020-05-20,60.70000076293945
2019-12-17,61.880001068115234
2020-03-05,63.16999816894531
2019-02-12,59.189998626708984
2019-01-11,58.40999984741211
2018-12-10,59.9900016784668
2019-08-23,59.2400016784668
2018-11-08,59.400001525878906
2019-07-22,58.0
2019-06-20,59.209999084472656
2018-09-05,57.2599983215332
2019-04-17,57.09000015258789
2019-09-24,55.95000076293945
2019-12-20,56.7400016784668
2020-05-26,57.15999984741211
2019-04-30,54.65999984741211
2019-12-23,54.540000915527344
2020-03-11,55.290000915527344
2020-05-29,55.47999954223633
2019-12-26,55.54999923706055
2020-06-01,54.630001068115234
2019-05-02,54.369998931884766
2019-02-27,53.68000030517578
2018-11-23,56.09000015258789
2019-08-06,55.310001373291016
2018-07-18,55.439998626708984
2018-09-20,54.7400016784668
2018-10-22,55.59000015258789
2019-07-05,55.68000030517578
2019-06-03,55.970001220703125
2019-10-09,57.93000030517578
2019-10-11,58.58000183105469
2020-03-17,59.0099983215332
2020-06-04,59.5
2019-10-14,60.13999938964844
2020-03-20,58.790000915527344
2018-11-06,59.439998626708984
2019-06-18,60.97999954223633
2019-05-17,60.290000915527344
2019-04-15,59.900001525878906
2019-03-14,58.11000061035156
2019-01-09,58.29999923706055
2018-08-02,58.470001220703125
2018-10-05,59.130001068115234
2019-08-21,59.119998931884766
2019-10-17,59.029998779296875
2020-03-23,57.93000030517578
2020-06-10,58.77000045776367
2019-02-25,57.81999969482422
