Dates,FRT
2019-02-11,130.47999572753906
2019-01-10,131.11000061035156
2019-08-22,130.19000244140625
2018-11-07,131.80999755859375
2018-08-03,132.1199951171875
2018-09-04,132.22000122070312
2019-06-19,132.4499969482422
2019-09-23,132.58999633789062
2019-11-18,129.9499969482422
2020-02-05,130.6300048828125
2020-04-24,130.72999572753906
2019-03-29,130.85000610351562
2019-11-21,129.67999267578125
2020-04-27,132.72999572753906
2020-02-11,132.22000122070312
2020-04-30,131.89999389648438
2019-05-01,131.13999938964844
2019-02-26,130.82000732421875
2019-01-25,131.2899932861328
2018-12-24,132.75999450683594
2019-09-06,133.13999938964844
2018-07-17,134.89999389648438
2018-09-19,134.5
2019-08-05,135.38999938964844
2019-10-08,134.3699951171875
2019-12-11,133.82000732421875
2019-11-27,132.60000610351562
2020-02-14,131.30999755859375
2020-05-06,126.5
2019-01-08,128.52000427246094
2018-12-07,128.75999450683594
2019-08-20,128.07000732421875
2018-11-05,130.0
2019-07-19,131.8000030517578
2018-10-04,130.92999267578125
2019-06-17,131.75
2019-05-16,132.69000244140625
2018-08-01,133.3699951171875
2019-03-13,131.7100067138672
2019-12-03,131.35000610351562
2020-02-20,131.7100067138672
2019-12-06,131.0399932861328
2020-05-12,130.50999450683594
2019-12-09,130.32000732421875
2020-02-26,127.87000274658203
2020-05-15,127.33999633789062
2019-03-28,130.02000427246094
2018-09-17,130.63999938964844
2018-08-16,130.10000610351562
2018-10-19,130.77999877929688
2019-04-29,131.9499969482422
2019-01-23,131.47999572753906
2019-09-04,132.00999450683594
2018-11-20,130.58999633789062
2019-07-02,132.27999877929688
2019-05-31,127.27999877929688
2019-12-12,128.74000549316406
2020-05-18,129.1199951171875
2019-09-27,131.47999572753906
2020-03-03,132.19000244140625
2020-05-21,132.60000610351562
2019-05-14,132.94000244140625
2018-08-31,129.60000610351562
2018-07-30,130.00999450683594
2018-10-02,130.64999389648438
2019-04-12,131.35000610351562
2019-03-11,130.55999755859375
2019-02-07,130.92999267578125
2019-07-17,130.67999267578125
2019-09-19,128.69000244140625
2019-10-21,128.77999877929688
2019-12-18,126.97000122070312
2020-03-06,128.05999755859375
2019-10-03,129.50999450683594
2020-03-09,129.2100067138672
2020-05-27,131.64999389648438
2019-12-24,133.0
2020-03-12,133.41000366210938
2018-12-20,134.22999572753906
2019-08-01,134.92999267578125
2018-08-14,136.17999267578125
2018-07-13,136.0800018310547
2018-10-17,135.75999450683594
2019-05-29,135.0500030517578
2019-03-26,134.6199951171875
2019-02-22,135.66000366210938
2019-10-04,135.4499969482422
2019-11-05,135.27000427246094
2019-12-27,134.25
2020-06-02,134.61000061035156
2019-12-30,134.67999267578125
2020-03-18,134.4499969482422
2020-06-05,136.1300048828125
2019-07-15,136.55999755859375
2018-12-03,136.13999938964844
2019-06-13,135.6999969482422
2019-01-04,135.39999389648438
2018-08-29,135.25
2019-02-05,135.92999267578125
2018-11-01,135.85000610351562
2019-08-16,134.9600067138672
2019-04-10,134.8000030517578
2019-09-17,134.42999267578125
2019-10-15,136.1999969482422
2020-01-02,135.99000549316406
2020-06-08,136.47000122070312
2019-10-18,137.19000244140625
2020-03-24,137.75
2020-06-11,138.0399932861328
2020-01-08,139.72000122070312
2019-04-25,140.4600067138672
2019-07-30,140.0500030517578
2019-02-20,139.52000427246094
2018-07-11,139.0399932861328
2018-09-13,138.67999267578125
2018-10-15,138.97999572753906
2019-06-28,141.16000366210938
2018-12-18,136.00999450683594
2018-11-16,135.63999938964844
2019-10-02,133.85000610351562
2020-03-27,133.64999389648438
2020-01-10,134.49000549316406
2019-10-24,132.0800018310547
2020-03-30,131.47999572753906
2020-06-17,131.3699951171875
2020-01-14,130.16000366210938
2020-04-02,130.47999572753906
2019-01-02,131.72000122070312
2019-08-14,131.86000061035156
2018-10-30,131.9499969482422
2019-06-11,131.77999877929688
2019-05-10,130.9600067138672
2019-04-08,130.05999755859375
2018-08-27,130.33999633789062
2018-07-26,130.3699951171875
2018-09-28,131.14999389648438
2019-03-07,132.39999389648438
2019-10-30,132.07000732421875
2020-01-17,129.75999450683594
2020-06-23,130.5399932861328
2020-04-08,130.9499969482422
2020-06-26,131.1699981689453
2019-03-22,131.77000427246094
2019-01-17,132.92999267578125
2019-08-29,131.6199951171875
2018-11-14,129.7899932861328
2019-06-26,127.58999633789062
2018-09-11,127.7699966430664
2018-07-09,128.4499969482422
2018-08-10,127.16000366210938
2019-04-23,128.17999267578125
2019-09-30,127.87000274658203
2020-01-23,127.22000122070312
2019-11-08,127.04000091552734
2020-04-14,126.91999816894531
2019-11-11,127.47000122070312
2020-01-29,128.14999389648438
2020-04-17,128.4600067138672
2018-07-24,128.72999572753906
2018-09-26,125.27999877929688
2019-05-08,126.13999938964844
2019-03-05,127.62999725341797
2019-02-01,125.3499984741211
2018-12-31,125.7699966430664
2018-11-29,124.79000091552734
2019-08-12,125.91999816894531
2019-07-11,126.83000183105469
2019-09-13,127.66999816894531
2019-11-14,128.19000244140625
2020-04-20,129.25999450683594
2020-02-04,129.52999877929688
2020-04-23,130.8800048828125
2018-12-14,130.5800018310547
2019-08-27,131.07000732421875
2018-08-08,129.80999755859375
2018-10-11,127.2300033569336
2018-11-12,127.2300033569336
2019-07-26,126.05000305175781
2019-06-24,125.44000244140625
2019-05-23,125.0199966430664
2019-03-20,125.06999969482422
2019-01-15,127.2699966430664
2019-11-20,128.10000610351562
2020-02-07,128.66000366210938
2020-02-10,128.02000427246094
2020-04-29,127.97000122070312
2019-11-26,124.0
2020-02-13,123.83999633789062
2019-01-30,124.8499984741211
2018-08-23,127.2300033569336
2018-09-24,126.87999725341797
2018-11-27,125.6500015258789
2018-10-26,127.6500015258789
2019-07-09,129.0
2019-06-07,127.87999725341797
2019-05-06,124.25
2019-04-04,122.91000366210938
2019-09-11,116.91999816894531
2019-11-29,116.33999633789062
2020-05-05,119.93000030517578
2019-12-02,117.29000091552734
2020-02-19,122.06999969482422
2020-05-08,120.83000183105469
2019-05-21,121.37000274658203
2019-03-18,112.70999908447266
2018-09-07,118.7699966430664
2018-08-06,113.33000183105469
2018-10-09,104.37000274658203
2019-02-14,105.69999694824219
2018-12-12,85.13999938964844
2019-07-24,92.16000366210938
2019-09-26,72.4800033569336
2019-10-28,75.52999877929688
2019-12-05,71.55999755859375
2020-05-11,66.66999816894531
2019-07-03,76.08000183105469
2020-02-25,78.51000213623047
2020-05-14,78.69000244140625
2020-02-28,76.05000305175781
2019-08-08,75.0
2019-06-05,74.61000061035156
2018-07-20,69.41000366210938
2018-08-21,66.4000015258789
2018-10-24,65.80999755859375
2019-04-02,72.66000366210938
2019-03-01,75.41000366210938
2019-01-28,80.2699966430664
2018-12-27,86.0
2019-09-09,83.58000183105469
2020-03-02,84.5999984741211
2020-05-20,77.95999908447266
2019-12-17,72.83999633789062
2020-03-05,75.36000061035156
2019-02-12,71.58000183105469
2019-01-11,70.41000366210938
2018-12-10,67.94999694824219
2019-08-23,70.19000244140625
2018-11-08,69.26000213623047
2019-07-22,73.41999816894531
2019-06-20,77.2300033569336
2018-09-05,84.0
2019-04-17,83.2699966430664
2019-09-24,78.41999816894531
2019-12-20,77.54000091552734
2020-05-26,77.23999786376953
2019-04-30,73.30999755859375
2019-12-23,74.98999786376953
2020-03-11,78.12000274658203
2020-05-29,75.25
2019-12-26,72.55000305175781
2020-06-01,68.20999908447266
2019-05-02,70.0199966430664
2019-02-27,72.0199966430664
2018-11-23,78.81999969482422
2019-08-06,77.7699966430664
2018-07-18,79.1500015258789
