Dates,VRSK
2019-01-18,120.13999938964844
2020-02-24,120.05999755859375
2020-05-13,120.94999694824219
2019-12-10,121.69000244140625
2020-02-27,123.80000305175781
2019-12-13,123.83000183105469
2020-05-19,123.31999969482422
2019-03-06,124.69000244140625
2018-11-30,120.38999938964844
2019-08-13,118.0
2019-07-12,114.44999694824219
2019-06-10,114.37999725341797
2019-05-09,114.68000030517578
2018-07-25,116.18000030517578
2018-09-27,115.45999908447266
2018-10-29,113.83000183105469
2019-10-16,111.05000305175781
2019-12-16,111.1500015258789
2020-03-04,110.2300033569336
2020-05-22,108.47000122070312
2019-10-01,106.01000213623047
2019-12-19,103.04000091552734
2018-09-10,107.48999786376953
2019-05-24,109.16999816894531
2018-08-09,108.05999755859375
2019-04-22,109.04000091552734
2019-03-21,108.6500015258789
2019-01-16,105.33000183105469
2019-08-28,109.9800033569336
2018-11-13,110.08999633789062
2018-10-12,111.06999969482422
2019-06-25,111.48999786376953
2020-03-10,112.63999938964844
2020-05-28,112.01000213623047
2019-10-07,111.18000030517578
2020-03-13,112.62000274658203
2019-10-10,112.9800033569336
2020-03-16,113.16000366210938
2020-06-03,115.69999694824219
2018-11-28,116.30000305175781
2018-09-25,116.80999755859375
2018-07-23,116.1500015258789
2018-08-24,117.23999786376953
2019-07-10,116.2300033569336
2019-05-07,116.2300033569336
2019-04-05,117.5
2019-03-04,117.41000366210938
2019-01-31,118.7699966430664
2019-09-12,119.3499984741211
2019-12-31,119.93000030517578
2020-03-19,119.63999938964844
2020-01-03,120.25
2020-06-09,121.9800033569336
2019-02-15,122.08999633789062
2019-01-14,123.69999694824219
2018-07-06,123.91999816894531
2018-08-07,123.83999633789062
2018-10-10,125.37999725341797
2018-12-13,124.43000030517578
2019-08-26,122.83000183105469
2019-07-25,124.52999877929688
2019-05-22,125.02999877929688
2019-03-19,125.2300033569336
2020-01-06,125.3499984741211
2020-03-25,125.7699966430664
2020-06-12,126.43000030517578
2019-10-22,126.70999908447266
2020-01-09,125.91000366210938
2020-06-15,126.47000122070312
2019-10-25,126.6500015258789
2020-03-31,126.58000183105469
2020-06-18,126.01000213623047
2019-04-03,127.30999755859375
2018-08-22,128.25999450683594
2018-10-25,128.75999450683594
2019-01-29,128.1300048828125
2018-12-28,128.42999267578125
2018-11-26,128.69000244140625
2019-08-09,128.8699951171875
2019-07-08,128.2899932861328
2019-06-06,129.75999450683594
2019-09-10,128.88999938964844
2020-01-15,129.7899932861328
2020-04-03,131.7100067138672
2019-10-31,131.80999755859375
2020-04-06,132.80999755859375
2020-06-24,133.0
2018-11-09,134.24000549316406
2019-07-23,134.91000366210938
2019-06-21,136.30999755859375
2019-05-20,135.7100067138672
2019-04-18,135.52000427246094
2018-09-06,135.3800048828125
2018-10-08,135.14999389648438
2019-02-13,134.75999450683594
2018-12-11,135.7899932861328
2019-09-25,136.97999572753906
2020-01-21,137.85000610351562
2020-04-09,136.5399932861328
2019-11-06,136.94000244140625
2020-01-24,137.99000549316406
2020-01-27,137.63999938964844
2020-04-15,139.47000122070312
2018-12-26,139.5
2019-08-07,138.7899932861328
2019-06-04,139.8699951171875
2018-09-21,140.3699951171875
2018-07-19,141.13999938964844
2018-08-20,139.8800048828125
2018-10-23,140.35000610351562
2019-05-03,143.2100067138672
2019-04-01,143.38999938964844
2019-02-28,140.5
2019-11-12,140.55999755859375
2020-01-30,140.5
2019-11-15,140.67999267578125
2020-04-21,138.47999572753906
2019-04-16,139.32000732421875
2019-03-15,140.77999877929688
2019-02-11,142.1300048828125
2019-01-10,141.97000122070312
2019-08-22,141.3000030517578
2018-11-07,143.19000244140625
2018-08-03,143.86000061035156
2018-09-04,142.16000366210938
2019-06-19,142.2100067138672
2019-09-23,142.02000427246094
2019-11-18,139.6699981689453
2020-02-05,140.52000427246094
2020-04-24,140.0
2019-03-29,140.22999572753906
2019-11-21,141.83999633789062
2020-04-27,144.35000610351562
2020-02-11,144.74000549316406
2020-04-30,146.47000122070312
2019-05-01,146.8699951171875
2019-02-26,145.5500030517578
2019-01-25,145.97000122070312
2018-12-24,145.33999633789062
2019-09-06,145.8300018310547
2018-07-17,145.02999877929688
2018-09-19,144.50999450683594
2019-08-05,145.38999938964844
2019-10-08,146.00999450683594
2019-12-11,145.07000732421875
2019-11-27,145.41000366210938
2020-02-14,144.3300018310547
2020-05-06,142.64999389648438
2019-01-08,144.6199951171875
2018-12-07,146.4600067138672
2019-08-20,147.6300048828125
2018-11-05,148.58999633789062
2019-07-19,150.6699981689453
2018-10-04,148.8699951171875
2019-06-17,148.8699951171875
2019-05-16,149.6199951171875
2018-08-01,150.00999450683594
2019-03-13,151.19000244140625
2019-12-03,151.8300018310547
2020-02-20,152.25
2019-12-06,151.77000427246094
2020-05-12,151.49000549316406
2019-12-09,152.9600067138672
2020-02-26,151.42999267578125
2020-05-15,150.50999450683594
2019-03-28,150.80999755859375
2018-09-17,150.77000427246094
2018-08-16,150.22000122070312
2018-10-19,152.50999450683594
2019-04-29,152.57000732421875
2019-01-23,152.0399932861328
2019-09-04,151.72000122070312
2018-11-20,152.9199981689453
2019-07-02,153.22999572753906
2019-05-31,149.41000366210938
2019-12-12,152.33999633789062
2020-05-18,153.89999389648438
2019-09-27,156.1699981689453
2020-03-03,156.4600067138672
2020-05-21,155.4600067138672
2019-05-14,155.9199981689453
2018-08-31,153.08999633789062
2018-07-30,155.1699981689453
2018-10-02,156.8800048828125
2019-04-12,158.2899932861328
2019-03-11,158.2100067138672
2019-02-07,158.67999267578125
2019-07-17,158.0500030517578
2019-09-19,154.61000061035156
2019-10-21,157.36000061035156
2019-12-18,158.91000366210938
2020-03-06,159.77999877929688
2019-10-03,160.77999877929688
2020-03-09,161.5399932861328
2020-05-27,161.74000549316406
2019-12-24,162.83999633789062
2020-03-12,163.5399932861328
2018-12-20,164.5800018310547
2019-08-01,160.1999969482422
2018-08-14,155.1199951171875
2018-07-13,155.11000061035156
2018-10-17,157.42999267578125
2019-05-29,155.75999450683594
2019-03-26,156.52000427246094
2019-02-22,158.64999389648438
2019-10-04,159.3300018310547
2019-11-05,158.6999969482422
2019-12-27,158.4199981689453
2020-06-02,157.32000732421875
2019-12-30,157.47000122070312
2020-03-18,157.8000030517578
2020-06-05,159.2899932861328
2019-07-15,155.58999633789062
2018-12-03,158.13999938964844
2019-06-13,156.4499969482422
2019-01-04,153.3300018310547
2018-08-29,154.3000030517578
2019-02-05,157.5399932861328
2018-11-01,157.1699981689453
2019-08-16,154.89999389648438
2019-04-10,157.08999633789062
2019-09-17,157.86000061035156
2019-10-15,157.11000061035156
2020-01-02,155.3800048828125
2020-06-08,156.0800018310547
2019-10-18,155.58999633789062
2020-03-24,155.22000122070312
2020-06-11,154.4199981689453
2020-01-08,153.47000122070312
2019-04-25,151.02000427246094
2019-07-30,148.6300048828125
2019-02-20,149.75
2018-07-11,148.9199981689453
2018-09-13,148.5500030517578
2018-10-15,150.1199951171875
2019-06-28,147.9199981689453
2018-12-18,144.6999969482422
2018-11-16,145.36000061035156
2019-10-02,140.3000030517578
2020-03-27,138.77999877929688
2020-01-10,140.77999877929688
2019-10-24,139.8000030517578
2020-03-30,136.75
2020-06-17,137.3800048828125
2020-01-14,138.08999633789062
2020-04-02,139.77999877929688
2019-01-02,141.02999877929688
2019-08-14,141.17999267578125
2018-10-30,142.10000610351562
2019-06-11,143.97999572753906
2019-05-10,144.33999633789062
2019-04-08,144.4499969482422
2018-08-27,145.97999572753906
2018-07-26,145.41000366210938
2018-09-28,147.77999877929688
2019-03-07,148.50999450683594
2019-10-30,147.47999572753906
2020-01-17,146.11000061035156
2020-06-23,144.97000122070312
2020-04-08,145.41000366210938
2020-06-26,146.02000427246094
2019-03-22,146.82000732421875
2019-01-17,147.47000122070312
2019-08-29,147.27999877929688
2018-11-14,146.80999755859375
2019-06-26,147.41000366210938
2018-09-11,149.19000244140625
2018-07-09,149.69000244140625
2018-08-10,150.80999755859375
2019-04-23,148.83999633789062
2019-09-30,148.19000244140625
2020-01-23,149.67999267578125
2019-11-08,149.5500030517578
2020-04-14,149.1699981689453
2019-11-11,148.8300018310547
2020-01-29,148.5800018310547
2020-04-17,147.5500030517578
2018-07-24,149.33999633789062
2018-09-26,151.1199951171875
2019-05-08,152.58999633789062
2019-03-05,152.94000244140625
2019-02-01,154.22000122070312
2018-12-31,155.63999938964844
2018-11-29,157.13999938964844
2019-08-12,157.32000732421875
2019-07-11,158.02000427246094
2019-09-13,156.8800048828125
