Dates,AVB
2019-03-13,211.39999389648438
2019-12-03,210.47999572753906
2020-02-20,211.2899932861328
2019-12-06,211.00999450683594
2020-05-12,210.97000122070312
2019-12-09,210.19000244140625
2020-02-26,206.8300018310547
2020-05-15,205.14999389648438
2019-03-28,206.83999633789062
2018-09-17,206.85000610351562
2018-08-16,206.85000610351562
2018-10-19,208.3800048828125
2019-04-29,210.44000244140625
2019-01-23,210.86000061035156
2019-09-04,208.7899932861328
2018-11-20,203.13999938964844
2019-07-02,205.75999450683594
2019-05-31,200.6199951171875
2019-12-12,203.08999633789062
2020-05-18,204.27000427246094
2019-09-27,206.52000427246094
2020-03-03,206.00999450683594
2020-05-21,205.55999755859375
2019-05-14,204.1999969482422
2018-08-31,201.58999633789062
2018-07-30,204.4199981689453
2018-10-02,205.83999633789062
2019-04-12,207.7100067138672
2019-03-11,206.5399932861328
2019-02-07,207.9499969482422
2019-07-17,208.8800048828125
2019-09-19,206.16000366210938
2019-10-21,208.7100067138672
2019-12-18,208.0800018310547
2020-03-06,209.4499969482422
2019-10-03,211.97000122070312
2020-03-09,212.55999755859375
2020-05-27,214.08999633789062
2019-12-24,216.16000366210938
2020-03-12,214.7100067138672
2018-12-20,215.75
2019-08-01,213.8800048828125
2018-08-14,210.25
2018-07-13,209.72000122070312
2018-10-17,209.52999877929688
2019-05-29,207.11000061035156
2019-03-26,209.89999389648438
2019-02-22,211.50999450683594
2019-10-04,211.30999755859375
2019-11-05,210.75999450683594
2019-12-27,209.05999755859375
2020-06-02,210.44000244140625
2019-12-30,211.3699951171875
2020-03-18,212.74000549316406
2020-06-05,215.5800018310547
2019-07-15,214.27000427246094
2018-12-03,215.3300018310547
2019-06-13,214.0
2019-01-04,215.0
2018-08-29,217.97000122070312
2019-02-05,219.0
2018-11-01,219.1999969482422
2019-08-16,217.72999572753906
2019-04-10,218.75
2019-09-17,218.67999267578125
2019-10-15,218.0800018310547
2020-01-02,218.0800018310547
2020-06-08,217.3699951171875
2019-10-18,219.2100067138672
2020-03-24,219.0800018310547
2020-06-11,220.1699981689453
2020-01-08,222.0399932861328
2019-04-25,221.8300018310547
2019-07-30,221.52999877929688
2019-02-20,220.24000549316406
2018-07-11,219.41000366210938
2018-09-13,216.99000549316406
2018-10-15,215.30999755859375
2019-06-28,218.97999572753906
2018-12-18,217.66000366210938
2018-11-16,217.24000549316406
2019-10-02,214.24000549316406
2020-03-27,210.66000366210938
2020-01-10,212.2899932861328
2019-10-24,209.13999938964844
2020-03-30,209.85000610351562
2020-06-17,210.47999572753906
2020-01-14,208.99000549316406
2020-04-02,211.58999633789062
2019-01-02,212.6199951171875
2019-08-14,214.52999877929688
2018-10-30,215.27000427246094
2019-06-11,217.05999755859375
2019-05-10,216.36000061035156
2019-04-08,212.69000244140625
2018-08-27,211.27999877929688
2018-07-26,212.14999389648438
2018-09-28,215.61000061035156
2019-03-07,215.57000732421875
2019-10-30,214.41000366210938
2020-01-17,211.1999969482422
2020-06-23,213.5
2020-04-08,215.32000732421875
2020-06-26,215.91000366210938
2019-03-22,215.94000244140625
2019-01-17,215.91000366210938
2019-08-29,215.27999877929688
2018-11-14,212.07000732421875
2019-06-26,209.16000366210938
2018-09-11,208.63999938964844
2018-07-09,209.3699951171875
2018-08-10,206.63999938964844
2019-04-23,207.47000122070312
2019-09-30,207.74000549316406
2020-01-23,208.00999450683594
