Dates,LOW
2020-03-25,104.97894287109375
2020-06-12,102.51101684570312
2019-10-22,101.40875244140625
2020-01-09,100.65764617919922
2020-06-15,100.48207092285156
2019-10-25,99.82849884033203
2020-03-31,98.23851013183594
2020-06-18,96.89237976074219
2019-04-03,97.93612670898438
2018-08-22,98.38483428955078
2018-10-25,98.68722534179688
2019-01-29,98.3360595703125
2018-12-28,97.6824951171875
2018-11-26,99.37979888916016
2019-08-09,100.91127014160156
2019-07-08,101.04783630371094
2019-06-06,103.74009704589844
2019-09-10,102.37446594238281
2020-01-15,103.4279556274414
2020-04-03,103.35968017578125
2019-10-31,104.75458526611328
2020-04-06,105.71053314208984
2020-06-24,106.78353881835938
2018-11-09,106.25678253173828
2019-07-23,107.21273803710938
2019-06-21,109.18317413330078
2019-05-20,110.53905487060547
2019-04-18,112.15831756591797
2018-09-06,112.94844818115234
2018-10-08,110.36347961425781
2019-02-13,110.96826171875
2018-12-11,112.30464935302734
2019-09-25,113.40691375732422
2020-01-21,114.30432891845703
2020-04-09,114.15802001953125
2019-11-06,114.24580383300781
2020-01-24,110.94874572753906
2020-01-27,110.64635467529297
2020-04-15,111.22432708740234
2018-12-26,111.64555358886719
2019-08-07,111.2831039428711
2019-06-04,110.18594360351562
2018-09-21,109.93124389648438
2018-07-19,110.83248138427734
2018-08-20,108.4422378540039
2018-10-23,109.82349395751953
2019-05-03,110.06838989257812
2019-04-01,109.07898712158203
2019-02-28,104.93526458740234
2019-11-12,104.55322265625
2020-01-30,104.12220001220703
2019-11-15,104.46505737304688
2020-04-21,102.52543640136719
2019-04-16,103.59320831298828
2019-03-15,105.4250717163086
2019-02-11,106.37527465820312
2019-01-10,106.79651641845703
2019-08-22,106.97283935546875
2018-11-07,108.83409118652344
2018-08-03,95.94249725341797
2018-09-04,92.86653900146484
2019-06-19,93.4249038696289
2019-09-23,89.99628448486328
2019-11-18,91.32855987548828
2020-02-05,91.96529388427734
2020-04-24,91.37753295898438
2019-03-29,91.92610931396484
2019-11-21,94.85513305664062
2020-04-27,94.2869644165039
2020-02-11,94.27716064453125
2020-04-30,94.78656768798828
2019-05-01,94.3457260131836
2019-02-26,94.38492584228516
2019-01-25,94.3653335571289
2018-12-24,96.6086196899414
2019-09-06,97.5980224609375
2018-07-17,98.03884887695312
2018-09-19,97.28453826904297
2019-08-05,96.71638488769531
2019-10-08,99.3711166381836
2019-12-11,98.78334045410156
2019-11-27,97.00045776367188
2020-02-14,96.21678161621094
2020-05-06,97.21597290039062
2019-01-08,97.33353424072266
2018-12-07,98.85192108154297
2019-08-20,100.11559295654297
2018-11-05,100.59561157226562
2019-07-19,101.04623413085938
2018-10-04,102.09441375732422
2019-06-17,102.52543640136719
2019-05-16,102.72135925292969
2018-08-01,100.9776611328125
2019-03-13,102.73115539550781
2019-12-03,105.20954895019531
2020-02-20,105.76793670654297
2019-12-06,104.32791137695312
2020-05-12,102.78992462158203
2019-12-09,101.63399505615234
2020-02-26,100.40949249267578
2020-05-15,100.45846557617188
2019-03-28,101.04939270019531
2018-09-17,101.24638366699219
2018-08-16,100.5077133178711
2018-10-19,101.96533966064453
2019-04-29,102.38884735107422
2019-01-23,102.20172119140625
2019-09-04,99.86753845214844
2018-11-20,97.98640441894531
2019-07-02,97.73033142089844
2019-05-31,95.57343292236328
2019-12-12,96.44012451171875
2020-05-18,96.89317321777344
2019-09-27,98.95159149169922
2020-03-03,97.06060791015625
2020-05-21,94.62793731689453
2019-05-14,95.12037658691406
2018-08-31,92.17556762695312
2018-07-30,91.96874237060547
2018-10-02,92.50057983398438
2019-04-12,93.6135025024414
2019-03-11,96.3908920288086
2019-02-07,106.36779022216797
2019-07-17,106.52537536621094
2019-09-19,104.78211975097656
2019-10-21,104.79197692871094
2019-12-18,104.43740844726562
2020-03-06,106.54507446289062
2019-10-03,110.88841247558594
2020-03-09,110.50431060791016
2020-05-27,109.49972534179688
2019-12-24,110.22854614257812
2020-03-12,112.48393249511719
2018-12-20,112.97637939453125
2019-08-01,113.05517578125
2018-08-14,113.53776550292969
2018-07-13,111.77481842041016
2018-10-17,112.15892028808594
2019-05-29,111.64678192138672
2019-03-26,110.92781066894531
2019-02-22,111.02630615234375
2019-10-04,110.89826965332031
2019-11-05,110.1792984008789
2019-12-27,109.28305053710938
2020-06-02,108.77091979980469
2019-12-30,108.35725402832031
2020-03-18,109.07622528076172
2020-06-05,109.04668426513672
2019-07-15,107.88451385498047
2018-12-03,108.29817199707031
2019-06-13,107.86481475830078
2019-01-04,104.74271392822266
2018-08-29,104.7624282836914
2019-02-05,105.79655456542969
2018-11-01,106.59431457519531
2019-08-16,104.89046478271484
2019-04-10,104.6934814453125
2019-09-17,106.55492401123047
2019-10-15,109.13532257080078
2020-01-02,108.9974365234375
2020-06-08,110.72099304199219
2019-10-18,110.63235473632812
2020-03-24,110.89826965332031
2020-06-11,111.13463592529297
2020-01-08,110.25808715820312
2019-04-25,111.31713104248047
2019-07-30,110.3669662475586
2019-02-20,109.73352813720703
2018-07-11,110.43624877929688
2018-09-13,110.49563598632812
2018-10-15,108.40726470947266
2019-06-28,110.13932037353516
2018-12-18,110.46593475341797
2018-11-16,111.79220581054688
2019-10-02,111.46559143066406
2020-03-27,111.04988861083984
2020-01-10,111.51507568359375
2019-10-24,111.44579315185547
2020-03-30,112.8314437866211
2020-06-17,113.27682495117188
2020-01-14,113.14816284179688
2020-04-02,111.69322967529297
