Dates,MLM
2019-03-21,173.32000732421875
2019-01-16,174.52999877929688
2019-08-28,177.11000061035156
2018-11-13,181.10000610351562
2018-10-12,181.30999755859375
2019-06-25,180.67999267578125
2020-03-10,180.85000610351562
2020-05-28,179.89999389648438
2019-10-07,181.91000366210938
2020-03-13,179.7899932861328
2019-10-10,176.32000732421875
2020-03-16,178.57000732421875
2020-06-03,183.44000244140625
2018-11-28,181.64999389648438
2018-09-25,179.49000549316406
2018-07-23,179.57000732421875
2018-08-24,178.82000732421875
2019-07-10,179.83999633789062
2019-05-07,181.8699951171875
2019-04-05,182.49000549316406
2019-03-04,180.27999877929688
2019-01-31,185.0500030517578
2019-09-12,186.67999267578125
2019-12-31,188.05999755859375
2020-03-19,189.3000030517578
2020-01-03,184.39999389648438
2020-06-09,184.47999572753906
2019-02-15,187.0800018310547
2019-01-14,189.8300018310547
2018-07-06,186.13999938964844
2018-08-07,188.11000061035156
2018-10-10,193.17999267578125
2018-12-13,192.66000366210938
2019-08-26,193.77999877929688
2019-07-25,193.17999267578125
2019-05-22,191.9199981689453
2019-03-19,192.17999267578125
2020-01-06,192.5
2020-03-25,192.94000244140625
2020-06-12,189.75
2019-10-22,194.14999389648438
2020-01-09,195.42999267578125
2020-06-15,196.77999877929688
2019-10-25,197.25999450683594
2020-03-31,197.89999389648438
2020-06-18,197.85000610351562
2019-04-03,200.27000427246094
2018-08-22,199.27999877929688
2018-10-25,196.83999633789062
2019-01-29,192.35000610351562
2018-12-28,193.8300018310547
2018-11-26,195.2100067138672
2019-08-09,199.5399932861328
2019-07-08,198.02000427246094
2019-06-06,200.02000427246094
2019-09-10,199.30999755859375
2020-01-15,196.94000244140625
2020-04-03,198.30999755859375
2019-10-31,199.00999450683594
2020-04-06,198.89999389648438
2020-06-24,203.80999755859375
2018-11-09,205.05999755859375
2019-07-23,207.7100067138672
2019-06-21,206.69000244140625
2019-05-20,206.69000244140625
2019-04-18,206.8000030517578
2018-09-06,206.8300018310547
2018-10-08,206.3800048828125
2019-02-13,205.1199951171875
2018-12-11,207.89999389648438
2019-09-25,214.3800048828125
2020-01-21,213.0500030517578
2020-04-09,212.1300048828125
2019-11-06,212.60000610351562
2020-01-24,213.1699981689453
2020-01-27,212.47000122070312
2020-04-15,213.74000549316406
2018-12-26,215.9499969482422
2019-08-07,214.42999267578125
2019-06-04,214.89999389648438
2018-09-21,215.60000610351562
2018-07-19,227.17999267578125
2018-08-20,227.30999755859375
2018-10-23,224.33999633789062
2019-05-03,225.00999450683594
2019-04-01,222.5800018310547
2019-02-28,220.55999755859375
2019-11-12,220.77999877929688
2020-01-30,217.5
2019-11-15,218.6699981689453
2020-04-21,214.47000122070312
2019-04-16,216.8699951171875
2019-03-15,217.67999267578125
2019-02-11,220.63999938964844
2019-01-10,220.22000122070312
2019-08-22,219.55999755859375
2018-11-07,222.6999969482422
2018-08-03,220.1699981689453
2018-09-04,214.0500030517578
2019-06-19,214.30999755859375
2019-09-23,214.55999755859375
2019-11-18,210.61000061035156
2020-02-05,213.47000122070312
2020-04-24,211.3699951171875
2019-03-29,216.5399932861328
2019-11-21,223.75
2020-04-27,225.9499969482422
2020-02-11,229.94000244140625
2020-04-30,231.6999969482422
2019-05-01,232.44000244140625
2019-02-26,231.3300018310547
2019-01-25,221.52000427246094
2018-12-24,225.8000030517578
2019-09-06,224.39999389648438
2018-07-17,226.3000030517578
2018-09-19,227.66000366210938
2019-08-05,222.72000122070312
2019-10-08,226.69000244140625
2019-12-11,227.3000030517578
2019-11-27,225.7899932861328
2020-02-14,225.7100067138672
2020-05-06,225.63999938964844
2019-01-08,227.6199951171875
2018-12-07,230.8300018310547
2019-08-20,232.80999755859375
2018-11-05,229.0800018310547
2019-07-19,231.27000427246094
2018-10-04,231.0500030517578
2019-06-17,229.8699951171875
2019-05-16,229.74000549316406
2018-08-01,230.63999938964844
2019-03-13,226.02000427246094
2019-12-03,227.60000610351562
2020-02-20,227.33999633789062
2019-12-06,231.25
2020-05-12,231.3800048828125
2019-12-09,228.8000030517578
2020-02-26,228.5800018310547
2020-05-15,225.83999633789062
2019-03-28,225.00999450683594
2018-09-17,227.32000732421875
2018-08-16,227.8699951171875
2018-10-19,226.0800018310547
2019-04-29,225.07000732421875
2019-01-23,246.47999572753906
2019-09-04,252.0800018310547
2018-11-20,248.9499969482422
2019-07-02,249.9199981689453
2019-05-31,248.67999267578125
2019-12-12,247.33999633789062
2020-05-18,246.86000061035156
2019-09-27,251.27000427246094
2020-03-03,252.91000366210938
2020-05-21,250.74000549316406
2019-05-14,252.8800048828125
2018-08-31,251.4600067138672
2018-07-30,251.75
2018-10-02,255.6699981689453
2019-04-12,257.57000732421875
2019-03-11,256.30999755859375
2019-02-07,256.4800109863281
2019-07-17,255.86000061035156
2019-09-19,258.3699951171875
2019-10-21,253.61000061035156
2019-12-18,254.24000549316406
2020-03-06,254.4499969482422
2019-10-03,256.3900146484375
2020-03-09,254.52999877929688
2020-05-27,261.510009765625
2019-12-24,264.3900146484375
2020-03-12,263.05999755859375
2018-12-20,259.4800109863281
2019-08-01,257.54998779296875
2018-08-14,257.239990234375
2018-07-13,258.4599914550781
2018-10-17,264.6600036621094
2019-05-29,264.3500061035156
2019-03-26,263.32000732421875
2019-02-22,269.260009765625
2019-10-04,268.3399963378906
2019-11-05,271.5
2019-12-27,269.69000244140625
2020-06-02,269.9800109863281
2019-12-30,270.3699951171875
2020-03-18,270.8599853515625
2020-06-05,274.7799987792969
2019-07-15,274.69000244140625
2018-12-03,275.989990234375
2019-06-13,275.9100036621094
2019-01-04,266.32000732421875
2018-08-29,261.5299987792969
2019-02-05,264.0
2018-11-01,264.1000061035156
2019-08-16,267.25
2019-04-10,267.69000244140625
2019-09-17,269.8699951171875
2019-10-15,270.30999755859375
2020-01-02,267.2300109863281
2020-06-08,270.1099853515625
2019-10-18,267.80999755859375
2020-03-24,270.8299865722656
2020-06-11,266.5799865722656
2020-01-08,271.30999755859375
2019-04-25,272.3900146484375
2019-07-30,269.8399963378906
2019-02-20,266.2200012207031
2018-07-11,272.0899963378906
2018-09-13,271.0
2018-10-15,275.44000244140625
2019-06-28,268.6499938964844
2018-12-18,269.95001220703125
2018-11-16,267.3500061035156
2019-10-02,266.5899963378906
2020-03-27,263.6300048828125
2020-01-10,257.17999267578125
2019-10-24,258.0899963378906
2020-03-30,258.9800109863281
2020-06-17,257.260009765625
2020-01-14,258.32000732421875
2020-04-02,257.94000244140625
2019-01-02,262.3800048828125
2019-08-14,263.70001220703125
2018-10-30,263.4200134277344
2019-06-11,262.010009765625
2019-05-10,266.239990234375
2019-04-08,264.25
