Dates,AJG
2019-06-21,76.57228088378906
2019-05-20,76.86540222167969
2019-04-18,76.5038833618164
2018-09-06,76.17168426513672
2018-10-08,76.19123077392578
2019-02-13,76.79700469970703
2018-12-11,77.84244537353516
2019-09-25,78.67295837402344
2020-01-21,78.76090240478516
2020-04-09,79.04424285888672
2019-11-06,78.41893005371094
2020-01-24,78.57525634765625
2020-01-27,78.34075927734375
2020-04-15,79.7086410522461
2018-12-26,80.17762756347656
2019-08-07,80.8908920288086
2019-06-04,81.24263763427734
2018-09-21,81.04721069335938
2018-07-19,81.70185852050781
2018-08-20,80.43167114257812
2018-10-23,80.98859405517578
2019-05-03,81.22309875488281
2019-04-01,81.64322662353516
2019-02-28,80.373046875
2019-11-12,80.79318237304688
2020-01-30,80.3339614868164
2019-11-15,81.5552978515625
2020-04-21,80.07015228271484
2019-04-16,80.58800506591797
2019-03-15,80.8127212524414
2019-02-11,81.86795043945312
2019-01-10,81.43804931640625
2019-08-22,81.37942504882812
2018-11-07,81.92656707763672
2018-08-03,82.84500885009766
2018-09-04,82.21968841552734
2019-06-19,82.34671020507812
2019-09-23,81.98519897460938
2019-11-18,82.11222076416016
2020-02-05,82.54212188720703
2020-04-24,82.26854705810547
2019-03-29,83.61688995361328
2019-11-21,83.90023803710938
2020-04-27,85.74689483642578
2020-02-11,85.72724914550781
2020-04-30,86.19854736328125
2019-05-01,86.22799682617188
2019-02-26,85.86470794677734
2019-01-25,86.11998748779297
2018-12-24,85.54068756103516
2019-09-06,86.11016845703125
2018-07-17,84.72573852539062
2018-09-19,84.48027801513672
2019-08-05,85.21666717529297
2019-10-08,85.91380310058594
2019-12-11,84.97120666503906
2019-11-27,85.40323638916016
2020-02-14,84.63736724853516
2020-05-06,83.09583282470703
2019-01-08,84.382080078125
2018-12-07,86.00216674804688
2019-08-20,87.81863403320312
2018-11-05,88.6925048828125
2019-07-19,89.74311065673828
2018-10-04,88.9477767944336
2019-06-17,88.73177337646484
2019-05-16,89.11470794677734
2018-08-01,89.212890625
2019-03-13,89.72346496582031
2019-12-03,90.1653060913086
2020-02-20,90.5482406616211
2019-12-06,90.51879119873047
2020-05-12,90.28313446044922
2019-12-09,90.38131713867188
2020-02-26,90.14566802978516
2020-05-15,89.5958251953125
2019-03-28,90.28313446044922
2018-09-17,90.69552612304688
2018-08-16,90.18494415283203
2018-10-19,90.65625
2019-04-29,90.33222961425781
2019-01-23,90.14566802978516
2019-09-04,88.79068756103516
2018-11-20,88.33902740478516
2019-07-02,88.44702911376953
2019-05-31,84.8828353881836
2019-12-12,86.95458221435547
2020-05-18,86.728759765625
2019-09-27,88.56485748291016
2020-03-03,88.78086853027344
2020-05-21,87.12151336669922
2019-05-14,88.38811492919922
2018-08-31,86.32618713378906
2018-07-30,86.89568328857422
2018-10-02,88.09355163574219
2019-04-12,88.89869689941406
2019-03-11,87.93645477294922
2019-02-07,88.82013702392578
2019-07-17,89.22271728515625
2019-09-19,86.41455841064453
2019-10-21,86.78767395019531
2019-12-18,86.44400787353516
2020-03-06,86.30655670166016
2019-10-03,87.17060089111328
2020-03-09,89.06560516357422
2020-05-27,88.03466033935547
2019-12-24,88.38811492919922
2020-03-12,88.5262451171875
2018-12-20,89.2859115600586
2019-08-01,88.66436767578125
2018-08-14,86.89837646484375
2018-07-13,86.77011108398438
2018-10-17,86.63199615478516
2019-05-29,85.81314086914062
2019-03-26,86.3853530883789
2019-02-22,88.43745422363281
2019-10-04,88.67422485351562
2019-11-05,88.26972961425781
2019-12-27,87.60872650146484
2020-06-02,87.2042236328125
2019-12-30,87.64817810058594
2020-03-18,87.74684143066406
2020-06-05,88.59530639648438
2019-07-15,87.61859130859375
2018-12-03,88.36839294433594
2019-06-13,86.76026153564453
2019-01-04,85.17185974121094
2018-08-29,85.94139099121094
2019-02-05,87.82576751708984
2018-11-01,87.37193298339844
2019-08-16,85.5960922241211
2019-04-10,86.14857482910156
2019-09-17,86.29656219482422
2019-10-15,86.79972076416016
2020-01-02,87.00690460205078
2020-06-08,87.33248138427734
2019-10-18,87.61859130859375
2020-03-24,88.03295135498047
2020-06-11,88.34866333007812
2020-01-08,89.11819458007812
2019-04-25,88.47691345214844
2019-07-30,88.94060516357422
2019-02-20,89.98638916015625
2018-07-11,88.24999237060547
