Dates,ZTS
2019-04-05,85.83000183105469
2019-03-04,86.30000305175781
2019-01-31,87.37999725341797
2019-09-12,87.37999725341797
2019-12-31,88.05000305175781
2020-03-19,87.63999938964844
2020-01-03,87.26000213623047
2020-06-09,86.83000183105469
2019-02-15,87.19999694824219
2019-01-14,87.58999633789062
2018-07-06,88.87000274658203
2018-08-07,93.56999969482422
2018-10-10,95.55000305175781
2018-12-13,95.29000091552734
2019-08-26,95.06999969482422
2019-07-25,94.2699966430664
2019-05-22,94.66000366210938
2019-03-19,95.18000030517578
2020-01-06,94.5
2020-03-25,94.16000366210938
2020-06-12,94.66999816894531
2019-10-22,96.1500015258789
2020-01-09,97.94999694824219
2020-06-15,96.18000030517578
2019-10-25,95.9000015258789
2020-03-31,94.29000091552734
2020-06-18,92.44999694824219
2019-04-03,94.7699966430664
2018-08-22,95.95999908447266
2018-10-25,97.43000030517578
2019-01-29,96.8499984741211
2018-12-28,97.2300033569336
2018-11-26,97.88999938964844
2019-08-09,99.1500015258789
2019-07-08,99.26000213623047
2019-06-06,99.91000366210938
2019-09-10,99.33000183105469
2020-01-15,98.55999755859375
2020-04-03,99.36000061035156
2019-10-31,99.30999755859375
2020-04-06,99.58000183105469
2020-06-24,100.94000244140625
2018-11-09,102.47000122070312
2019-07-23,102.37999725341797
2019-06-21,102.66999816894531
2019-05-20,102.4000015258789
2019-04-18,103.33000183105469
2018-09-06,102.5
2018-10-08,101.94999694824219
2019-02-13,101.9800033569336
2018-12-11,101.73999786376953
2019-09-25,101.93000030517578
2020-01-21,102.0
2020-04-09,102.33000183105469
2019-11-06,99.93000030517578
2020-01-24,99.25
2020-01-27,100.1500015258789
2020-04-15,102.1500015258789
2018-12-26,102.23999786376953
2019-08-07,102.01000213623047
2019-06-04,103.38999938964844
2018-09-21,103.16999816894531
2018-07-19,102.26000213623047
2018-08-20,102.80000305175781
2018-10-23,103.16999816894531
2019-05-03,103.97000122070312
2019-04-01,103.58000183105469
2019-02-28,102.91999816894531
2019-11-12,102.2699966430664
2020-01-30,102.56999969482422
2019-11-15,102.5
2020-04-21,101.83999633789062
2019-04-16,102.30999755859375
2019-03-15,102.43000030517578
2019-02-11,103.83999633789062
2019-01-10,102.54000091552734
2019-08-22,102.47000122070312
2018-11-07,103.30000305175781
2018-08-03,103.44000244140625
2018-09-04,103.05999755859375
2019-06-19,104.41000366210938
2019-09-23,103.56999969482422
2019-11-18,102.02999877929688
2020-02-05,102.3499984741211
2020-04-24,102.29000091552734
2019-03-29,104.87000274658203
2019-11-21,108.2300033569336
2020-04-27,109.36000061035156
2020-02-11,110.36000061035156
2020-04-30,110.9000015258789
2019-05-01,110.7300033569336
2019-02-26,111.66000366210938
2019-01-25,111.69999694824219
2018-12-24,112.25
2019-09-06,111.44999694824219
2018-07-17,111.25
2018-09-19,113.48999786376953
2019-08-05,114.44999694824219
2019-10-08,116.47000122070312
2019-12-11,113.91000366210938
2019-11-27,114.02999877929688
2020-02-14,115.41999816894531
2020-05-06,114.41000366210938
2019-01-08,113.77999877929688
2018-12-07,113.61000061035156
2019-08-20,114.41000366210938
2018-11-05,114.7699966430664
2019-07-19,115.41999816894531
2018-10-04,115.62999725341797
2019-06-17,114.36000061035156
2019-05-16,114.76000213623047
2018-08-01,115.62000274658203
2019-03-13,114.55999755859375
2019-12-03,114.95999908447266
2020-02-20,113.7699966430664
2019-12-06,115.04000091552734
2020-05-12,114.95999908447266
2019-12-09,115.19999694824219
2020-02-26,115.88999938964844
2020-05-15,116.69000244140625
2019-03-28,116.13999938964844
2018-09-17,115.94000244140625
2018-08-16,115.9800033569336
2018-10-19,115.1500015258789
2019-04-29,115.9800033569336
2019-01-23,115.83999633789062
2019-09-04,116.36000061035156
2018-11-20,117.02999877929688
2019-07-02,116.9800033569336
2019-05-31,115.5199966430664
2019-12-12,121.80999755859375
2020-05-18,121.4000015258789
2019-09-27,124.33999633789062
2020-03-03,125.87999725341797
2020-05-21,124.47000122070312
2019-05-14,125.4800033569336
2018-08-31,124.41999816894531
2018-07-30,124.11000061035156
2018-10-02,125.5999984741211
2019-04-12,127.37000274658203
2019-03-11,128.41000366210938
2019-02-07,128.1300048828125
2019-07-17,128.11000061035156
2019-09-19,127.48999786376953
2019-10-21,126.23999786376953
2019-12-18,127.47000122070312
2020-03-06,126.2699966430664
2019-10-03,126.95999908447266
