Dates,ZTS
2019-10-08,3083300.0
2019-12-11,3468800.0
2019-11-27,1875700.0
2020-02-14,1669200.0
2020-05-06,1743100.0
2019-01-08,1348800.0
2018-12-07,2414100.0
2019-08-20,1470700.0
2018-11-05,1568100.0
2019-07-19,1052000.0
2018-10-04,1762400.0
2019-06-17,1267300.0
2019-05-16,2722000.0
2018-08-01,1763700.0
2019-03-13,1588000.0
2019-12-03,1473400.0
2020-02-20,1255200.0
2019-12-06,1214600.0
2020-05-12,1930300.0
2019-12-09,1177700.0
2020-02-26,1839000.0
2020-05-15,3063400.0
2019-03-28,1209600.0
2018-09-17,1581200.0
2018-08-16,1174500.0
2018-10-19,1574100.0
2019-04-29,1541500.0
2019-01-23,1380800.0
2019-09-04,2099800.0
2018-11-20,2101200.0
2019-07-02,2227000.0
2019-05-31,3488100.0
2019-12-12,4042200.0
2020-05-18,2659000.0
2019-09-27,2295000.0
2020-03-03,1658000.0
2020-05-21,1470300.0
2019-05-14,1784700.0
2018-08-31,1875200.0
2018-07-30,1650300.0
2018-10-02,1209700.0
2019-04-12,1137000.0
2019-03-11,1657100.0
2019-02-07,1875000.0
2019-07-17,2397900.0
2019-09-19,2321400.0
2019-10-21,1267400.0
2019-12-18,2394900.0
2020-03-06,1110400.0
2019-10-03,1498800.0
2020-03-09,1601200.0
2020-05-27,1887400.0
2019-12-24,1953900.0
2020-03-12,1721400.0
2018-12-20,1698200.0
2019-08-01,2601600.0
2018-08-14,3089400.0
2018-07-13,3365700.0
2018-10-17,2444800.0
2019-05-29,3116200.0
2019-03-26,2651000.0
2019-02-22,2182300.0
2019-10-04,1673800.0
2019-11-05,1424200.0
2019-12-27,2572300.0
2020-06-02,1574800.0
2019-12-30,1843800.0
2020-03-18,1196000.0
2020-06-05,1870800.0
2019-07-15,1664000.0
2018-12-03,1859200.0
2019-06-13,1542300.0
2019-01-04,1743300.0
2018-08-29,1590400.0
2019-02-05,1468400.0
2018-11-01,1007300.0
2019-08-16,1621200.0
2019-04-10,1464200.0
2019-09-17,1890600.0
2019-10-15,2310900.0
2020-01-02,1810100.0
2020-06-08,2006500.0
2019-10-18,1633200.0
2020-03-24,1494700.0
2020-06-11,2451400.0
2020-01-08,1639300.0
2019-04-25,2273800.0
2019-07-30,2831700.0
2019-02-20,2195800.0
2018-07-11,1561000.0
2018-09-13,1441800.0
2018-10-15,1683700.0
2019-06-28,2042100.0
2018-12-18,1905300.0
2018-11-16,2466200.0
2019-10-02,1918800.0
2020-03-27,4491900.0
2020-01-10,3509800.0
2019-10-24,3945400.0
2020-03-30,3818900.0
2020-06-17,2035200.0
2020-01-14,2131400.0
2020-04-02,2452600.0
2019-01-02,1958500.0
2019-08-14,3429200.0
2018-10-30,3023100.0
2019-06-11,2349500.0
2019-05-10,2142900.0
2019-04-08,1654500.0
2018-08-27,1627700.0
2018-07-26,1774400.0
2018-09-28,3688700.0
2019-03-07,1443300.0
2019-10-30,1064400.0
2020-01-17,2050400.0
2020-06-23,2115200.0
2020-04-08,2566500.0
2020-06-26,2771100.0
2019-03-22,2387200.0
2019-01-17,1570800.0
2019-08-29,2047000.0
2018-11-14,1803000.0
2019-06-26,2041800.0
2018-09-11,1130100.0
2018-07-09,1391100.0
2018-08-10,1994800.0
2019-04-23,2754200.0
2019-09-30,2055700.0
2020-01-23,5320300.0
2019-11-08,1632300.0
2020-04-14,442500.0
2019-11-11,929400.0
2020-01-29,1296100.0
2020-04-17,942000.0
2018-07-24,1128600.0
2018-09-26,1576700.0
2019-05-08,1274000.0
2019-03-05,2334100.0
2019-02-01,1224500.0
2018-12-31,1766700.0
2018-11-29,2075400.0
2019-08-12,1249000.0
2019-07-11,1797600.0
2019-09-13,1848800.0
2019-11-14,1859600.0
2020-04-20,1822800.0
2020-02-04,1993200.0
2020-04-23,4693300.0
2018-12-14,1888900.0
2019-08-27,2148500.0
2018-08-08,2047000.0
2018-10-11,1656400.0
2018-11-12,2176500.0
2019-07-26,1366500.0
2019-06-24,1735400.0
2019-05-23,2582300.0
2019-03-20,2377000.0
2019-01-15,1839800.0
2019-11-20,1507600.0
2020-02-07,2206800.0
2020-02-10,1780800.0
2020-04-29,2456000.0
2019-11-26,2274200.0
2020-02-13,1830700.0
2019-01-30,3384500.0
2018-08-23,1810500.0
2018-09-24,2461700.0
2018-11-27,1676600.0
2018-10-26,1182500.0
2019-07-09,1754800.0
2019-06-07,1642000.0
2019-05-06,2236200.0
2019-04-04,2562100.0
2019-09-11,3075200.0
2019-11-29,4779300.0
2020-05-05,2881600.0
2019-12-02,2768200.0
2020-02-19,3283700.0
2020-05-08,2472600.0
2019-05-21,3204200.0
2019-03-18,2827400.0
2018-09-07,3265500.0
2018-08-06,3591500.0
2018-10-09,5344300.0
2019-02-14,4073300.0
2018-12-12,4364700.0
2019-07-24,5299600.0
2019-09-26,5218300.0
2019-10-28,4492600.0
2019-12-05,6662600.0
2020-05-11,5405800.0
2019-07-03,4732500.0
2020-02-25,4424800.0
2020-05-14,4159000.0
2020-02-28,2870100.0
2019-08-08,2031900.0
2019-06-05,3956000.0
2018-07-20,2521000.0
2018-08-21,2403700.0
2018-10-24,1701900.0
2019-04-02,3419900.0
2019-03-01,3075000.0
2019-01-28,2478400.0
2018-12-27,1962300.0
2019-09-09,3188900.0
2020-03-02,2508200.0
2020-05-20,2262900.0
2019-12-17,2064000.0
2020-03-05,1977600.0
2019-02-12,2418600.0
2019-01-11,2607800.0
2018-12-10,1943700.0
2019-08-23,3259300.0
2018-11-08,1945400.0
2019-07-22,2202200.0
2019-06-20,3098400.0
2018-09-05,2905300.0
2019-04-17,3075300.0
2019-09-24,1738300.0
2019-12-20,1833800.0
2020-05-26,2445800.0
2019-04-30,3393900.0
2019-12-23,3098000.0
2020-03-11,1617500.0
2020-05-29,1888300.0
2019-12-26,1889500.0
2020-06-01,1879000.0
2019-05-02,2246800.0
2019-02-27,2921700.0
2018-11-23,2762800.0
2019-08-06,3335300.0
2018-07-18,2303400.0
2018-09-20,1413100.0
2018-10-22,1602400.0
2019-07-05,2322300.0
2019-06-03,2287000.0
2019-10-09,2367800.0
2019-10-11,2814500.0
2020-03-17,1413000.0
2020-06-04,1649100.0
2019-10-14,1459500.0
2020-03-20,1524800.0
2018-11-06,1947800.0
2019-06-18,1747300.0
2019-05-17,1622500.0
2019-04-15,1731100.0
2019-03-14,2524000.0
2019-01-09,1638500.0
2018-08-02,2457900.0
2018-10-05,1919800.0
2019-08-21,1455000.0
2019-10-17,1031500.0
2020-03-23,2316300.0
2020-06-10,1107800.0
2019-02-25,994900.0
2020-01-07,1701600.0
2020-03-26,1141700.0
2019-10-23,2612800.0
