Dates,RTX
2020-04-14,300500.0
2019-11-11,697000.0
2020-01-29,904600.0
2020-04-17,774300.0
2018-07-24,1036400.0
2018-09-26,1334300.0
2019-05-08,943400.0
2019-03-05,1436600.0
2019-02-01,1027700.0
2018-12-31,1802600.0
2018-11-29,1435400.0
2019-08-12,1017300.0
2019-07-11,1031500.0
2019-09-13,1042000.0
2019-11-14,1741500.0
2020-04-20,2124000.0
2020-02-04,1599300.0
2020-04-23,1399800.0
2018-12-14,1134000.0
2019-08-27,978000.0
2018-08-08,904300.0
2018-10-11,802000.0
2018-11-12,861800.0
2019-07-26,893500.0
2019-06-24,1169500.0
2019-05-23,3373500.0
2019-03-20,1988000.0
2019-01-15,1485900.0
2019-11-20,1951600.0
2020-02-07,1320300.0
2020-02-10,1443100.0
2020-04-29,1273000.0
2019-11-26,2280000.0
2020-02-13,1805700.0
2019-01-30,1329200.0
2018-08-23,1354000.0
2018-09-24,1305400.0
2018-11-27,947700.0
2018-10-26,1524800.0
2019-07-09,1365100.0
2019-06-07,1659300.0
2019-05-06,1581100.0
2019-04-04,1578500.0
2019-09-11,1972400.0
2019-11-29,2491500.0
2020-05-05,2406400.0
2019-12-02,2092900.0
2020-02-19,1971800.0
2020-05-08,1518300.0
2019-05-21,1872600.0
2019-03-18,2034500.0
2018-09-07,2024200.0
2018-08-06,1733800.0
2018-10-09,3757900.0
2019-02-14,3813400.0
2018-12-12,2521300.0
2019-07-24,4447500.0
2019-09-26,3406400.0
2019-10-28,3118600.0
2019-12-05,2764700.0
2020-05-11,2802000.0
2019-07-03,2830400.0
2020-02-25,2066600.0
2020-05-14,1752500.0
2020-02-28,1712700.0
2019-08-08,2138900.0
2019-06-05,3300700.0
2018-07-20,1482300.0
2018-08-21,2503900.0
2018-10-24,1989800.0
2019-04-02,3046300.0
2019-03-01,3551100.0
2019-01-28,2737500.0
2018-12-27,2491400.0
2019-09-09,1831300.0
2020-03-02,2180500.0
2020-05-20,2686500.0
2019-12-17,2172800.0
2020-03-05,2166700.0
2019-02-12,1967800.0
2019-01-11,1602700.0
2018-12-10,1546000.0
2019-08-23,2770400.0
2018-11-08,1805800.0
2019-07-22,2181600.0
2019-06-20,2338300.0
2018-09-05,2401700.0
2019-04-17,2824200.0
2019-09-24,1940200.0
2019-12-20,2650300.0
2020-05-26,1934300.0
2019-04-30,1290200.0
2019-12-23,1622000.0
2020-03-11,1084100.0
2020-05-29,2068500.0
2019-12-26,1727500.0
2020-06-01,1644900.0
2019-05-02,3076100.0
2019-02-27,1740100.0
2018-11-23,1727000.0
2019-08-06,1267200.0
2018-07-18,1436500.0
2018-09-20,1315000.0
2018-10-22,1066500.0
2019-07-05,3487000.0
2019-06-03,3189300.0
2019-10-09,1922200.0
2019-10-11,5408900.0
2020-03-17,1819400.0
2020-06-04,1600700.0
2019-10-14,1782900.0
2020-03-20,1603900.0
2018-11-06,2753400.0
2019-06-18,2088500.0
2019-05-17,2687900.0
2019-04-15,1600200.0
2019-03-14,1831000.0
2019-01-09,1530100.0
2018-08-02,1385400.0
2018-10-05,1557200.0
2019-08-21,1645100.0
2019-10-17,1371900.0
2020-03-23,4085300.0
2020-06-10,1592100.0
2019-02-25,1571800.0
2020-01-07,1622100.0
2020-03-26,1188700.0
2019-10-23,1895300.0
