Dates,ALXN
2020-02-12,121.48999786376953
2020-05-01,127.69999694824219
2020-05-04,128.94000244140625
2019-06-12,126.55999755859375
2019-04-09,125.88999938964844
2019-03-08,123.91999816894531
2019-02-04,123.0
2018-07-27,110.98999786376953
2018-08-28,117.16000366210938
2019-01-03,116.2699966430664
2019-08-15,112.26000213623047
2018-10-31,114.19000244140625
2019-09-16,112.06999969482422
2020-02-18,119.69999694824219
2020-05-07,122.81999969482422
2018-08-17,123.20999908447266
2019-12-04,123.22000122070312
2020-02-21,127.18000030517578
2018-12-17,127.18000030517578
2019-08-30,123.44000244140625
2018-11-15,118.5999984741211
2019-07-29,118.5199966430664
2019-06-27,116.11000061035156
2019-04-24,119.68000030517578
2018-07-10,118.62000274658203
2018-09-12,115.05999755859375
2019-02-19,116.81999969482422
2019-01-18,118.11000061035156
2020-02-24,118.0999984741211
2020-05-13,119.0
2019-12-10,120.93000030517578
2020-02-27,122.83999633789062
2019-12-13,123.33999633789062
2020-05-19,123.1500015258789
2019-03-06,125.47000122070312
2018-11-30,122.30000305175781
2019-08-13,121.04000091552734
2019-07-12,115.5999984741211
2019-06-10,114.6500015258789
2019-05-09,114.83000183105469
2018-07-25,117.01000213623047
2018-09-27,112.43000030517578
2018-10-29,109.43000030517578
2019-10-16,109.52999877929688
2019-12-16,105.98999786376953
2020-03-04,102.77999877929688
2020-05-22,101.22000122070312
2019-10-01,94.62999725341797
2019-12-19,93.94000244140625
2018-09-10,97.87000274658203
2019-05-24,98.0999984741211
2018-08-09,97.20999908447266
2019-04-22,97.36000061035156
2019-03-21,98.05000305175781
2019-01-16,100.20999908447266
2019-08-28,106.0
2018-11-13,107.94000244140625
2018-10-12,108.61000061035156
2019-06-25,109.95999908447266
2020-03-10,110.93000030517578
2020-05-28,111.12999725341797
2019-10-07,107.58000183105469
2020-03-13,111.7300033569336
2019-10-10,111.69999694824219
2020-03-16,114.62000274658203
2020-06-03,117.05000305175781
2018-11-28,114.29000091552734
2018-09-25,117.0
2018-07-23,117.91000366210938
2018-08-24,121.44000244140625
2019-07-10,119.20999908447266
2019-05-07,119.61000061035156
2019-04-05,121.31999969482422
2019-03-04,122.95999908447266
2019-01-31,126.27999877929688
2019-09-12,123.75
2019-12-31,122.87000274658203
2020-03-19,121.02999877929688
2020-01-03,118.79000091552734
2020-06-09,120.13999938964844
2019-02-15,120.05000305175781
2019-01-14,124.26000213623047
2018-07-06,125.18000030517578
2018-08-07,125.93000030517578
2018-10-10,129.4199981689453
2018-12-13,128.92999267578125
2019-08-26,129.83999633789062
2019-07-25,127.55000305175781
2019-05-22,129.72999572753906
2019-03-19,133.1699981689453
2020-01-06,133.2899932861328
2020-03-25,136.00999450683594
2020-06-12,135.3300018310547
2019-10-22,137.75
2020-01-09,136.0800018310547
2020-06-15,134.77000427246094
2019-10-25,131.1199951171875
2020-03-31,128.1699981689453
2020-06-18,128.67999267578125
2019-04-03,132.0399932861328
2018-08-22,134.3000030517578
2018-10-25,135.7100067138672
2019-01-29,134.8800048828125
2018-12-28,136.08999633789062
2018-11-26,133.50999450683594
2019-08-09,132.94000244140625
2019-07-08,131.66000366210938
2019-06-06,134.2100067138672
2019-09-10,130.2100067138672
2020-01-15,132.2899932861328
2020-04-03,136.7899932861328
2019-10-31,134.60000610351562
2020-04-06,133.25999450683594
2020-06-24,135.17999267578125
2018-11-09,135.32000732421875
2019-07-23,138.9199981689453
2019-06-21,139.99000549316406
2019-05-20,139.92999267578125
2019-04-18,141.1999969482422
2018-09-06,139.75
2018-10-08,137.64999389648438
2019-02-13,141.3000030517578
2018-12-11,137.4199981689453
2019-09-25,136.1999969482422
2020-01-21,137.49000549316406
2020-04-09,136.94000244140625
2019-11-06,125.91000366210938
2020-01-24,126.01000213623047
2020-01-27,128.9600067138672
2020-04-15,132.3699951171875
2018-12-26,130.08999633789062
2019-08-07,135.67999267578125
2019-06-04,134.57000732421875
2018-09-21,135.2899932861328
