Dates,ZION
2018-12-18,49.06999969482422
2018-11-16,49.349998474121094
2019-10-02,50.380001068115234
2020-03-27,51.08000183105469
2020-01-10,50.58000183105469
2019-10-24,51.54999923706055
2020-03-30,51.34000015258789
2020-06-17,51.099998474121094
2020-01-14,51.060001373291016
2020-04-02,50.0
2019-01-02,49.540000915527344
2019-08-14,49.790000915527344
2018-10-30,49.56999969482422
2019-06-11,49.709999084472656
2019-05-10,49.220001220703125
2019-04-08,49.29999923706055
2018-08-27,50.16999816894531
2018-07-26,50.439998626708984
2018-09-28,50.0
2019-03-07,50.13999938964844
2019-10-30,50.11000061035156
2020-01-17,50.310001373291016
2020-06-23,49.0
2020-04-08,49.380001068115234
2020-06-26,49.56999969482422
2019-03-22,50.470001220703125
2019-01-17,49.84000015258789
2019-08-29,50.09000015258789
2018-11-14,50.25
2019-06-26,51.86000061035156
2018-09-11,52.0
2018-07-09,51.97999954223633
2018-08-10,51.689998626708984
2019-04-23,51.72999954223633
2019-09-30,51.599998474121094
2020-01-23,51.970001220703125
2019-11-08,51.7400016784668
2020-04-14,51.59000015258789
2019-11-11,51.709999084472656
2020-01-29,51.86000061035156
2020-04-17,52.08000183105469
2018-07-24,52.040000915527344
2018-09-26,52.47999954223633
2019-05-08,51.88999938964844
2019-03-05,51.68000030517578
2019-02-01,51.130001068115234
2018-12-31,51.4900016784668
2018-11-29,51.65999984741211
2019-08-12,51.54999923706055
2019-07-11,51.04999923706055
2019-09-13,51.63999938964844
2019-11-14,50.86000061035156
2020-04-20,51.2400016784668
2020-02-04,51.209999084472656
2020-04-23,50.58000183105469
2018-12-14,48.560001373291016
2019-08-27,47.9900016784668
2018-08-08,47.880001068115234
2018-10-11,46.689998626708984
2018-11-12,47.40999984741211
2019-07-26,47.43000030517578
2019-06-24,46.810001373291016
2019-05-23,46.34000015258789
2019-03-20,46.33000183105469
2019-01-15,47.29999923706055
2019-11-20,48.15999984741211
2020-02-07,48.40999984741211
2020-02-10,46.84000015258789
2020-04-29,46.029998779296875
2019-11-26,46.810001373291016
2020-02-13,46.54999923706055
2019-01-30,46.4900016784668
2018-08-23,46.5
2018-09-24,46.209999084472656
2018-11-27,45.86000061035156
2018-10-26,46.41999816894531
2019-07-09,46.040000915527344
2019-06-07,44.56999969482422
2019-05-06,44.529998779296875
2019-04-04,42.93000030517578
2019-09-11,42.22999954223633
2019-11-29,40.720001220703125
2020-05-05,41.310001373291016
2019-12-02,41.34000015258789
2020-02-19,39.29999923706055
2020-05-08,37.439998626708984
2019-05-21,36.189998626708984
2019-03-18,33.369998931884766
2018-09-07,32.66999816894531
2018-08-06,31.690000534057617
2018-10-09,29.8700008392334
2019-02-14,29.84000015258789
2018-12-12,28.690000534057617
2019-07-24,28.489999771118164
2019-09-26,28.31999969482422
2019-10-28,28.020000457763672
2019-12-05,27.65999984741211
2020-05-11,26.049999237060547
2019-07-03,25.760000228881836
2020-02-25,26.719999313354492
2020-05-14,27.510000228881836
2020-02-28,28.260000228881836
2019-08-08,27.780000686645508
2019-06-05,27.520000457763672
2018-07-20,26.290000915527344
2018-08-21,26.600000381469727
2018-10-24,26.010000228881836
2019-04-02,27.09000015258789
2019-03-01,29.280000686645508
2019-01-28,29.56999969482422
2018-12-27,31.09000015258789
2019-09-09,30.989999771118164
2020-03-02,30.93000030517578
2020-05-20,28.700000762939453
2019-12-17,27.920000076293945
2020-03-05,29.190000534057617
2019-02-12,29.899999618530273
2019-01-11,29.420000076293945
2018-12-10,29.5
2019-08-23,29.8700008392334
2018-11-08,29.739999771118164
2019-07-22,31.1200008392334
2019-06-20,31.81999969482422
2018-09-05,32.84000015258789
2019-04-17,32.029998779296875
2019-09-24,31.600000381469727
2019-12-20,30.860000610351562
2020-05-26,31.389999389648438
2019-04-30,30.600000381469727
2019-12-23,30.709999084472656
2020-03-11,30.84000015258789
2020-05-29,30.43000030517578
2019-12-26,29.440000534057617
2020-06-01,27.649999618530273
2019-05-02,27.690000534057617
2019-02-27,27.6200008392334
2018-11-23,30.3799991607666
2019-08-06,30.079999923706055
2018-07-18,31.489999771118164
2018-09-20,31.68000030517578
2018-10-22,31.100000381469727
2019-07-05,33.5
2019-06-03,35.189998626708984
2019-10-09,35.310001373291016
2019-10-11,33.900001525878906
2020-03-17,33.91999816894531
2020-06-04,34.34000015258789
2019-10-14,35.720001220703125
2020-03-20,37.22999954223633
2018-11-06,40.970001220703125
2019-06-18,40.70000076293945
2019-05-17,39.599998474121094
2019-04-15,38.970001220703125
2019-03-14,35.040000915527344
2019-01-09,35.34000015258789
2018-08-02,36.310001373291016
2018-10-05,37.939998626708984
2019-08-21,37.22999954223633
2019-10-17,36.65999984741211
2020-03-23,36.88999938964844
2020-06-10,36.290000915527344
2019-02-25,36.7400016784668
2020-01-07,35.0
2020-03-26,34.400001525878906
2019-10-23,33.61000061035156
