Dates,ZBH
2019-10-04,1372900.0
2019-11-05,886900.0
2019-12-27,1668200.0
2020-06-02,900300.0
2019-12-30,1168300.0
2020-03-18,1369100.0
2020-06-05,1124000.0
2019-07-15,955100.0
2018-12-03,803300.0
2019-06-13,782200.0
2019-01-04,1100800.0
2018-08-29,861100.0
2019-02-05,745700.0
2018-11-01,913500.0
2019-08-16,1321500.0
2019-04-10,903300.0
2019-09-17,999300.0
2019-10-15,1155500.0
2020-01-02,751500.0
2020-06-08,1151500.0
2019-10-18,1173400.0
2020-03-24,663900.0
2020-06-11,694700.0
2020-01-08,787100.0
2019-04-25,639800.0
2019-07-30,458000.0
2019-02-20,683000.0
2018-07-11,705100.0
2018-09-13,540200.0
2018-10-15,750000.0
2019-06-28,528400.0
2018-12-18,750400.0
2018-11-16,869300.0
2019-10-02,1691100.0
2020-03-27,2641600.0
2020-01-10,1460300.0
2019-10-24,1207700.0
2020-03-30,1024800.0
2020-06-17,860900.0
2020-01-14,789100.0
2020-04-02,590100.0
2019-01-02,569800.0
2019-08-14,816800.0
2018-10-30,811700.0
2019-06-11,855300.0
2019-05-10,1258900.0
2019-04-08,724900.0
2018-08-27,527200.0
2018-07-26,783400.0
2018-09-28,876600.0
2019-03-07,487400.0
2019-10-30,351600.0
2020-01-17,509400.0
2020-06-23,520500.0
2020-04-08,1513600.0
2020-06-26,867700.0
2019-03-22,707400.0
2019-01-17,613400.0
2019-08-29,875100.0
2018-11-14,691700.0
2019-06-26,823800.0
2018-09-11,1039800.0
2018-07-09,1308200.0
2018-08-10,732600.0
2019-04-23,1436900.0
2019-09-30,965400.0
2020-01-23,2471500.0
2019-11-08,917700.0
2020-04-14,245000.0
2019-11-11,611700.0
2020-01-29,391900.0
2020-04-17,589800.0
2018-07-24,612400.0
2018-09-26,1052400.0
2019-05-08,963500.0
2019-03-05,944100.0
2019-02-01,907300.0
2018-12-31,908800.0
2018-11-29,1007600.0
2019-08-12,1159700.0
