Dates,FTV
2018-10-12,67.71308898925781
2019-06-25,68.8265609741211
2020-03-10,69.4727783203125
2020-05-28,69.10492706298828
2019-10-07,69.22422790527344
2020-03-13,69.5821304321289
2019-10-10,69.61195373535156
2020-03-16,70.96402740478516
2020-06-03,72.60440826416016
2018-11-28,71.25233459472656
2018-09-25,70.72542572021484
2018-07-23,70.57630920410156
2018-08-24,71.8289566040039
2019-07-10,71.47105407714844
2019-05-07,73.26056671142578
2019-04-05,74.29451751708984
2019-03-04,74.55299377441406
2019-01-31,73.89684295654297
2019-09-12,73.86701202392578
2019-12-31,74.09567260742188
2020-03-19,74.51322174072266
2020-01-03,73.9863052368164
2020-06-09,76.37232208251953
2019-02-15,76.7103500366211
2019-01-14,78.36066436767578
2018-07-06,79.97123718261719
2018-08-07,79.98117065429688
2018-10-10,81.32330322265625
2018-12-13,80.01099395751953
2019-08-26,80.5876235961914
2019-07-25,80.20950317382812
2019-05-22,80.9657211303711
2019-03-19,81.194580078125
2020-01-06,81.33389282226562
2020-03-25,81.30403900146484
2020-06-12,81.16472625732422
2019-10-22,82.14981079101562
2020-01-09,82.16972351074219
2020-06-15,81.84136199951172
2019-10-25,81.63239288330078
2020-03-31,80.65727233886719
2020-06-18,80.00055694580078
2019-04-03,81.7717056274414
2018-08-22,81.71200561523438
2018-10-25,82.7667465209961
2019-01-29,82.22941589355469
2018-12-28,82.12992095947266
2018-11-26,82.99559783935547
2019-08-09,82.63738250732422
2019-07-08,82.57768249511719
2019-06-06,83.80157470703125
2019-09-10,81.82144927978516
2020-01-15,82.18961334228516
2020-04-03,83.16475677490234
2019-10-31,81.930908203125
2020-04-06,82.52792358398438
2020-06-24,83.47320556640625
2018-11-09,84.6473388671875
2019-07-23,85.25431823730469
2019-06-21,86.09014892578125
2019-05-20,85.8712387084961
2019-04-18,86.2990951538086
2018-09-06,86.49810791015625
2018-10-08,85.69213104248047
2019-02-13,85.60256958007812
2018-12-11,86.41850280761719
2019-09-25,87.2244873046875
2020-01-21,87.3836898803711
2020-04-09,87.20457458496094
2019-11-06,87.17473602294922
2020-01-24,88.06031036376953
2020-01-27,87.9209976196289
2020-04-15,88.51801300048828
2018-12-26,88.61752319335938
2019-08-07,87.35383605957031
2019-06-04,84.80654907226562
2018-09-21,85.42346954345703
2018-07-19,85.91104125976562
2018-08-20,84.955810546875
2018-10-23,85.40357208251953
2019-05-03,86.13990020751953
2019-04-01,84.51799774169922
2019-02-28,83.06524658203125
2019-11-12,82.07022094726562
2020-01-30,81.851318359375
2019-11-15,82.21946716308594
2020-04-21,80.10005950927734
2019-04-16,80.11000061035156
2019-03-15,80.9557876586914
2019-02-11,80.94583129882812
2019-01-10,80.11994934082031
2019-08-22,78.94581604003906
2018-11-07,79.50303649902344
2018-08-03,79.19457244873047
2018-09-04,78.10999298095703
2019-06-19,77.65227508544922
2019-09-23,76.4184341430664
2019-11-18,76.21942901611328
2020-02-05,76.52816009521484
2020-04-24,75.84097290039062
2019-03-29,75.45256042480469
2019-11-21,77.45439147949219
2020-04-27,78.5101089477539
2020-02-11,79.057861328125
2020-04-30,78.64952850341797
2019-05-01,78.5997314453125
2019-02-26,78.83876037597656
2019-01-25,77.86273193359375
2018-12-24,78.19139862060547
2019-09-06,77.01618957519531
2018-07-17,76.33895111083984
2018-09-19,78.02207946777344
2019-08-05,78.5200424194336
2019-10-08,80.49201965332031
2019-12-11,80.09364318847656
2019-11-27,80.33267211914062
2020-02-14,80.30278778076172
2020-05-06,79.53591918945312
2019-01-08,80.06377410888672
2018-12-07,81.18917846679688
2019-08-20,82.33451080322266
2018-11-05,81.62739562988281
2019-07-19,82.24488067626953
2018-10-04,80.65138244628906
2019-06-17,80.12351989746094
2019-05-16,79.94425201416016
2018-08-01,79.06782531738281
2019-03-13,79.37655639648438
2019-12-03,80.98003387451172
2020-02-20,80.42230987548828
2019-12-06,81.07962799072266
2020-05-12,79.37655639648438
2019-12-09,78.77899932861328
2020-02-26,78.19139862060547
2020-05-15,78.66944885253906
2019-03-28,81.09954833984375
2018-09-17,81.91622161865234
2018-08-16,81.46804809570312
2018-10-19,78.13163757324219
2019-04-29,76.51821899414062
2019-01-23,76.48834228515625
2019-09-04,75.74137878417969
2018-11-20,73.45072174072266
2019-07-02,73.3411636352539
2019-05-31,70.124267578125
2019-12-12,71.13017272949219
2020-05-18,70.85130310058594
2019-09-27,71.5484619140625
2020-03-03,70.21390533447266
2020-05-21,68.78970336914062
2019-05-14,69.72589111328125
2018-08-31,67.0567626953125
2018-07-30,67.0567626953125
2018-10-02,68.6502685546875
2019-04-12,69.79560852050781
2019-03-11,69.72589111328125
2019-02-07,69.96492004394531
2019-07-17,69.4669418334961
2019-09-19,68.09254455566406
2019-10-21,68.85942077636719
2019-12-18,68.74987030029297
2020-03-06,69.35739135742188
