Dates,APTV
2020-06-11,946200.0
2020-01-08,785000.0
2019-04-25,651200.0
2019-07-30,975900.0
2019-02-20,527800.0
2018-07-11,997600.0
2018-09-13,713600.0
2018-10-15,1422200.0
2019-06-28,2832300.0
2018-12-18,1668000.0
2018-11-16,1468400.0
2019-10-02,1877500.0
2020-03-27,2507000.0
2020-01-10,1073900.0
2019-10-24,1985500.0
2020-03-30,862400.0
2020-06-17,649000.0
2020-01-14,1325800.0
2020-04-02,1268100.0
2019-01-02,1278900.0
2019-08-14,1288800.0
2018-10-30,1217600.0
2019-06-11,1825000.0
2019-05-10,1484300.0
2019-04-08,1109400.0
2018-08-27,3127100.0
2018-07-26,2376500.0
2018-09-28,1565300.0
2019-03-07,743000.0
2019-10-30,664400.0
2020-01-17,1749300.0
2020-06-23,1322500.0
2020-04-08,1231100.0
2020-06-26,794600.0
2019-03-22,833900.0
2019-01-17,826800.0
2019-08-29,770300.0
2018-11-14,821800.0
2019-06-26,951400.0
2018-09-11,1227900.0
2018-07-09,1398100.0
2018-08-10,1320700.0
2019-04-23,1285500.0
2019-09-30,1053500.0
2020-01-23,2021300.0
2019-11-08,1051000.0
2020-04-14,320300.0
2019-11-11,519700.0
2020-01-29,757600.0
2020-04-17,613600.0
2018-07-24,673300.0
2018-09-26,1655300.0
2019-05-08,960600.0
2019-03-05,1574900.0
2019-02-01,2100900.0
2018-12-31,2295700.0
2018-11-29,1087900.0
2019-08-12,1323600.0
2019-07-11,2065500.0
2019-09-13,2264900.0
2019-11-14,1531100.0
2020-04-20,1916400.0
2020-02-04,1766700.0
2020-04-23,1467500.0
2018-12-14,942900.0
2019-08-27,1424100.0
2018-08-08,1546200.0
2018-10-11,1677200.0
2018-11-12,1453900.0
2019-07-26,1563600.0
2019-06-24,2534200.0
2019-05-23,1617800.0
2019-03-20,1647800.0
2019-01-15,1525200.0
2019-11-20,1108100.0
2020-02-07,1131400.0
2020-02-10,1250700.0
2020-04-29,933500.0
2019-11-26,1397400.0
2020-02-13,878800.0
2019-01-30,724300.0
2018-08-23,1010100.0
2018-09-24,979400.0
2018-11-27,1403600.0
2018-10-26,1395300.0
2019-07-09,1203900.0
2019-06-07,2084100.0
2019-05-06,2525200.0
2019-04-04,1691700.0
2019-09-11,3477200.0
2019-11-29,3533900.0
2020-05-05,2572200.0
2019-12-02,2685700.0
2020-02-19,1901000.0
2020-05-08,1699200.0
2019-05-21,2398700.0
2019-03-18,2767600.0
2018-09-07,2677300.0
2018-08-06,2660700.0
2018-10-09,3380300.0
2019-02-14,2733900.0
2018-12-12,3218300.0
2019-07-24,4193500.0
2019-09-26,5891300.0
2019-10-28,7382000.0
2019-12-05,5598800.0
2020-05-11,4476600.0
2019-07-03,2802800.0
2020-02-25,2224900.0
2020-05-14,2293400.0
2020-02-28,2569400.0
2019-08-08,2676200.0
2019-06-05,2607300.0
2018-07-20,2548400.0
2018-08-21,2460800.0
2018-10-24,2168300.0
2019-04-02,3110400.0
2019-03-01,3549300.0
2019-01-28,3670400.0
2018-12-27,3607000.0
2019-09-09,1275300.0
2020-03-02,1829800.0
2020-05-20,1730900.0
2019-12-17,1426800.0
2020-03-05,2965500.0
2019-02-12,2225900.0
2019-01-11,1741200.0
2018-12-10,1425300.0
2019-08-23,1096000.0
2018-11-08,1167700.0
2019-07-22,1514900.0
2019-06-20,1770800.0
2018-09-05,1807300.0
2019-04-17,2127100.0
2019-09-24,1743200.0
2019-12-20,2212900.0
2020-05-26,2323200.0
2019-04-30,1158000.0
2019-12-23,1283000.0
2020-03-11,1114200.0
2020-05-29,1548500.0
2019-12-26,1139900.0
2020-06-01,1775900.0
2019-05-02,1676100.0
2019-02-27,1225400.0
2018-11-23,1642700.0
2019-08-06,2335600.0
2018-07-18,2137500.0
2018-09-20,2130600.0
2018-10-22,1481600.0
2019-07-05,2014600.0
2019-06-03,2683000.0
2019-10-09,2682400.0
2019-10-11,2572800.0
2020-03-17,1431300.0
2020-06-04,1857600.0
2019-10-14,4762600.0
2020-03-20,2349400.0
2018-11-06,2504400.0
2019-06-18,3612900.0
2019-05-17,7436400.0
2019-04-15,19582100.0
2019-03-14,7243700.0
2019-01-09,4409100.0
2018-08-02,3507400.0
2018-10-05,2074800.0
2019-08-21,3091800.0
2019-10-17,1917100.0
2020-03-23,3714000.0
2020-06-10,2591800.0
2019-02-25,2245200.0
2020-01-07,2825900.0
2020-03-26,1868600.0
2019-10-23,4262800.0
