Dates,BAM
2018-08-13,28.28545570373535
2018-10-16,28.123233795166016
2019-07-31,28.09727668762207
2019-05-28,28.12972068786621
2019-04-26,27.38349151611328
2020-04-28,26.92926025390625
2019-11-25,27.136905670166016
2020-02-12,27.007125854492188
2020-05-01,27.376996994018555
2020-05-04,27.73389434814453
2019-06-12,27.039575576782227
2019-04-09,27.182331085205078
2019-03-08,27.1953067779541
2019-02-04,27.026592254638672
2018-07-27,26.319297790527344
2018-08-28,26.436098098754883
2019-01-03,26.10515785217285
2019-08-15,25.897510528564453
2018-10-31,26.273874282836914
2019-09-16,26.44258689880371
2020-02-18,26.708635330200195
2020-05-07,26.669700622558594
2018-08-17,26.9097957611084
2019-12-04,26.903305053710938
2020-02-21,27.097972869873047
2018-12-17,26.864370346069336
2019-08-30,28.09078598022461
2018-11-15,28.019407272338867
2019-07-29,28.44768524169922
2019-06-27,28.44768524169922
2019-04-24,28.49959373474121
2018-07-10,28.467145919799805
2018-09-12,28.356834411621094
2019-02-19,27.623580932617188
2019-01-18,28.09727668762207
2020-02-24,27.8117618560791
2020-05-13,28.519058227539062
2019-12-10,28.668304443359375
2020-02-27,28.798084259033203
2019-12-13,28.83715057373047
2020-05-19,28.570201873779297
2019-03-06,28.648332595825195
2018-11-30,27.964675903320312
2019-08-13,27.45030975341797
2019-07-12,27.157316207885742
2019-06-10,27.111740112304688
2019-05-09,26.75363540649414
2018-07-25,27.046630859375
2018-09-27,26.909900665283203
2018-10-29,26.961984634399414
2019-10-16,26.258800506591797
2019-12-16,26.213226318359375
2020-03-04,25.672813415527344
2020-05-22,24.891490936279297
2019-10-01,24.312015533447266
2019-12-19,23.86927032470703
2018-09-10,24.689655303955078
2019-05-24,24.83289337158203
2018-08-09,24.735231399536133
2019-04-22,24.969627380371094
2019-03-21,24.715696334838867
2019-01-16,24.67011833190918
2019-08-28,25.69234275817871
2018-11-13,26.069982528686523
2018-10-12,26.096025466918945
2019-06-25,26.558305740356445
2020-03-10,26.493196487426758
2020-05-28,26.4866886138916
2019-10-07,26.5257511138916
2020-03-13,26.584348678588867
2019-10-10,26.779678344726562
2020-03-16,27.144296646118164
2020-06-03,27.45030975341797
2018-11-28,27.027095794677734
2018-09-25,26.96849822998047
2018-07-23,27.059650421142578
2018-08-24,27.37217903137207
2019-07-10,27.170339584350586
2019-05-07,27.35264778137207
2019-04-05,27.613082885742188
2019-03-04,28.029788970947266
2019-01-31,28.186052322387695
2019-09-12,28.45951271057129
2019-12-31,28.69390869140625
2020-03-19,28.43998146057129
2020-01-03,28.472536087036133
2020-06-09,28.466026306152344
2019-02-15,28.07536506652832
2019-01-14,28.186052322387695
2018-07-06,28.07536506652832
2018-08-07,27.990724563598633
2018-10-10,28.602752685546875
2018-12-13,28.850173950195312
2019-08-26,28.98690414428711
2019-07-25,28.804595947265625
2019-05-22,28.941326141357422
2019-03-19,28.8566837310791
2020-01-06,29.175722122192383
2020-03-25,29.35214614868164
2020-06-12,29.515506744384766
2019-10-22,29.56124496459961
2020-01-09,29.803014755249023
2020-06-15,29.829153060913086
2019-10-25,30.103593826293945
2020-03-31,29.80954933166504
2020-06-18,29.71153450012207
2019-04-03,29.953306198120117
2018-08-22,30.051321029663086
2018-10-25,30.33229637145996
2019-01-29,29.620054244995117
2018-12-28,30.214675903320312
2018-11-26,30.371501922607422
2019-08-09,30.41724395751953
2019-07-08,30.430309295654297
2019-06-06,30.476051330566406
2019-09-10,29.999046325683594
2020-01-15,29.927167892456055
2020-04-03,30.14280128479004
2019-10-31,30.14280128479004
2020-04-06,30.430309295654297
2020-06-24,30.482585906982422
2018-11-09,30.913850784301758
2019-07-23,30.900779724121094
2019-06-21,30.985727310180664
2019-05-20,31.024932861328125
2019-04-18,30.835437774658203
2018-09-06,30.88117790222168
2018-10-08,30.70475196838379
2019-02-13,30.90731430053711
2018-12-11,30.796232223510742
2019-09-25,30.985727310180664
2020-01-21,31.371253967285156
2020-04-09,31.338579177856445
2019-11-06,31.083738327026367
2020-01-24,31.4169921875
2020-01-27,31.42352867126465
2020-04-15,31.52153968811035
2018-12-26,31.1817569732666
2019-08-07,31.325511932373047
2019-06-04,31.397388458251953
2018-09-21,31.43006134033203
2018-07-19,31.488868713378906
2018-08-20,31.27977180480957
2018-10-23,31.083738327026367
2019-05-03,31.37778663635254
2019-04-01,31.305912017822266
2019-02-28,30.74395751953125
2019-11-12,30.685148239135742
