Dates,STZ
2018-12-20,203.6300048828125
2019-08-01,204.60000610351562
2018-08-14,204.35000610351562
2018-07-13,205.32000732421875
2018-10-17,202.33999633789062
2019-05-29,203.5399932861328
2019-03-26,202.27999877929688
2019-02-22,203.1999969482422
2019-10-04,203.97999572753906
2019-11-05,205.75
2019-12-27,204.58999633789062
2020-06-02,204.66000366210938
2019-12-30,203.6999969482422
2020-03-18,203.64999389648438
2020-06-05,204.3300018310547
2019-07-15,205.08999633789062
2018-12-03,206.0
2019-06-13,207.58999633789062
2019-01-04,204.30999755859375
2018-08-29,191.02000427246094
2019-02-05,190.88999938964844
2018-11-01,188.10000610351562
2019-08-16,186.41000366210938
2019-04-10,189.0800018310547
2019-09-17,190.41000366210938
2019-10-15,192.61000061035156
2020-01-02,191.0399932861328
2020-06-08,192.5800018310547
2019-10-18,195.8699951171875
2020-03-24,196.52999877929688
2020-06-11,196.0
2020-01-08,194.33999633789062
2019-04-25,193.86000061035156
2019-07-30,195.1699981689453
2019-02-20,195.47999572753906
2018-07-11,194.44000244140625
2018-09-13,192.85000610351562
2018-10-15,192.1999969482422
2019-06-28,190.82000732421875
2018-12-18,189.0
2018-11-16,190.55999755859375
2019-10-02,191.00999450683594
2020-03-27,191.66000366210938
2020-01-10,190.8300018310547
2019-10-24,190.13999938964844
2020-03-30,186.5
2020-06-17,184.02000427246094
2020-01-14,182.1699981689453
2020-04-02,183.02000427246094
2019-01-02,181.8800048828125
2019-08-14,179.4499969482422
2018-10-30,174.1300048828125
2019-06-11,174.75
2019-05-10,181.83999633789062
2019-04-08,185.22000122070312
2018-08-27,180.97999572753906
2018-07-26,181.64999389648438
2018-09-28,181.5
2019-03-07,183.9600067138672
2019-10-30,184.72000122070312
2020-01-17,184.77999877929688
2020-06-23,181.74000549316406
2020-04-08,181.24000549316406
2020-06-26,180.9499969482422
2019-03-22,182.88999938964844
2019-01-17,179.52000427246094
2019-08-29,179.02000427246094
2018-11-14,179.00999450683594
2019-06-26,179.6699981689453
2018-09-11,179.8699951171875
2018-07-09,180.1199951171875
2018-08-10,182.52999877929688
2019-04-23,182.32000732421875
2019-09-30,184.0
2020-01-23,186.22999572753906
2019-11-08,187.00999450683594
2020-04-14,186.4199981689453
2019-11-11,186.72999572753906
2020-01-29,188.8699951171875
2020-04-17,187.8000030517578
2018-07-24,187.10000610351562
2018-09-26,186.66000366210938
2019-05-08,186.27999877929688
2019-03-05,187.52000427246094
2019-02-01,183.30999755859375
2018-12-31,182.1699981689453
2018-11-29,190.61000061035156
2019-08-12,187.60000610351562
2019-07-11,187.4499969482422
2019-09-13,188.97000122070312
2019-11-14,189.69000244140625
2020-04-20,190.3300018310547
2020-02-04,189.6699981689453
2020-04-23,187.1999969482422
2018-12-14,191.3800048828125
2019-08-27,190.91000366210938
2018-08-08,190.4600067138672
2018-10-11,189.0500030517578
2018-11-12,190.67999267578125
2019-07-26,190.8300018310547
2019-06-24,189.86000061035156
2019-05-23,187.7100067138672
2019-03-20,188.0
2019-01-15,191.47999572753906
2019-11-20,193.82000732421875
2020-02-07,197.6300048828125
2020-02-10,197.5800018310547
2020-04-29,198.6300048828125
2019-11-26,198.10000610351562
2020-02-13,197.8699951171875
2019-01-30,198.0
2018-08-23,202.22000122070312
2018-09-24,200.72000122070312
2018-11-27,203.97999572753906
2018-10-26,205.24000549316406
2019-07-09,205.97000122070312
2019-06-07,200.38999938964844
2019-05-06,193.6999969482422
2019-04-04,190.77999877929688
2019-09-11,175.5500030517578
2019-11-29,163.52999877929688
2020-05-05,169.27000427246094
2019-12-02,174.9199981689453
2020-02-19,178.0
2020-05-08,179.4499969482422
